item,group,status,beforeItems,afterItems,obsolete,imprimatur
???,[not a medical product],ambiguous,"[?] [? ; blanc] [? ; brun] [? ; diverses] [??] [?? (le douzaine)] [???] [Etc.] [G,,,?] [Origine Inconnue] [Nom flou] [Non indiqué]",[Not a product] [?] [??] [???] [Etc.] [Origine Inconnue] [Nom flou] [Non indiqué] [??? Ferre en carte],no,
??? blanc,[not a medical product],ambiguous,,[? ; blanc],no,
??? brun,[not a medical product],ambiguous,,[? ; brun],no,
??? d'Anjou et de Touraine,[not a medical product],new,,,no,
??? d'une valeur moindre de deux mille francs chacun,[not a medical product],ambiguous,,"[D'une valeur moindre de 2 000 Fr chacun] [D'une valeur moindre de 2 000 chacun] [D'une valeur moindre de 2 000 francs chacun] [D'une valeur moindre de 2,000 fr chacun] [D'une valeur moindre de 2,000 fr. chacun] [D'une valeur moindre de 2,000 francs chacun] [D'une valeur moindre de 2000 fr chacun] [D'une valeur moindre de 2000 francs chacun]",no,
??? des ci-devant provinces d'Alsace,[not a medical product],new,,,no,
??? des ci-devant provinces de Bourgogne,[not a medical product],new,,,no,
??? des ci-devant provinces de Provence,[not a medical product],new,,,no,
??? des ci-devant provinces du Languedoc,[not a medical product],new,,,no,
??? diverses,[not a medical product],ambiguous,,[? ; diverses],no,
??? Tanabare,[not a medical product],ambiguous,[Tanabare [?]],[Tanabare [?]],no,
???? particulièrement en cheval,[not a medical product],ambiguous,,[Particulièrement en chevaux],no,
abafine,[not a medical product],new,,,no,
abassis,[not a medical product],new,,,no,
abats,[not a medical product],new,,,no,
abattis de morue,[not a medical product],new,,,no,
abricots confits,[not a medical product],new,,,no,
absinthe,[not a medical product],new,,,no,
acacia,[not a medical product],ambiguous,,[Acacia] [Accacia] [Agacia] [acacia],no,
acacia germanica,[not a medical product],new,,,no,
acétates de plomb,[not a medical product],new,,,no,
achia,[not a medical product],ambiguous,[Achia],[Akia ; espèce de salade] [Akia] [Achia],no,
acide vitrioliques et huile de vitriol,[not a medical product],new,,,no,
acier,[not a medical product],ambiguous,[Acier] [Aciers] [Assié] [acier],[Fers ; aciers] [Fers aciers] [Acier] [Aciers] [Assié] [acier],no,
acier brun,[not a medical product],ambiguous,,[Acier brun],no,
acier brut,[not a medical product],new,,,no,
acier de fer,[not a medical product],ambiguous,,[Fers en acier],no,
acier et clous,[not a medical product],new,,,no,
acier et fer,[not a medical product],ambiguous,,[Fer et acier] [Fers et aciers] [Fers divers et Acier] [Fers divers et acier] [Fers divers et aciers] [///Métaux///Fers et aciers],no,
acons,[not a medical product],ambiguous,,[Acon],no,
acons démontés,[not a medical product],new,,,no,
acons démontés en gabare,[not a medical product],ambiguous,,[Acons ; en gabares ; démontés] [Acons gabares démontés],no,
acorus,[broad medical product],ambiguous,[Accorus] [Acore (herbe)] [Acorus],[Accorus] [Acorus],no,
acuirson,[not a medical product],ambiguous,[Acuirson],[Acuirson],no,
acume de cuivre,[not a medical product],new,,,no,
affûts de canons,[not a medical product],ambiguous,,[Affuts ; de canon] [Affuts de canon] [Affuts de canons],no,
affûts de fusils,[not a medical product],new,,,no,
affûts de fûts à canons,[not a medical product],ambiguous,,[Afust de fut a canon],no,
agaric,[narrow medical product],ambiguous,,[Agaric] [Agaric brut et préparé] [Agarie] [agaric] [agarics],no,
agaric et amadouvier,[not a medical product],new,,,no,
agaric gros,[narrow medical product],ambiguous,,[Drogues ; médecinales ; agaric ; gros],no,
agate,[not a medical product],ambiguous,,[Agathe],no,
agate fine,[not a medical product],ambiguous,,[agates fins],no,
agate montée,[not a medical product],new,,,no,
agneaux,[not a medical product],ambiguous,,[Bestiaux ; agneaux] [Bestiaux ; en agneaux] [Bestiaux en agneaux] [Agneaux] [Bestiaux; Agneaux] [Bestiaux divers; Agneaux] [Bestiaux et bêtes ; de somme ; agneaux],no,
agneaux et cabris,[not a medical product],new,,,no,
agnelines et crottelins,[not a medical product],ambiguous,,[agnelines et crottelins],no,
agoutals,[not a medical product],ambiguous,,[Agoutals] [agoutats],no,
agoutals de bois,[not a medical product],ambiguous,,[Agoutals de bois] [agourats de bois],no,
agrément,[not a medical product],ambiguous,[Agremens] [Agrements] [Agrémens] [Agréments],[Agremens] [Agrements] [Agrémens] [Agréments],no,
agrément au quart,[not a medical product],ambiguous,,[Agrémens ; au quart] [Agrement ; au quart] [Agrémens ; auquart],no,
agrément d'argent,[not a medical product],ambiguous,,[Agrémens; d'argent] [Agrément ; d'argent],no,
agrément d'or,[not a medical product],ambiguous,,[Agrements ; d'or],no,
agrément d'or et d'argent,[not a medical product],ambiguous,,[Agremens ; or et argent] [Agrements ; or et argent] [Agrémens ; or et argent] [Agréments ; or et arg],no,
agrément de fil,[not a medical product],ambiguous,,[Agrements ; de fil] [Agrémens ; de fil] [Agrémens; de fil] [Agrément ; de fil] [Agrements de fil],no,
agrément de fil et de soie,[not a medical product],new,,,no,
agrément de fleur,[not a medical product],ambiguous,,[Agrémens ; de fleurs],no,
agrément de soie,[not a medical product],ambiguous,,[Agremens ; de soye] [Agremens; de soye] [Agrement ; de soye] [Agrement de Soye] [Agrements ; de soye] [Agrémens ; de soye] [Agrément ; de soye] [Agréments ; de soye] [Agréments de soye] [Agremens de soye] [Agrements de soye],no,
agrément de soie et d'argent,[not a medical product],new,,,no,
agrément de soie et fil,[not a medical product],new,,,no,
agrément de soie or et argent faux,[not a medical product],new,,,no,
agrès,[not a medical product],ambiguous,[Agrets],[Agrets],no,
agrès de navire,[not a medical product],ambiguous,,[Agrais ; de navires] [Agrès ; de navire] [Agrès de navires] [Agrés ; de navire] [Agrès de navire] [Agrès de vaisseaux],no,
agrès de navire en voile,[not a medical product],ambiguous,,[Agrès ; de navire ; en voiles],no,
agrès de navire et jeux de voile,[not a medical product],new,,,no,
agrès et apparaux,[not a medical product],new,,,no,
agrès et voiles de navire,[not a medical product],new,,,no,
aigles,[not a medical product],new,,,no,
aigre de cidre,[not a medical product],new,,,no,
aigre de vitriol,[narrow medical product],ambiguous,,[Aigre ; de vitriol] [Aigre de vitriol],no,
aigrettes,[not a medical product],ambiguous,,[Aigrettes] [Egrettes],no,
aigrettes de fil d'or et d'argent,[not a medical product],ambiguous,,[Egrettes de fil or et argent],no,
aigrettes de soie,[not a medical product],new,,,no,
aigrettes de soie et argent,[not a medical product],new,,,no,
aigrettes et bavolets,[not a medical product],new,,,no,
aiguières d'étain,[not a medical product],new,,,no,
aiguilles,[not a medical product],ambiguous,,[Mercerie ; en aiguilles] [Mercerie ; fine ; aiguilles] [Merceries ; Fines ; Aiguilles] [Aiguiles] [Aiguille] [Aiguiller] [Aiguilles] [Eguilles] [aiguilles],no,
aiguilles à boîtes,[not a medical product],ambiguous,,[eguille a boite],no,
aiguilles à coudre,[not a medical product],ambiguous,,[Mercerie ; en aiguilles ; à coudre] [Merceries ; aiguilles ; à coudre] [Mercerie ; aiguilles ; à coudre] [Mercerie ; Fine ; Aiguille à coudre] [Merceries ; Fines ; Aiguilles à coudre] [Aiguille A coudre] [Aiguille a coude] [Aiguille a coudre] [Aiguille à coudre] [Aiguilles ; a coudre] [Aiguilles ; à coudre] [Aiguilles A coudres] [Aiguilles a coudre] [Aiguilles a coudres] [Aiguilles à coudre],no,
aiguilles à ralingue,[not a medical product],new,,,no,
aiguilles à tabac,[not a medical product],ambiguous,,[Eguilles à tabac],no,
aiguilles à toile,[not a medical product],ambiguous,,[Aiguille A Toile],no,
aiguilles à voile,[not a medical product],ambiguous,,[Aiguille ; a voile] [Aiguilles ; a voile] [Aiguilles ; a voiles] [Aiguilles ; à voile] [Aiguilles a Voile] [Aiguilles a voile] [Aiguilles a voiles] [Aiguilles a voille] [Eguiles a voile] [aiguilles a Voile] [aiguilles à voile] [Aiguilles ancile] [Eguilles a voille],no,
aiguilles d'emballage,[not a medical product],ambiguous,,[Eguilles d'emballage] [aiguilles d'embaleur],no,
aiguilles epars de sapin,[not a medical product],ambiguous,,[eguilles Epars de Sapin],no,
aiguilles et épingles,[not a medical product],new,,,no,
aiguilles grosses,[not a medical product],new,,,no,
ailes,[broad medical product],ambiguous,,[Ailer] [Ailes] [ailles],no,
ailes de fléaux,[not a medical product],new,,,no,
ailes de moulins,[not a medical product],new,,,no,
ailor,[broad medical product],ambiguous,,[Ailor],no,
ails,[not a medical product] [broad medical product],ambiguous,,[Légumes ; ailx] [Ails] [Aulx] [ails] [Légumes ails] [Légumes; Ail] [Ail] [Légumes ; aile] [Legume ail] [Legumes; Ail] [aulx],no,
ails à fauches,[not a medical product],ambiguous,,[aux à fauxhes],no,
ails blancs à casser,[not a medical product],ambiguous,,[ail blanc à casé],no,
aimant,[not a medical product],new,,,no,
ains à pêcher,[not a medical product],ambiguous,,[ains a pecher] [Ains a pecher] [Ains à pêcher] [Ains a pêcher] [Ains à pecher] [Ains ; a pêcher] [Ains a percher] [Ains ; à pescher] [Ains à pescher],no,
ains et lignes à pêcher,[not a medical product],new,,,no,
airain,[not a medical product],ambiguous,[Airain] [Airain ; non ouvré],[Airain],no,
airain non ouvré,[not a medical product],ambiguous,,[Airain ; non ouvré],no,
ajustements,[not a medical product],ambiguous,,[Ajustemens] [Ajustement] [Ajustements],no,
ajustements de femme,[not a medical product],new,,,no,
ajustements de soie,[not a medical product],new,,,no,
alambics,[not a medical product],ambiguous,,[Alambic] [Alambics] [Alembics],no,
alambics d'étain,[not a medical product],new,,,no,
alambics de cuivre,[not a medical product],new,,,no,
alambics de terre,[not a medical product],ambiguous,,[Alambie ; de terre],no,
albâtre,[not a medical product],ambiguous,[Albatre],[Albatre],no,
albâtre et marbre brut et poli,[not a medical product],new,,,no,
alegia,[not a medical product],ambiguous,[Alegias],[Alegias] [Allegias] [Alegeas],no,
alènes,[not a medical product],new,,,no,
alibanies,[not a medical product],ambiguous,[Alibania] [Alibanic] [Alibanis] [Alibans] [alibanic] [alibanir] [alibanis],[Alibania] [Alibanic] [Alibanis] [Alibans] [alibanic] [alibanir] [alibanis] [Allibanis],no,
alizari,[not a medical product],ambiguous,,[Drogueries ; pour peinture et teinture ; alizary] [Drogues ; pour la peinture et teinture ; alizari] [Drogues ; Pour la teinture ; Alizari] [Drogues ; pour la peinture et la teinture ; atisaric],no,
alizari et garance,[not a medical product],new,,,no,
alkermés,[narrow medical product],new,,,no,
allaya,[not a medical product],new,,,no,
alleaux,[not a medical product],existing,,,no,
allemande de poil,[not a medical product],ambiguous,,[Etoffe ; de poil ; allemande],no,
allumettes,[not a medical product],ambiguous,,[Allumettes] [Alumette] [Alumettes] [allumettes] [alumettes],no,
allumettes à vin,[not a medical product],new,,,no,
allumettes de coton,[not a medical product],new,,,no,
allumettes de mêche soufrée,[not a medical product],new,,,no,
allumettes droguée,[not a medical product],new,,,no,
allumettes épicée,[not a medical product],new,,,no,
allumettes opérées et soufrées,[not a medical product],new,,,no,
allumettes soufrées,[not a medical product],new,,,no,
almagro ou crayon rouge,[not a medical product],existing,,,no,
almanach broché,[not a medical product],ambiguous,,[Librairie ; en almanach ; broché],no,
almanach en blanc,[not a medical product],ambiguous,,[Librairie ; en almanach ; en blanc],no,
almanach relié,[not a medical product],ambiguous,,[Librairie ; en almanach ; relié],no,
almanachs,[not a medical product],new,,,no,
almanachs enjolivés,[not a medical product],new,,,no,
aloès,[narrow medical product],ambiguous,,[Alloes] [Aloes] [Alois] [Aloès] [Aloës] [aloes] [aloès] [aloés] [alöes] [Drogues ; Composées pour ma médecine ; Aloès] [Drogues ; médécinales ; aloes] [Drogues; Médicinales; Aloës] [Marchandises des Indes ; Aloës],no,
aloès cabalin,[narrow medical product],ambiguous,[Aloes ; cabalin] [Aloes Cabalin],[Drogues ; médecinales ; aloës ; capalin] [Aloes ; cabalin] [Aloes Cabalin],no,
aloès commun,[narrow medical product],new,,,no,
aloès moyen,[narrow medical product],new,,,no,
aloiset,[not a medical product],ambiguous,[aloiset],[aloiset],no,
alose,[not a medical product],existing,,,no,
alose fumée,[not a medical product],existing,,,no,
alose salée,[not a medical product],new,,,no,
alouettes,[not a medical product],ambiguous,,[Gibier ; alloüettes] [Aloüettes] [alouettes],no,
alpargate,[not a medical product],ambiguous,[Alpargalle] [Alpargatte] [Alpargattes],[Alpargalle] [Alpargatte] [Alpargattes] [Alpargate] [Alpargastes] [Alfargate] [Alpargates],no,
alphabets,[not a medical product],new,,,no,
alpiste,[not a medical product],existing,,,no,
alquifoux,[not a medical product],ambiguous,[Alquifou] [Alquifoulx] [Alquifoux] [Arqui fou] [Arquifou] [Arquifoux] [arquifou],[Drogues ; alquifoux] [Drogues ; Pour la peinture ; Alquifoux] [Alquifou] [Alquifoulx] [Alquifoux] [Arqui fou] [Arquifou] [Arquifoux] [arquifou] [Drogues; Médicinales; Alquifoux] [Drogues ; pour peinture et teinture ; alquifoux] [Drogues ; pour la peinture et la teinture ; alquifoux] [Drogueries ; pour peinture et teinture ; alquifoux] [Drogues; Pour peinture et teinture; Alquifoux] [Drogues ; Pour la peinture et la teinture ; Alquifoux] [Drogues; Pour peintures et teintures; Alquifoux],no,
alquifoux et mine de plomb,[not a medical product],existing,,,no,
alquifoux et mine de plomb ou graphite,[not a medical product],new,,,no,
alquifoux ou mine de plomb,[not a medical product],new,,,no,
alquitra,[not a medical product],ambiguous,[Alquitra],[Alquitra],no,
aluchiabanis,[not a medical product],ambiguous,[aluchiabanis],[aluchiabanis],no,
alun,[broad medical product],ambiguous,[Allun] [Alum] [Alun] [alin] [alun],[Drogue ; pour peinture et teinture ; alun] [Drogueries ; pour peinture et teinture ; alun] [Drogues ; Pour la peinture et la teinture ; Alun] [Drogues ; pour la peinture et la teinture ; alun] [Drogues ; pour la peinture et teinture ; alun] [Drogues ; pour peinture et teinture ; alun] [Drogues ; Pour la teinture ; Alun] [Drogueries ; alun] [Drogues ; alun] [Allun] [Alun] [alin] [alun] [Drogues; Pour peintures et teintures; Alun] [3///Matières première///Alun] [Drogueries pour teinture et peinture alun] [3///Matières premières///Alun] [Drogueries; Alun] [3///Suite des matières premières///Alun] [Drogues; Pour peinture et teinture; Alun],no,
alun commun,[broad medical product],ambiguous,,[Drogues ; pour peinture et teinture ; alun ; commune],no,
alun de roche,[not a medical product],new,,,no,
alun de Rome,[broad medical product],ambiguous,,[Alun ; de Rome] [Alun de Romes],no,
alun de Rouen,[broad medical product],ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; de Rouen],no,
alun de Surde,[broad medical product],ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; de Surde],no,
alun du Levant,[broad medical product],ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; du Levant],no,
alun en dracy,[broad medical product],ambiguous,,[Drogue ; pour peinture et teinture ; alun ; en dracy],no,
alun gâté,[not a medical product],ambiguous,,[Alun gâté],no,
alvés,[not a medical product],ambiguous,[alvés],[alvés] [Alves],no,
