item,group,status,beforeItems,afterItems,obsolete,imprimatur
vulnéraire de Suisse,[narrow medical product],ambiguous,[Vulneraires ; de Suisse] [Vulnéraires ; de Suisse],[Vulneraires ; de Suisse] [Vulnéraires ; de Suisse],no,
vipérine en racine,[narrow medical product],ambiguous,[Viperine ; en racine],[Viperine ; en racine],no,
vipérine,[narrow medical product],ambiguous,[Viperine] [Vipérine] [Viperines],[Viperine] [Vipérine] [Viperines],no,
vanille,[narrow medical product],ambiguous,[Drogues ; Médécinales ; Vanille] [Drogues ; medicinales ; vanille] [Vainille] [vanille] [Vanille] [Vannille],[Drogues ; Médécinales ; Vanille] [Drogues ; medicinales ; vanille] [Vainille] [vanille] [Vanille] [Vannille],no,
turbit,[narrow medical product],ambiguous,[Turbil] [Turbis] [turbit] [Turbit],[Turbil] [Turbis] [turbit] [Turbit],no,
thériaque de Venise,[narrow medical product],ambiguous,[Theriaque de Venise],[Theriaque de Venise],no,
thériaque,[narrow medical product],ambiguous,[Drogueries médicinales theriaque] [Drogues ; Médécinales ; Thériaque] [teriac] [teriaque] [Teriaque] [Tériaque] [Terique] [theriac] [Thériaque],[Drogueries médicinales theriaque] [Drogues ; Médécinales ; Thériaque] [teriac] [teriaque] [Teriaque] [Tériaque] [Terique] [theriac] [Thériaque],no,
theriaque,[narrow medical product],ambiguous,[theriaque] [Theriaque],[theriaque] [Theriaque],no,
terre sigillée,[narrow medical product],ambiguous,[Terre ; segillée] [Terre ; seguillée] [Terre ; Séguillée] [Terre figillée] [terre segillée] [Terre; segillé],[Terre ; segillée] [Terre ; seguillée] [Terre ; Séguillée] [Terre figillée] [terre segillée] [Terre; segillé],no,
térébenthine liquide,[narrow medical product],ambiguous,[Résines ; Térébenthine liquide] [Résines ; Thérébenthine ; liquide] [Térébenthine ; liquide],[Résines ; Térébenthine liquide] [Résines ; Thérébenthine ; liquide] [Térébenthine ; liquide],no,
térébenthine essence,[narrow medical product],ambiguous,[Térébenthine ; essence],[Térébenthine ; essence],no,
térébenthine en pâte,[narrow medical product],ambiguous,[Terebenthine en pate] [Terebenthine en pâte] [Térébenthine en pâte] [Terebentine en pate] [Therebentine en paste] [Therebentine en pate] [Thérebentine en pâte],[Terebenthine en pate] [Terebenthine en pâte] [Térébenthine en pâte] [Terebentine en pate] [Therebentine en paste] [Therebentine en pate] [Thérebentine en pâte],no,
