item,group,status,beforeItems,afterItems,obsolete,imprimatur
eau de senteur de la reine de Hongrie,[0],ambiguous,[Eau ; de la ?] [Eau ; de la d'hongrie] [Eau ; de la M d'hongrie] [Eau ; de la M. d'Hongrie] [Eau ; de la R d'hongrie] [Eau ; de la R. d'hongrie] [Eau ; de la R. d'Hongrie] [Eau ; de la R.d'hongrie] [Eau ; de la Re d'hongrie] [Eau ; de la reine d'hongrie] [Eau ; de la reine d'Hongrie] [Eau ; de la Reine d'Hongrie] [Eau ; de la reyne d'hongrie] [Eau ; de la Reyne d'Hongrie] [Eau ; de la Rque d'Hongrie] [Eau ; de lar d'hongrie] [Eau de la raine d'Ongrie] [Eau de la reine d'hongrie] [Eau de la reine d'Hongrie] [Eau de la Reine d'hongrie] [Eau de la Reine d'Hongrie] [Eau de la Reine d'ongrie] [Eau de la reine de hongrie] [eau de la reyne d'hongrie] [Eau de la reyne d'hongrie] [Eau de la reyne d'Hongrie] [Eau de la Reyne d'hongrie] [Eau de la Reyne d'Hongrie] [Eau de la reyne d'ongrie] [Eaux de la reine d'hongrie] [Eau de Reyne d'hongrie] [Eau de reynes d'Hongrie] [Eau ; de senteur ; de la Re. d'hongrie] [Eau ; de senteur ; de la Re.d'hongrie] [Eau ; de senteur ; de Re. d'Hongrie] [Eau ; reine de la Hongrie],[Eau de vie de Reyne d'Hongrie] [Eau ; de la ?] [Eau ; de la d'hongrie] [Eau ; de la M d'hongrie] [Eau ; de la M. d'Hongrie] [Eau ; de la R d'hongrie] [Eau ; de la R. d'hongrie] [Eau ; de la R. d'Hongrie] [Eau ; de la R.d'hongrie] [Eau ; de la Re d'hongrie] [Eau ; de la reine d'hongrie] [Eau ; de la reine d'Hongrie] [Eau ; de la Reine d'Hongrie] [Eau ; de la reyne d'hongrie] [Eau ; de la Reyne d'Hongrie] [Eau ; de la Rque d'Hongrie] [Eau ; de lar d'hongrie] [Eau de la raine d'Ongrie] [Eau de la reine d'hongrie] [Eau de la reine d'Hongrie] [Eau de la Reine d'hongrie] [Eau de la Reine d'Hongrie] [Eau de la Reine d'ongrie] [Eau de la reine de hongrie] [eau de la reyne d'hongrie] [Eau de la reyne d'hongrie] [Eau de la reyne d'Hongrie] [Eau de la Reyne d'hongrie] [Eau de la Reyne d'Hongrie] [Eau de la reyne d'ongrie] [Eaux de la reine d'hongrie] [Eau de Reyne d'hongrie] [Eau de reynes d'Hongrie] [Eau ; de senteur ; de la Re. d'hongrie] [Eau ; de senteur ; de la Re.d'hongrie] [Eau ; de senteur ; de Re. d'Hongrie] [Eau ; reine de la Hongrie],no,
eau de senteur de citron,[0],ambiguous,[Eau ; de senteur ; de citron],[Eau ; de senteur ; de citron],no,
eau de senteur de bergamote,[0],ambiguous,[Eau ; de senteur ; de bergamotte],[Eau ; de senteur ; de bergamotte],no,
eau de senteur,[0],ambiguous,[Eau ; d'odeur] [Eau d'odeur] [Eaux d'odeur] [Eau d'odeur diverses] [Eaux ; d'odeur ; diverses] [Eaux d'odeurs diverses] [Eau ; d'odeur et essences diverses ; d'odeurs diverses] [Eau ; de senseo] [Eau ; de senten] [eau ; de senteur] [Eau ; de senteur] [Eau ; de Senteur] [eau de senteur] [Eau de senteur] [Eau de Senteur] [eau de senteurs] [Eau de senteurs] [Eaux ; de senteur] [Eaux de senteur] [Eaux de senteurs] [Eau ; de senteur ; diverses] [Eaux ; de senteur ; diverses],[Eau ; d'odeur] [Eau d'odeur] [Eaux d'odeur] [Eau d'odeur diverses] [Eaux ; d'odeur ; diverses] [Eaux d'odeurs diverses] [Eau ; d'odeur et essences diverses ; d'odeurs diverses] [Eau ; de senseo] [Eau ; de senten] [eau ; de senteur] [Eau ; de senteur] [Eau ; de Senteur] [eau de senteur] [Eau de senteur] [Eau de Senteur] [eau de senteurs] [Eau de senteurs] [Eaux ; de senteur] [Eaux de senteur] [Eaux de senteurs] [Eau ; de senteur ; diverses] [Eaux ; de senteur ; diverses],no,
eau de senlaw,[0],ambiguous,[Eau ; de senlaw],[Eau ; de senlaw],no,
eau de Seltzer,[0],ambiguous,[Eau ; de sel] [Eau ; de Seltz] [Eau ; de selzer] [Eau ; de Selzer],[Eau ; de sel] [Eau ; de Seltz] [Eau ; de selzer] [Eau ; de Selzer],no,
eau de rose,[0],ambiguous,[Eau ; de rose] [Eau ; de roze] [eau de roze] [Eau de roze] [Eau rafe] [Eau ; rose] [Eau ; roze] [Eau roze],[Eau ; de rose] [Eau ; de roze] [eau de roze] [Eau de roze] [Eau rafe] [Eau ; rose] [Eau ; roze] [Eau roze],no,
eau de Rochefort,[0],ambiguous,[Eau de Rochefort],[Eau de Rochefort],no,
eau de raze,[0],ambiguous,"[Bray, goudron, etc. ; eau de raze] [Eau ; de raze]","[Bray, goudron, etc. ; eau de raze] [Eau ; de raze]",no,
eau de raison,[0],ambiguous,[Eau ; de raison],[Eau ; de raison],no,
eau de raisin,[0],ambiguous,[Eau ; de raisin] [Eau ; de raisine] [Eau ; de raisins],[Eau ; de raisin] [Eau ; de raisine] [Eau ; de raisins],no,
eau de poix raze,[0],ambiguous,[Eau de poix raze],[Eau de poix raze],no,
eau de poix,[0],ambiguous,[Eau de poix],[Eau de poix],no,
eau de Plombières,[0],ambiguous,[Eau ; de plombiere],[Eau ; de plombiere],no,
eau de pin,[0],ambiguous,[Eau ; de pin] [Eau de pin],[Eau ; de pin] [Eau de pin],no,
eau de Philipine,[0],ambiguous,[Eau de Philipine],[Eau de Philipine],no,
eau de nard,[0],ambiguous,[Eau ; de nar],[Eau ; de nar],no,
eau de naffle,[0],ambiguous,[Eau de naffle],[Eau de naffle],no,
eau de myrrhe,[0],ambiguous,[Eau ; de mirrhe],[Eau ; de mirrhe],no,
eau de miel,[0],ambiguous,[Eau ; de miel],[Eau ; de miel],no,
eau de mer,[0],ambiguous,[Eau ; de mer],[Eau ; de mer],no,
