item,group,,,afterItems,obsolete,imprimatur
???,???,,,[Liqueur ; sirops ; fin] [Liqueurs ; sirop ; fin] [Liqueurs ; sirop ; Fins] [Liqueurs ; sirops ; fins] [Liqueur ; sirop ; fine],no,
??? blanc,???,,,[Liqueurs ; sirop ; Melasse étranger],no,
??? brun,???,,,[Liqueurs diverses et sirops fins] [Liqueurs et sirops fins],no,
??? d'Anjou et de Touraine,???,,,[Liqueurs et sirops] [Liqueurs et sirops ; divers] [Liqueur ; sirops] [Liqueurs ; Sirops] [2///Subsistances///Liqueurs et sirops] [2///Subsistances///Liqueurs et Sirops],no,
??? d'une valeur moindre de deux mille francs chacun,???,,,"[biere] [Biere] [Biére] [Bière] [bieres] [bierre] [Bierre] [Bierres] [bierre de liège, d'anglettere etc] [bierre de liège. d'anglettere etc] [Comestibles ; bière] [Comestibles ; bierre] [Comestibles bière] [1///Subsistances///Bière]",no,
??? des ci-devant provinces d'Alsace,???,,,[Barils de vindes] [Barils vindes],no,
??? des ci-devant provinces de Bourgogne,???,,,[Eau ; spiritueuse] [Eau spiritueuses] [Eaux ; spiritueuses] [Eaux spiritueuses],no,
??? des ci-devant provinces de Provence,???,,,[Eaux et huiles ; spiritueuses] [Eaux et huiles spiritueuse] [Eaux et huiles spiritueuses],no,
??? des ci-devant provinces du Languedoc,???,,,[Eaux et essences spiritueuses],no,
??? diverses,???,,,[Zain],no,
??? particulièrement en chevaux,???,,,[Verre ; café] [Verre ; cassé] [Verre ; Cassé] [Verre cassé] [Verres ; cassé] [Verres ; Cassées] [Verres ; cassés] [Verres ; Cassés] [verres cassés] [Verres cassés] [Verres; cassés],no,
abassis,9a,,,[Verrerie; Cassé],no,
abats,0a,,,[Végetal] [Vegetal] [Végétal],no,
abattis de morue,0a,,,[Turbil] [Turbis] [turbit] [Turbit],no,
abricots confits,0a,,,[Légumes ; treffles],no,
absinthe,1,,,[Drogues ; Métalliques ; Toutenague] [toute vague] [Toutellagne] [Toutenagne] [Toutenage] [Toutenagre] [Toutenague] [Toutenagues] [Drogues ; metalliques et chimiques ; toutemayen],no,
acacia,2,,,[tin canarie],no,
acacia germanica,2,,,[Terrerie],no,
acétates de plomb,5,,,[Terre ; verte] [terre verte],no,
achia,0b,,,[Terre ; segillée] [Terre ; seguillée] [Terre ; Séguillée] [Terre figillée] [terre segillée] [Terre; segillé],no,
acide vitrioliques et huile de vitriol,5,,,[Terre ; rouge] [terre rouge] [Terre rouge] [Terre; rouge] [Terre;Rouge],no,
acier,6j,,,[Terres ; Pozolane],no,
acier brun,6j,,,[Terre ; pozolane] [Terre ; pozolanne] [Terre pozolane] [Terre pozolanne] [Terre; Pozolane],no,
acier brut,6j,,,[Terre ; pourie],no,
acier et clous,6j,,,[Terre ; pour verrerie],no,
acier et fer,6j,,,[Terre pour le goldron],no,
acons,7,,,[Terre ; noire],no,
acons démontés,7,,,"[Terre , magnanaise] [Terre maganese] [Terre maganèse] [Terre manganèse] [Terre; maganaise] [Terres ; mayaneses (?)]",no,
acons démontés en gabare,7,,,[Terre ; maganaize],no,
acorus,2,,,[Terre ; maganaise],no,
acume de cuivre,6j,,,[Terre ; jaune] [terre jaune],no,
affûts de canons,8,,,[terre houille],no,
affûts de fusils,8,,,[Terre ; grasse] [Terre grasse] [Terre; grasse] [Terse ; graisse],no,
affûts de fûts à canons,8,,,[Terre ; glaise],no,
agaric,2,,,[Terre ; du Limousin] [Terre du Limousin],no,
