item,group,status,beforeItems,afterItems,obsolete,imprimatur
toile de lin toilette,[Toiles de lin et de chanvre],ambiguous,[Toile ; de lin ; toilette] [Toiles ; de lin ; toilette],[Toile ; de lin ; toilette] [Toiles ; de lin ; toilette],no,
toile de lin lingerie,[Toiles de lin et de chanvre],ambiguous,[Toile ; de lin ; lingerie],[Toile ; de lin ; lingerie],no,
toile de lin et de chanvre,[Toiles de lin et de chanvre],ambiguous,[///Objets manufacturés///Toiles de lin et de chanvre] [Toiles diverses de lin et de chanvre] [Toiles mêlées ; de lin et de chanvre] [Toiles mélées de lin et de chanvre] [Toiles mêlées de lin et de chanvre],[///Objets manufacturés///Toiles de lin et de chanvre] [Toiles diverses de lin et de chanvre] [Toiles mêlées ; de lin et de chanvre] [Toiles mélées de lin et de chanvre] [Toiles mêlées de lin et de chanvre],no,
toile de lin de Valenciennes,[Toiles de lin et de chanvre],ambiguous,[Toile ; de lin ; de valenciennes] [Toile ; de lin ; de Valenciennes] [Toile ; De Lin ; De valenciennes] [Toile ; de lin ; de Valencienness] [Toile ; de lin ; Valenciennes],[Toile ; de lin ; de valenciennes] [Toile ; de lin ; de Valenciennes] [Toile ; De Lin ; De valenciennes] [Toile ; de lin ; de Valencienness] [Toile ; de lin ; Valenciennes],no,
toile de lin de Saint-Quentin,[Toiles de lin et de chanvre],ambiguous,[Toile ; de lin ; de s.queatin] [Toile ; de lin ; de s.Quentin] [Toile ; de lin ; de S.Quentin] [Toile ; de lin ; de Saint Quentin] [Toile ; de lin ; de Saint-Quentin] [Toile ; de lin ; de St Quentin] [Toile ; de lin ; de St. Quentin] [Toile ; de lin ; des quentin] [Toile ; de Lin ; Des Quentin] [Toile ; de lin de ; Saint Quentin] [Toile ; de lin de Saint Quentin] [Toile ; de lin de St Quentin] [Toile de lin ; de Saint Quentin] [Toile de lin de Saint Quantin] [Toile de lin de Saint Quentin] [Toile; de lin; de St. Quentin] [Toiles ; de lin ; de Saint-Quentin] [Toille ; de lin ; de Saint Quentin] [Toille de lin de Saint Quentin] [Toile ; de lin ; Saint Quentin] [Toile ; de Saint Quentin] [Toile ; de St Quentin] [Toile de Saint Quentin] [Toiles ; de Saint Quentin] [Toille ; de Saint Quentin],[Toile ; de lin ; de s.queatin] [Toile ; de lin ; de s.Quentin] [Toile ; de lin ; de S.Quentin] [Toile ; de lin ; de Saint Quentin] [Toile ; de lin ; de Saint-Quentin] [Toile ; de lin ; de St Quentin] [Toile ; de lin ; de St. Quentin] [Toile ; de lin ; des quentin] [Toile ; de Lin ; Des Quentin] [Toile ; de lin de ; Saint Quentin] [Toile ; de lin de Saint Quentin] [Toile ; de lin de St Quentin] [Toile de lin ; de Saint Quentin] [Toile de lin de Saint Quantin] [Toile de lin de Saint Quentin] [Toile; de lin; de St. Quentin] [Toiles ; de lin ; de Saint-Quentin] [Toille ; de lin ; de Saint Quentin] [Toille de lin de Saint Quentin] [Toile ; de lin ; Saint Quentin] [Toile ; de Saint Quentin] [Toile ; de St Quentin] [Toile de Saint Quentin] [Toiles ; de Saint Quentin] [Toille ; de Saint Quentin] [Toiles ; de lin ; de Saint Quentin],no,
toile de lin blanche,[Toiles de lin et de chanvre],ambiguous,"[Toile ; de lin ; blanch] [Toile ; de lin ; blanche] [Toile ; de lin ; Blanche] [Toile ; de lin ; blanche ;] [Toile ; De lin ; Blanches] [Toile ; de lin blanche] [Toile ; de lin Blanches] [Toile de lin ; blanche] [toile de lin blanche] [Toile de lin blanche] [Toile de lin, blanche] [Toiles ; de lin ; blanche] [Toiles ; de lin blanche] [Toiles de lin blanche] [Toiles de lin, blanches] [Toille ; de lin ; blanche] [Toille de lin blanche] [Toile ; de lin ; blanche ; commune] [Toile de lin blanche commune] [Toiles diverses ; de lin blanche]","[Toile ; de lin ; blanch] [Toile ; de lin ; blanche] [Toile ; de lin ; Blanche] [Toile ; de lin ; blanche ;] [Toile ; De lin ; Blanches] [Toile ; de lin blanche] [Toile ; de lin Blanches] [Toile de lin ; blanche] [toile de lin blanche] [Toile de lin blanche] [Toile de lin, blanche] [Toiles ; de lin ; blanche] [Toiles ; de lin blanche] [Toiles de lin blanche] [Toiles de lin, blanches] [Toille ; de lin ; blanche] [Toille de lin blanche] [Toile ; de lin ; blanche ; commune] [Toile de lin blanche commune] [Toiles diverses ; de lin blanche]",no,
toile de lin,[Toiles de lin et de chanvre],ambiguous,"[Toile ; de lin] [Toile ; De lin] [Toile de lin] [Toile de Lin] [Toiles ; de lin] [Toiles de lin] [Toiles de Lin] [Toille ; de lin] [Toille ; de Lin] [Toille de lain] [Toille de lin] [Toille de Lin] [Toilles de lin] [Toillle de lin] [Toile ; de lin ; commune] [Toile de lin commune] [Toiles ; de lin ; commune] [Toiles ; de lin commune] [Toile ; de lin ; divers] [Toile ; de lin ; diverse] [Toile ; de lin ; diverses] [Toile ; De Lin ; Diverses] [Toile ; de lin diverse] [Toile de lin ; divers] [Toile de lin diverse] [Toile; de lin; diverses] [Toiles ; de lin ; divers] [Toiles ; de lin ; diverses] [Toiles ; De lin ; Diverses] [Toiles ; de lin diverses] [Toiles ; De pin ; Diverses] [Toiles de lin ; diverses] [Toiles de lin diverse] [Toiles de Lin diverse] [Toiles de lin diverses] [Toiles de lin, diverses] [Toille ; de lin ; diverse] [Toille en lin] [Toilerie ; toiles de lin] [Toilerie ; Toiles de lin] [Toilerie ; toiles de lin de toutes sortes] [Toilerie ; toiles delin de toutes sortes]","[Toile ; de lin] [Toile ; De lin] [Toile de lin] [Toile de Lin] [Toiles ; de lin] [Toiles de lin] [Toiles de Lin] [Toille ; de lin] [Toille ; de Lin] [Toille de lain] [Toille de lin] [Toille de Lin] [Toilles de lin] [Toillle de lin] [Toile ; de lin ; commune] [Toile de lin commune] [Toiles ; de lin ; commune] [Toiles ; de lin commune] [Toile ; de lin ; divers] [Toile ; de lin ; diverse] [Toile ; de lin ; diverses] [Toile ; De Lin ; Diverses] [Toile ; de lin diverse] [Toile de lin ; divers] [Toile de lin diverse] [Toile; de lin; diverses] [Toiles ; de lin ; divers] [Toiles ; de lin ; diverses] [Toiles ; De lin ; Diverses] [Toiles ; de lin diverses] [Toiles ; De pin ; Diverses] [Toiles de lin ; diverses] [Toiles de lin diverse] [Toiles de Lin diverse] [Toiles de lin diverses] [Toiles de lin, diverses] [Toille ; de lin ; diverse] [Toille en lin] [Toilerie ; toiles de lin] [Toilerie ; Toiles de lin] [Toilerie ; toiles de lin de toutes sortes] [Toilerie ; toiles delin de toutes sortes]",no,
toile de chanvre fine,[Toiles de lin et de chanvre],ambiguous,[Toile ; de chanvre ; fine],[Toile ; de chanvre ; fine],no,
toile de chanvre et de lin,[Toiles de lin et de chanvre],ambiguous,[///Objets manufacturés///Toiles de lin et chanvre] [///Objets manufacturés///Toiles diverses de lin et de chanvre] [///Objets manufacturés///Toiles diverses en lin et chanvre] [Toiles en lin et de chanvre] [Toiles ; mêlées de chanvre et de lin] [Toilerie ; toiles de lin et de chanvre] [Toilerie ; toiles mélées de lin et de chanvre] [Toilerie ; Toiles mélées de lin et de chanvre],[Toiles de lin et de chanvre] [Toiles de lin et de chanvre mêlée] [///Objets manufacturés///Toiles de lin et chanvre] [///Objets manufacturés///Toiles diverses de lin et de chanvre] [///Objets manufacturés///Toiles diverses en lin et chanvre] [Toiles en lin et de chanvre] [Toiles ; mêlées de chanvre et de lin] [Toilerie ; toiles de lin et de chanvre] [Toilerie ; toiles mélées de lin et de chanvre] [Toilerie ; Toiles mélées de lin et de chanvre],no,
toile de chanvre d'emballage,[Toiles de lin et de chanvre],ambiguous,[Toile de chanvre d'emballage] [Toiles ; de chanvre ; d'emballage] [Toiles de chanvre d'emballage],[Toile de chanvre d'emballage] [Toiles ; de chanvre ; d'emballage] [Toiles de chanvre d'emballage],no,
toile de chanvre blanche,[Toiles de lin et de chanvre],ambiguous,[Toile ; chanvre ; blanche] [Toile ; de chanvre ; blanche] [Toile de chanvre blanche] [Toiles ; de chanvre ; blanche] [Toiles de chanvre blanche] [Toille ; de chanvre ; blanche],[Toile ; chanvre ; blanche] [Toile ; de chanvre ; blanche] [Toile de chanvre blanche] [Toiles ; de chanvre ; blanche] [Toiles de chanvre blanche] [Toille ; de chanvre ; blanche],no,
toile de chanvre ???,[Toiles de lin et de chanvre],ambiguous,[Toile ; de chanvre ; ...],[Toile ; de chanvre ; ...],no,
toile de chanvre,[Toiles de lin et de chanvre],ambiguous,[Toile ; de chanvre] [Toile ; de Chanvre] [Toile ; De chanvre] [Toile de chanure] [toile de chanvre] [Toile de chanvre] [Toile de Chanvre] [Toile; de chanvre] [Toile; de Chanvre] [Toiles ; de chanvre] [Toiles ; de Chanvre] [Toiles de chanvre] [Toiles de Chanvre] [Toiles de Chanvres] [Toille ; de chanvre] [Toille ; de Chanvre] [Toille de chanure] [Toille de chanvre] [Toille de Chanvre] [TOILLE de Chanvre] [Toille de charures] [Toile ; de chanvre ; diverse] [Toiles ; de chanvre ; diverses] [Toiles ; de Chanvre ; diverses] [Toiles ; De chanvre ; Diverses] [Toiles ; de chanvre diverse] [Toiles ; de chanvre diverses] [Toiles de chanvre ; diverses] [Toiles de chanvre diverses] [Toille ; de chanvre ; diverse] [Toilles ; de chanvre ; diverses] [Toile de fil de chanvre] [Toiles diverses de chanvre] [Toilerie ; toiles de chanvre] [Toilerie ; Toiles de chanvre],[Toile ; de chanvre] [Toile ; de Chanvre] [Toile ; De chanvre] [Toile de chanure] [toile de chanvre] [Toile de chanvre] [Toile de Chanvre] [Toile; de chanvre] [Toile; de Chanvre] [Toiles ; de chanvre] [Toiles ; de Chanvre] [Toiles de chanvre] [Toiles de Chanvre] [Toiles de Chanvres] [Toille ; de chanvre] [Toille ; de Chanvre] [Toille de chanure] [Toille de chanvre] [Toille de Chanvre] [TOILLE de Chanvre] [Toille de charures] [Toile ; de chanvre ; diverse] [Toiles ; de chanvre ; diverses] [Toiles ; de Chanvre ; diverses] [Toiles ; De chanvre ; Diverses] [Toiles ; de chanvre diverse] [Toiles ; de chanvre diverses] [Toiles de chanvre ; diverses] [Toiles de chanvre diverses] [Toille ; de chanvre ; diverse] [Toilles ; de chanvre ; diverses] [Toile de fil de chanvre] [Toiles diverses de chanvre] [Toilerie ; toiles de chanvre] [Toilerie ; Toiles de chanvre],no,
toile de Cambrai et de lin,[Toiles de lin et de chanvre],ambiguous,[Toile ; de lin ; de cambray] [Toile ; de lin ; de Cambray],[Toile ; de lin ; de cambray] [Toile ; de lin ; de Cambray],no,
toile de lin pour emballage,[Toiles de lin et de chanvre],ambiguous,[Toille de lin pour embalages],[Toille de lin pour embalages],no,
toile de lin d'Anvers,[Toiles de lin et de chanvre],ambiguous,[Toille de lin ditte d'anvers],[Toille de lin ditte d'anvers],no,
toile de chanvre de Halle,[Toiles de lin et de chanvre],ambiguous,[Toille de chanvre ville de Halle] [Toille de chanvre ditte de halle],[Toille de chanvre ville de Halle] [Toille de chanvre ditte de halle],no,
toile écrue de lin,[Toiles de lin et de chanvre],ambiguous,,[Toile ; de lin ; écrue] [Toile ; de lin ; lerue] [Toile de lin ecrue] [Toile de lin écrue] [Toile de lin écrus] [Toiles ; de lin ; écrue] [Toille de lin ecrue],no,
