item,group,status,beforeItems,afterItems,obsolete,imprimatur
étamine de laine,[Hors Amérique du Nord],ambiguous,[Eatamine de laine] [Etamine ; de lain] [etamine ; de laine] [Etamine ; de laine] [Etamine de laine] [Etamine de line] [Etamines ; de laine] [Etamines de laine] [Etammine de laine] [Etamine laine] [Etoffe ; étamine ; laine] [Etoffe étamine laine],[Eatamine de laine] [Etamine ; de lain] [etamine ; de laine] [Etamine ; de laine] [Etamine de laine] [Etamine de line] [Etamines ; de laine] [Etamines de laine] [Etammine de laine] [Etamine laine] [Etoffe ; étamine ; laine] [Etoffe étamine laine],no,
étamine,[Hors Amérique du Nord],ambiguous,[...tamine] [Estamine] [etamine] [Etamine] [Etoffes d'etamine] [Etoffes ; de laine ; en étamine] [Etoffes ; de laine ; en étamine ; burette] [Etoffe ; de laine ; etamine] [Etoffe de laine etamine] [Etoffes ; de laine ; etamine] [Etoffes ; de laine ; Etamine] [Etoffes ; de laine ; étamine] [Etoffes de laine etamine] [Etoffes de laine étamine] [Etoffes en étamine] [Etoffe ; étamine] [Étoffe étamine] [Etoffes ; etamine] [Etoffes etamine],[...tamine] [Estamine] [etamine] [Etamine] [Etoffes d'etamine] [Etoffes ; de laine ; en étamine] [Etoffes ; de laine ; en étamine ; burette] [Etoffe ; de laine ; etamine] [Etoffe de laine etamine] [Etoffes ; de laine ; etamine] [Etoffes ; de laine ; Etamine] [Etoffes ; de laine ; étamine] [Etoffes de laine etamine] [Etoffes de laine étamine] [Etoffes en étamine] [Etoffe ; étamine] [Étoffe étamine] [Etoffes ; etamine] [Etoffes etamine],no,
étain vieux,[Hors Amérique du Nord],ambiguous,"[...tain vieux] [...tains vieux] [Etaim ; vieux] [etaim vieux] [Etain ; vieux] [Etain vieux] [Etain, vieux] [etaing ; vieux]","[...tain vieux] [...tains vieux] [Etaim ; vieux] [etaim vieux] [Etain ; vieux] [Etain vieux] [Etain, vieux] [etaing ; vieux]",no,
étain de retour,[Hors Amérique du Nord],ambiguous,[Marchandise de Retour Faute de Vente(Etain)],[Marchandise de Retour Faute de Vente(Etain)],no,
étain brut,[Hors Amérique du Nord],ambiguous,[Etain ; brut] [Etain ; Brut] [Etain brut] [Etain Brut],[Etain ; brut] [Etain ; Brut] [Etain brut] [Etain Brut],no,
étain,[Hors Amérique du Nord],ambiguous,[...tain] [Etaim] [etain] [Etain] [Etain ; divers] [Etain divers] [///Métaux///Etain],[...tain] [Etaim] [etain] [Etain] [Etain ; divers] [Etain divers] [///Métaux///Etain],no,
épicerie,[Hors Amérique du Nord],ambiguous,[epicerie] [Epicerie] [épicerie] [Epiceries] [Espicerie] [Epicerie ; divers] [Epicerie ; diverse] [Epicerie divers] [Epicerie diverse] [Épicerie diverse] [Epicerie diverses] [Epicerie; Diverse] [Epiceries ; diverses] [Epiceries diverses] [Epiceries; Diverses] [Epicerie ; diverses] [Epicerie mêlée] [Epiceries mélées] [Epiceries mêlées] [Epiceries réunies] [3///Subsistances///Epiceries] [3///Subsistances///Eiceries diverses] [3///Subsistances///Epiceries diverses] [3///Subsistances///Epiceries Diverses],[epicerie] [Epicerie] [épicerie] [Epiceries] [Espicerie] [Epicerie ; divers] [Epicerie ; diverse] [Epicerie divers] [Epicerie diverse] [Épicerie diverse] [Epicerie diverses] [Epicerie; Diverse] [Epiceries ; diverses] [Epiceries diverses] [Epiceries; Diverses] [Epicerie ; diverses] [Epicerie mêlée] [Epiceries mélées] [Epiceries mêlées] [Epiceries réunies] [3///Subsistances///Epiceries] [3///Subsistances///Eiceries diverses] [3///Subsistances///Epiceries diverses] [3///Subsistances///Epiceries Diverses],no,
écorce de simaboura,[Hors Amérique du Nord],ambiguous,[Ecorce de cinaroba],[Ecorce de cinaroba],no,
écorce de gaiac,[Hors Amérique du Nord],ambiguous,[Ecorce ; de gayac] [ecorce de gayac] [Ecorce de gayac] [Ecorce de Gayac],[Ecorce ; de gayac] [ecorce de gayac] [Ecorce de gayac] [Ecorce de Gayac],no,
écorce de citron,[Hors Amérique du Nord],ambiguous,[ecorce ; de citron] [Ecorce ; de citron] [Ecorce ; de citrons] [ecorce de citron] [Ecorce de citron] [ecorce de Citrons] [Ecorce de citrons] [Ecorces ; de citron] [Ecorces ; de citrons] [ecorces de citron] [ecorces de Citrons] [Ecorce ; de citron ; épluché] [Pelures ; De citron],[ecorce ; de citron] [Ecorce ; de citron] [Ecorce ; de citrons] [ecorce de citron] [Ecorce de citron] [ecorce de Citrons] [Ecorce de citrons] [Ecorces ; de citron] [Ecorces ; de citrons] [ecorces de citron] [ecorces de Citrons] [Ecorce ; de citron ; épluché] [Pelures ; De citron],no,
écorce de bois de fer,[Hors Amérique du Nord],ambiguous,[Ecorce ; de bois ; de fer] [Ecorce ; de Bois ; de fer] [Ecorce ;de Bois ; ;de Fer],[Ecorce ; de bois ; de fer] [Ecorce ; de Bois ; de fer] [Ecorce ;de Bois ; ;de Fer],no,
écaille de tortue en carapace,[Hors Amérique du Nord],ambiguous,[Écaille de tortue ; carapaces],[Écaille de tortue ; carapaces],no,
