simplification,grouping,note
Villes hanséatiques-Hollande,Nord-Hollande,
Trois Évêchés,France,
Tobago,Colonies,
Guinée-Sénégal,Colonies,
Saint-Domingue,Colonies,
Russie-Courlande,Nord,
Royaume d'Étrurie,Italie,
Rouen,France,
Venise,Italie,
Prises et saisies,?,
Pologne-Genève,Allemagne et Pologne (par terre),
Pologne,Allemagne et Pologne (par terre),
Petites Îles,Petites Îles,
Villes hanséatiques-Nord,Nord,
Naples-Sicile,Italie,
Milanais-Toscane,Italie,
Marseille,France,
Marseille et Petites Îles,France,
Lorient et Marseille,France,
Dunkerque et Lorient,France,
Lorient,France,
Villes hanséatiques,Nord,
Nord,Nord,
Suisse,Suisse,
Savoie,Italie,
Martinique,Colonies,
Lorraine,Allemagne et Pologne (par terre),
Louisiane,États-Unis d'Amérique,
Franche Comté,France,
Italie,Italie,
Îles et Guinée,Colonies,
Îles,Colonies,
Îles françaises,Colonies,
Hollande,Hollande,
Guinée,Colonies,
Guadeloupe,Colonies,
Toscane,Italie,
Genève-Suisse,Suisse,
Genève,Suisse,
Gênes,Italie,
France,France,
Flandre,Flandre et autres états de l'Empereur,
États romains,Italie,
Suède,Nord,
Prusse,Nord,
Naples,Italie,
États de l'Empereur : Allemagne et Flandre,Flandre et autres états de l'Empereur,
États ecclésiastiques,Italie,
Espagne-Portugal,Espagne-Portugal,
Espagne,Espagne,
Épaves et échouements,Épaves et échouements,
Livourne,Italie,
Sardaigne,Italie,
Russie,Nord,
Portugal,Portugal,
Autriche,Flandre et autres états de l'Empereur,
États de l'Empereur,Flandre et autres états de l'Empereur,
Dunkerque et Petites Îles,France,
Dunkerque et Marseille,France,
"Dunkerque, Lorient et Petites Îles",France,
"Dunkerque, Bayonne et Marseille",France,
Dunkerque,France,
Indes,Indes,
Levant,Levant,
Danemark-Norvège,Nord,
Danemark,Nord,
Colonies françaises-hollandaises,Colonies,
Colonies françaises,Colonies,
Cayenne-Guyane,Colonies,
Duché de Bouillon,Duché de Bouillon,
Bayonne et Marseille,France,
Bayonne et Lorient,France,
Bayonne et ?,France,
Bayonne,France,
Barbarie,Levant,
Angleterre,Angleterre,
Amiens,France,
États-Unis d'Amérique,États-Unis d'Amérique,
Allemagne-Lorraine-Pays de Liège,Allemagne et Pologne (par terre),
Allemagne-Lorraine,Allemagne et Pologne (par terre),
Allemagne,Allemagne et Pologne (par terre),
Allemagne-Pologne,Allemagne et Pologne (par terre),
?,?,
