product,orthographic_normalization,note
1///Subsistances///Biscuit de mer,subsistances ; biscuits ; de mer,
1///Subsistances///Riz,subsistances ; riz,
1///Subsistances///Provisions de bouche réunies,subsistances ; provisions ; de bouche ; réunies,
1///Subsistances///Sel,subsistances ; sel,
1///Subsistances///Miel,subsistances ; miel,
1///Subsistances///Poissons de toute sorte,subsistances ; poissons ; de toute sorte,
1///Subsistances///Fruits divers,subsistances ; fruit ; divers,
1///Subsistances///Légumes,subsistances ; légumes,
1///Subsistances///Fromages,subsistances ; fromage,
1///Subsistances///Chairs salées,subsistances ; chairs ; salées,
1///Subsistances///Farine,subsistances ; farine,
1///Subsistances///Blé,subsistances ; blé,
"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",subsistances ; bestiaux ; en bœufs ; vaches ; veaux ; porcs ; et moutons,
1///Subsistances///Huile d'olive,subsistances ; huile ; d'olive,
1///Subsistances///Vin de liqueurs,subsistances ; vin ; de liqueurs,
1///Subsistances///Vins de bordeaux,subsistances ; vins ; de Bordeaux,
1///Subsistances///Vins divers,subsistances ; vins ; divers,
1///Subsistances///Eaux-de-vie,subsistances ; eaux-de-vie,
1///Subsistances///Beurre,subsistances ; beurre,
"Marchandises diverses, mêlées en une infinité d'articles, chacun séparément de moindre importance",,
"Marchandises diverses, mêlées en une infinité d'articles, chacun séparément de moindre importance.",,
Zing,,
Vins étrangers de toutes sortes,,
toiles de treillis,,
Toiles dite platille,,
Terre pozolanne,,
Terre manganèse,terre ; manganèse,
Sucres en pain et candi,,
Sucres brut,,
Soies en strasse,,
Sel Ammoniac,,
Sang-dragon,,
Rum et Taffia,,
"Rubans de fil, fleuret et laine de soie",,
Rogues de poissons de toutes sortes,,
Quincailleries en limes,,
Quincailleries en fil de fer,,
Quincailleries en faulx et faucilles,,
Poil de lièvre et lapin,,
Plumes d'édredon,,
Plumes d'autruches brut,,
Pierreries fines et fausses,,
"Perles en semence, dite granille",,
Peaux de chèvres en poil,,
Peaux de buffles,,
Ouvrages d'auffe et de jonc,,
Or en lames,,
Nots et langues de morue,,
Nacre en coquille,,
Morues salées vertes,,
Morues salées sèches,,
Morues salées d'Islandes,,
Marbre brut et ouvré,,
Maquereaux frais,,
Huile de spermacety,,
Harengs frais,,
Gommes Sandarak,,
Gommes gutte,,
Gommes adragante,gomme ; adragante,
Fourrage en paille de foin,,
Fleuret et filoselle,,
Fils de mulquinerie,,
Fils à dentelle,,
Ecorce de chêne,,
Eau-de-vie de grains et de Genièvre,,
Dentelle d'or et d'argent,,
Cuivre monnayé,,
Cuirs de Bœufs et Vaches en poil,,
Coton des îles et des Indes,,
Cornes à lanterne,,
Casse ou canefis,,
Café divers,,
Bonneteries de line,,
Bonneteries de coton,,
Balaine coupée et en fanons,,
Alquifoux ou mine de plomb,,
Agrès et apparaux,,
Abbatis de morue,,
Marchandises provenantes du commerce français dans l'Inde : Objets réunis,,
Marchandises provenantes du commerce français dans l'Inde : Toiles Mousseline,,
Marchandises provenantes du commerce français dans l'Inde : Toiles diverses,,
Marchandises provenantes du commerce français dans l'Inde : Thé,,
Marchandises provenantes du commerce français dans l'Inde : Salpêtre,,
Marchandises provenantes du commerce français dans l'Inde : Quinquina,,
Marchandises provenantes du commerce français dans l'Inde : Poivre,,
Marchandises provenantes du commerce français dans l'Inde : Mouchoirs divers,,
Marchandises provenantes du commerce français dans l'Inde : Indigo,,
Marchandises provenantes du commerce français dans l'Inde : Coton en laine,,
Marchandises provenantes du commerce français dans l'Inde : Cauris,,
Marchandises provenantes du commerce français dans l'Inde : Café Moka,,
Marchandises provenantes du commerce français dans l'Inde : Café de l'isle de la Réunion,,
Denrées des Isles Françaises de l'Amérique : Objets réunis,,
Denrées des Isles Françaises de l'Amérique : Sucre tête,,
Denrées des Isles Françaises de l'Amérique : Sucre raffiné,,
Denrées des Isles Françaises de l'Amérique : Sucre blanc et terré,,
Denrées des Isles Françaises de l'Amérique : Sucre brut,,
Denrées des Isles Françaises de l'Amérique : Sirop mélasse,,
Denrées des Isles Françaises de l'Amérique : Rocou,,
Denrées des Isles Françaises de l'Amérique : Indigo,,
Denrées des Isles Françaises de l'Amérique : Gingembre,,
Denrées des Isles Françaises de l'Amérique : Coton,,
Denrées des Isles Françaises de l'Amérique : Café,,
Denrées des Isles Françaises de l'Amérique : Cacao,,
Marchandises diverses mêlées en une infinité d'articles chacun séparément de moindre importance,,
Vins du Roussillon,,
Vins du Périgord,,
Vins de la Moselle,,
Vins de Bordeaux ou Guienne,,
Vins de Béarn et Gascogne,,
Vins du Barrois,,
Vins d'Aunis,,
d'Anjou et Touraine,,
Des ci-devant Provinces d'Alsace,,
Ustensiles de pêches,,
"Toiles des Indes, du commerce étranger",,
"Toiles des Indes, du commerce français",,
Toiles étrangères,,
"Toiles de lin, diverses",,
"Toiles de fil et coton, et sismoise",,
Toiles dites de mousseline,,
"Toiles dites peintes, et siamoise",,
Toiles nat. de toutes sortes,,
Tabac en carotte et fabriqué,,
Sucre blanc et terré,,
Soies à coudre,,
Sel d'Ammoniac,,
Rasade ou verroterie,,
Quincailleries mêlées,,
Prunes et pruneaux,,
Poivres et piment,,
Poissons de toutes sortes,poisson ; divers,
Poil de porc et sanglier,,
Pierres à aiguiser,pierre ; à aiguiser,
Pelleteries de toutes sortes,,
Peaux apprêtées de toutes sortes,,
Papiers peints et de couleur,,
Papier divers à écrire,,
"Pains de navette, de colzat et de lin",,
Ouvrages de toutes sortes,,
Ouvrages de cuivre,ouvrage ; de cuivre,
Numéraire en assignats,,
Noix et noisettes,,
Mouchoir de soie,,
"Mouchoirs divers, en fil et coton",,
Morues salées,morue ; salée,
"Morphil, dents d'éléphant, ou ivoire",,
Liqueurs diverses et sirops fins,,
Laines fines et filées,,
Jus de citron et limen,,
Harengs salés,,
Graines de luzerne et de treffle,,
Gommes Sénégal,gomme ; de Sénégal,
Garence ou alisary,,
Filets à pêcher,,
Fils à voile,,
Fils à coudre,,
Fils divers de lin de chanvre,,
Fers blancs ouvré,,
Fers blancs brut,,
Fers en tôle,,
Fers de fonte ouvre,,
Fers de fonte brut,,
Fers en barre,,
Fers divers et Acier,,
Faïence et Potterie,,
Etoffes de soie de toutes sortes,,
Etoffes de riches,,
"Etoffes de laine, poil, poil et laine",,
Etain divers,,
Epicerie diverses,,
Ecorces de chêne,,
Eaux spriritueuses et essence,,
Eau de vie de grains et de Genièvre,,
Eau de vie de Cognac,,
Eau de vie d'Andaie,,
Draps et Draperies de toutes sortes,,
Cuirs divers apprêtés,,
Coton en laine du Levant,,
Casse ou canefice,,
Café moka,,
"Bray, Goudron et Résine",,
Bouchons de Liège,,
Bonneterie diverses,,
"Bois des îles et des Indes, pour teinture et marqueterie",,
Blé-Froment,,
Bières en bouteille,,
Bières en muids,,
Mules et Mulets,,
Porcs et porcelets,,
Moutons et Brebis,,
Bufs et vache,,
Bestiaux de toutes sortes,,
Argent monnayé,,
Objets ; divers,objet ; divers,
Gomme ; du Sénégal,gomme ; de Sénégal,
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 Livres,objet ; divers ; dont la valeur du plus fort n'excède pas 25000 livres,
Objets ; divers ; dont la valeur du plus fort n'excède pas 25000 livres,objet ; divers ; dont la valeur du plus fort n'excède pas 25000 livres,
Vins ; de liqueurs ; divers,vin ; de liqueurs ; divers,
Sucre ; en pain et raffiné,sucre ; en pain ; et raffiné,
Canefice ou casse,canefice,
Vins ; étrangers ; de xérès,vin ; étrangers ; de Xérès,"Cnrtl.fr : Xérès ou Jerez : Vin blanc liquoreux sec ou doux, de couleur pâle ou foncée, produit dans la région de Jerez à partir de cépages variés."
Vins ; étrangers ; de tinto,vin ; étrangers ; de Tinto,
Vins ; étrangers ; de Rota,vin ; étrangers ; de Rota,
Vins ; étrangers ; du Rhin,vin ; étrangers ; du Rhin,
Vins ; étrangers ; de Pakaret,vin ; étrangers ; de Pacaret,"Vin de Pacaret (Paxarete) ou vin de Xérès (Cnrtl.fr : Xérès ou Jerez : Vin blanc liquoreux sec ou doux, de couleur pâle ou foncée, produit dans la région de Jerez à partir de cépages variés.)"
Vins ; étrangers ; de Cerère,vin ; étrangers ; de Cerère,
Toiles ; des Indes ; birampeaux,toiles ; des Indes ; biranpeaux,
Toiles ; étrangères ; du Piémont,toile ; étrangère ; du Piémont,
Toiles ; de coton ; mousseline et mousselinette,toiles ; de coton ; mousselines et mousselinettes,"cnrtl.fr : Mousseline : Toile de coton claire, peu serrée, fine et légère."
Toiles ; de coton ; bazin,toiles ; de coton ; basin,
Toiles ; de lin ; grise,toile ; de lin ; grise,
Toiles ; de chanvre ; diverses,toiles ; de chanvre ; diverses,
Toiles ; mêlées ; serpillère,toiles ; mêlées ; serpillière,
Toiles ; mêlées ; rayées,toiles ; mêlées ; rayées,
Toiles ; mêlées ; d'Irlande,toiles ; mêlées ; d'Irlande,
Toiles ; mêlées ; de Russie,toiles ; mêlées ; de Russie,
Toiles ; mêlées ; gingas,toiles ; mêlées ; gingas,"cnrtl.fr : Gingas : Toile, généralement à carreaux bleus et blancs, servant à la confection des matelas."
Toiles ; mêlées ; grosse,toiles ; mêlées ; grosses,
Toiles ; mêlées ; de coutil,toiles ; mêlées ; de coutil,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Toiles ; mêlées ; à carreaux,toiles ; mêlées ; à carreaux,
Soye ; en strase et cocons,soie ; en strase ; et cocon,
Quincaillerie ; de fer et acier ; moulins ; à caffé,quincaillerie ; de fer ; et acier ; moulin à café,
Quincaillerie ; de fer et acier ; limes,quincaillerie ; de fer ; et acier ; lime,
Quincaillerie ; de fer et acier ; diverses,quincaillerie ; de fer ; et acier ; diverse,
Poissons ; de mer ; salés ; thon,poisson ; de mer ; salé ; thon,
Poissons ; de mer ; salés ; stocfiche,poisson ; de mer ; salé ; stockfish,"cnrtl.fr : STOCKFIS(C)F : Morue séchée à l'air; p. ext., poisson séché."
Poissons ; de mer ; salés ; rogues ; de morue,poisson ; de mer ; salé ; rogue ; de morue,
Poissons ; de mer ; salés ; œuf ; de thon,poisson ; de mer ; salé ; œuf de thon,
Poissons ; de mer ; salés ; merluche,poisson ; de mer ; salé ; merluche,
Poissons ; de mer ; salés ; harengs ; sors,poisson ; de mer ; salé ; hareng ; saur,
Poissons ; de mer ; salés ; divers,poisson ; de mer ; salé ; divers,
Poil ; de porc et sanglier,poil ; de porc ; et sanglier,
Poil ; de lièvre et lapin,poil ; de lièvre ; et lapin,
Plumes ; d'autruche ; brute,plume ; d'autruche ; brute,
Pierres ; cornalinne,pierre ; cornalienne,
Peaux et pelleterie ; pelleterie ; de castors,peau ; et pelleterie ; pelleterie ; de castor,
Peaux et pelleterie ; mêlées ; d'origneaux,peau ; et pelleterie ; mêlée ; d'orignal,
Peaux et pelleterie ; mêlées ; de dains,peau ; et pelleterie ; mêlée ; de dain,
Peaux et pelleterie ; mêlées ; de chamois,peau ; et pelleterie ; mêlée ; de chamois,
Peaux et pelleterie ; mêlées ; de boucs,peau ; et pelleterie ; mêlée ; de bouc,
Pâtes ; d'Italie ; vermichel,pâte ; d'Italie ; vermicelle,
Pâtes ; d'Italie ; semouille,pâte ; d'Italie ; semoule,
Pâtes ; d'Italie ; sagou,pâte ; d'Italie ; sagou,
Papier ; à éventails,papier ; à éventail,
Ouvrages ; de tonnellier,ouvrage ; de tonnelier,
Ouvrages ; de terre ; pipes ; à fumer,ouvrage ; de terre ; pipe à fumer,
Ouvrages ; en nattes ; de Moscovie,ouvrage ; en natte ; de Moscovie,
Ouvrages ; de plâtre,ouvrage ; de plâtre,
Ouvrages ; de jonc,ouvrage ; de jonc,
Ouvrages ; de cuivre ; simple,ouvrage ; de cuivre ; simple,
Ouvrages ; de charpentier,ouvrage ; de charpentier,
Mouchoirs ; romald,mouchoir ; de Romald,
Merceries ; aiguilles ; à coudre,mercerie ; en aiguille ; à coudre,
Lingeries ; en chemises,lingerie ; chemise,
Légumes ; champignons,légume ; champignon,
Jonc ; pour chaises,jonc ; à faire des chaise,
Instruments ; de mécanique,instrument ; de mécanique,
Huile ; de dégras,huile ; de dégras,
Gazes ; mi soye,gaze ; mi soie,
Fruits ; secs ; dattes,fruit ; sec ; datte,
Fruits ; crus ; oranges,fruit ; cru ; orange,
Fruits ; crus ; melons,fruit ; cru ; melons,
Fruits ; crus ; cedras,fruit ; cru ; cedras,
Fruits ; crus ; bigarades,fruit ; cru ; bigarade,
Fourrage et paturage,fourrage et pâturage,
Fer ; en mine,fer ; en mine,
Fer ; en batons,fer ; en bâton,
Fayence ; en carreaux,faïence ; en carreau,
Fayence ; diverses,faïence ; diverse,
Farine ; diverses,farine ; diverse,
Etoffes ; de coton ; velour,étoffe ; de coton ; velours,
Etoffes ; de coton ; draps ; de coton,étoffe ; de coton ; en drap,
Eaux ; de vie ; de genièvre et de grain,eau ; de vie ; de grain ; de genièvre,
Drogues ; pour la peinture et la teinture ; orseille,drogue ; pour la peinture et la teinture ; orseille,
Drogues ; pour la peinture et la teinture ; ocre,drogue ; pour la peinture et la teinture ; ocre,
Drogues ; pour la peinture et la teinture ; litarge,drogue ; pour la peinture et la teinture ; litharge,
Drogues ; pour la peinture et la teinture ; lakuires,drogue ; pour la peinture et la teinture ; lackière,
Drogues ; pour la peinture et la teinture ; lacque ; platte,drogue ; pour la peinture et la teinture ; lacque ; platte,
Drogues ; pour la peinture et la teinture ; iris,drogue ; pour la peinture et la teinture ; iris,
Drogues ; pour la peinture et la teinture ; Inde ; platte,drogue ; pour la peinture et la teinture ; Inde ; platte,
Drogues ; pour la peinture et la teinture ; bleu ; de prusse,drogue ; pour la peinture et la teinture ; bleu de Prusse,
Drogues ; pour la peinture et la teinture ; bleu ; en pierre,drogue ; pour la peinture et la teinture ; bleu ; en pierre,
Drogues ; chimiques et métalliques ; sublime,drogue ; chimique et métallique ; sublime,
Drogues ; chimiques et métalliques ; sel ; de Globert,drogue ; chimique et métallique ; sel ; de Globert,
Drogues ; chimiques et métalliques ; marcure,drogue ; chimique et métallique ; mercure,
Drogues ; chimiques et métalliques ; esprit ; de sel,drogue ; chimique et métallique ; esprit ; de sel,
Drogues ; médécinales ; squine,drogue ; médicinale ; squine,
Drogues ; médécinales ; semens contra,drogue ; médicinale ; semen contra,
Drogues ; médécinales ; pignons d'Inde,drogue ; médicinale ; pignon d'Inde,
Drogues ; médécinales ; coque Levant,drogue ; médicinale ; coque du Levant,
Drogues ; médécinales ; cevadille,drogue ; médicinale ; cévadille,
Drogues ; médécinales ; cassia lignea,drogue ; médicinale ; cassia lignea,
Drogues ; médécinales ; carrouge,drogue ; médicinale ; carrouge,
Drogues ; médécinales ; capilaire,drogue ; médicinale ; capillaire,
Drogues ; médécinales ; calaurure,drogue ; médicinale ; calaurure,
Drogues ; médécinales ; baume ; du Pérou,drogue ; médicinale ; baume du Pérou,
Drogues ; médécinales ; aloes,drogue ; médicinale ; aloès,
Drogues ; mêlées ; gomme ; Sénégal,drogue ; mêlée ; gomme ; Sénégal,
Drogues ; mêlées ; gomme ; sandaraque,drogue ; mêlée ; gomme ; de sandaraque,
Drogues ; mêlées ; gomme ; gutte,drogue ; mêlée ; gomme ; gutte,
Drogues ; mêlées ; gomme ; commune,drogue ; mêlée ; gomme ; commune,
Draps ; de laine ; communs,drap ; de laine ; commun,
Draps ; de laine ; draperies ; diverses,drap ; de laine ; draperie ; diverse,
Cuivre ; vieux et en mitraille,cuivre ; vieux et en mitraille,
Cuivre ; en platine et plaque,cuivre ; en platine et plaque,
Couverture ; de crin,couverture ; de crin,
Cordes et cordages,cordage et corde,
Chapeaux ; de coupeaux,chapeau ; de coupeau,
Chairs salées ; chair de porc ; diverses,chair salée ; chair de porc ; diverse,
Chairs salées ; chair de bœuf ; langues de bœuf,chair salée ; chair de bœuf ; langue de bœuf,
Chairs salées ; chair de bœuf ; bœuf salé,chair salée ; chair de bœuf ; bœuf salé,
Cendres ; soude ; d'Egypte ou Natrum,cendre ; soude ; d'Egypte ou Natrum,
Cendres ; à savon,cendre ; à savon,
"Bray, goudron, etc. ; Poix noire et blanche","bray, goudron, etc. ; poix noire et blanche",
"Bray, goudron, etc. ; brai et goudron","bray, goudron, etc. ; bray et goudron",
Bonneterie ; de coton ; fil et laine,"bonneterie ; de coton, fil et laine",
Bois ; des Isles et des Indes ; rouge,bois ; des îles et des Indes ; rouge,
Bois ; des Isles et des Indes ; de Nicorago,bois ; des îles et des Indes ; de Nicorago,
Bois ; des Isles et des Indes ; de Caliatour,bois ; des îles et des Indes ; de caliatour,
Bois ; en cercles ; pour la mire,cercle ; de bois ; pour la mire,
Bois ; de sapin ; mats et vergues,bois ; de sapin ; mat et vergue,
Bois ; de construction ; en chêne et sapin,bois ; de construction ; en chêne et sapin,
Baleine ; coupée et en fanon,baleine ; coupée et en fanon,
Balais ; divers,balai ; divers,
Artillerie ; en bombes et boulets,"artillerie ; en bombe, boulet",
Drogueries ; gomme ; commune,drogue ; gomme ; commune,
Drogueries ; gomme ; barbarie,drogue ; gomme ; barbarie,
Drogueries ; gomme ; adraganthe,drogue ; gomme ; adragante,
Drogueries ; pour peinture et teinture ; graine ; vermillon,drogue ; pour la peinture et la teinture ; vermillon,
Drogueries ; pour peinture et teinture ; alizary,drogue ; pour la peinture et teinture ; alizari,
Drogueries ; odorantes ; encens,drogue ; odorante ; encens,
Drogueries ; chimiques ; sel ; amoniac,drogue ; chimique ; sel ammoniac,
Drogueries ; médécinales ; storax,drogue ; médicinale ; storax,
Drogueries ; médécinales ; scamoné,drogue ; médicinale ; scammonée,
Fruits ; de Corinthe,fruit ; de Corinthe,
Fruits ; pistaches,fruit ; pistache,
Fruits ; en figues,fruit ; en figue,
Moka,moka,
Toille ; coton ; Guinée,toile ; de coton ; de guinée,
Toille ; coton ; forte,toile ; de coton ; forte,
Toille ; coton ; large,toile ; de coton ; large,
Toille ; coton ; demitte,toile ; de coton ; demitte,"Volume 2 de Dictionnaire portatif de commerce, contenant la connoissance des marchandises de tous les pays... ESCAMIT(T)E : Les dimittes et escamittes sont des étoffes de coton, dont la différence consiste en ce que l'escamitte et simple, et la d"
Toille ; coton ; escamitte,toile ; de coton ; escamite,"Volume 2 de Dictionnaire portatif de commerce, contenant la connoissance des marchandises de tous les pays... ESCAMIT(T)E : Les dimittes et escamittes sont des étoffes de coton, dont la différence consiste en ce que l'escamitte et simple, et la d"
Toille ; coton ; antioche,toile ; de coton ; d'Antioche,
Toille ; coton ; à jamin,toile ; de coton ; à jamin,
Toille ; coton ; aman,toile ; de coton ; aman,
Toille ; coton ; à bas,toile ; de coton ; à bas,
Etoffe ; de soye ; Sainte Bours,étoffe ; de soie ; de Saint Bours,
Laine ; mêlée,laine ; mêlée,
Cendre ; de bourbe,cendre ; bourde,
Chairs ; salées ; de porcs,chair ; salée ; de porc,
Peaux et pelleterie ; aprêtées,peau ; et pelleterie ; apprêtée,
Cannes ; de jonc,canne ; de jonc,
Peaux ; diverses ; non aprêtées,peau ; diverse ; non apprêtée,
Huile ; de spermanty,huile ; de spermaceti,
Huile ; de poisson ; divers,huile ; de poisson ; divers,
"Bray, goudron",bray et goudron,
Poisson ; de mer ; stocfich,poisson ; de mer ; stockfish,"cnrtl.fr : STOCKFIS(C)F : Morue séchée à l'air; p. ext., poisson séché."
Peaux ; d'ours ; aprêtées et non aprêtées,peau ; d'ours ; apprêtée et non apprêtée,
Pelleterie ; diverse ; aprêtée,pelleterie ; diverse ; apprêtée,
Bois ; matraux,bois ; matraux,
"Avoine, orge ; etc.","avoine, orge ; etc.",
Peaux ; diverses ; en poil,peau ; diverse ; en poil,
Cendre ; potasse ; etc.,cendre ; potasse,
Cercles,cercle,
Merrein,merrain,
Poisson ; en harengs,poisson ; en hareng,
Grains ; en avoine et froment,grain ; d'avoine et de froment,
Quincaillerie ; de fer ; en cloux,quincaillerie ; de fer ; en clou,
Huile ; de harengs,huile ; de hareng,
Bois ; planches,bois ; planche,
Bois ; mats,bois ; mat,
Poisson ; stocfish,poisson ; stockfish,"cnrtl.fr : STOCKFIS(C)F : Morue séchée à l'air; p. ext., poisson séché."
Poisson ; Rogues ; de Macy,poisson ; rogue ; de Macy,
Poisson ; macquereaux,poisson ; maquereau,
Poisson ; harengs,poisson ; en hareng,
Bois ; de construction ; divers,bois ; de construction ; divers,
Peaux ; de chèvre ; en mégie,peau ; de chèvre ; en mégie,
Quincaillerie ; d'acier ; en faucilles,quincaillerie ; d'acier ; en faucille,
Pierres ; éclatantes et de verre,pierre ; éclatante ; et de verre,
Toiles ; diverses ; mêlées,toiles ; mêlées ; diverses,
Drogues ; chimique et métallique ; argent ; vif,drogue ; chimique et métallique ; argent ; vif,
Drogues ; chimique et métallique ; sel ; amoniac,drogue ; chimique et métallique ; sel ; ammoniac,
Armes ; blanches et à feu,arme ; blanche et à feu,
Quincaillerie ; limes,quincaillerie ; lime,
Quincaillerie ; faulx,quincaillerie ; faux,
Peaux ; d'ours ; aprêtées,peau ; d'ours ; apprêtée,
Ouvrages ; en dorure ; fausse,ouvrage ; en dorure ; fausse,
Laines ; filées,laine ; filée,
Poissons ; de mer ; frais,poisson ; de mer ; frais,
Bestiaux ; poulins,bestiau ; poulain,
Verrerie ; de Baume,verrerie ; de Baume,
Mercerie ; fine et aiguilles,mercerie ; fine et aiguille,
Toille ; cirée et gommée,toile ; cirée ; et gommée,
Toille ; en linge ; de table,toile ; linge de table,
Toille ; fine,toile ; fine,
Toille ; écrue,toile ; écrue,
Toille ; de chanvre ; diverse,toiles ; de chanvre ; diverses,
Toille ; diverse,toile ; diverse,
Gaze ; de soye ; crèpe,gaze ; de soie ; en crêpe,
Plumes ; diverses,plume ; diverse,
Huile ; de poisson et de lin,huile ; de poisson et de lin,
Fil ; de mulquinerie,fil ; de Mulquinerie,
Coton ; divers,coton ; divers,
Marbre ; divers,marbre ; divers,
Planches ; diverses,planche ; diverse,
Bois ; d'écarage,bois ; d'écarage,
Drogueries ; pour la peinture et la teinture ; couperose,drogue ; pour la peinture et la teinture ; couperose,
Drogueries ; pour la peinture et la teinture ; azur,drogue ; pour la peinture et la teinture ; azur,
Drogueries ; chimique et métallique ; arsenic,drogue ; chimique et métallique ; arsenic,
Drogueries ; odorantes,drogue ; odorante,
Grains ; en froment,grain ; blé de froment,
Ouvrage ; de verre,ouvrage ; de verre,
Ouvrage ; de sparterie,ouvrage ; de sparterie,
Ouvrage ; de tonnellier ; en feuilles,ouvrage ; de tonnelier ; en feuille,
Artillerie ; en boulets,artillerie ; en boulet,
Cuirs ; de bœuf,cuir ; de bœuf,
Bois ; bray,bois ; bray,
Tabac ; en feuilles et en cottes,tabac ; en feuilles ; et en cottes,
Drogueries ; pour peinture et teinture ; tournesol,drogue ; pour la peinture et la teinture ; tournesol,
Drogueries ; pour peinture et teinture ; stil ; de grain,drogue ; pour la peinture et la teinture ; stil de grain,
Drogueries ; pour peinture et teinture ; mine ; de plomb,drogue ; pour la peinture et la teinture ; mine de plomb,
Drogueries ; pour peinture et teinture ; Lakmoës,drogue ; pour la peinture et la teinture ; lackmoir,
Drogueries ; pour peinture et teinture ; Inde ; platte,drogue ; pour la peinture et la teinture ; Inde ; platte,
Drogueries ; pour peinture et teinture ; céruse,drogue ; pour la peinture et la teinture ; céruse,
Drogueries ; pour peinture et teinture ; brun ; rouge,drogue ; pour la peinture et la teinture ; brun rouge,
Drogueries ; pour peinture et teinture ; bleu ; en pierre,drogue ; pour la peinture et la teinture ; bleu ; en pierre,
Drogueries ; pour peinture et teinture ; azur,drogue ; pour la peinture et la teinture ; azur,
Drogueries ; métalliques ; sel ; ammoniac,drogue ; métallique ; sel ; ammoniac,
Drogueries ; métalliques ; diverses,drogue ; métallique ; diverse,
Drogueries ; médécinales ; tamarin,drogue ; médicinale ; tamarin,
Drogueries ; médécinales ; borax,drogue ; médicinale ; borax,
Drogueries ; gomme ; sandarak,drogue ; gomme ; sandaraque,
Drogueries ; gomme ; gulle,drogue ; gomme ; gutte,
Vin ; divers,vin ; divers,
Poissons ; rogues,poisson ; rogue,
Poissons ; stockfiche,poisson ; stockfish,"cnrtl.fr : STOCKFIS(C)F : Morue séchée à l'air; p. ext., poisson séché."
Poissons ; salés ; morue,poisson ; salé ; morue,
Grains ; comestibles ; divers,grain ; comestible ; divers,
Chair ; salée ; de toutes sortes,chair ; salée ; de toute sorte,
Papiers ; commun,papier ; commun,
Ouvrages ; de sparterie,ouvrage ; de sparterie,
Caves ; à flacons,cave ; à flacons,
Huile ; de graisse ; de poisson,huile ; de graisse ; de poisson,
Matières premières ; diverses,matières premières ; diverse,
Cuivre ; dit potin,cuivre ; dite potin,
Bray goudron et poix,bray ; goudron et poix,
Bois ; feuillards,feuillard ; en bois,
Drogues ; minium,drogue ; minium,
Drogues ; mine ; de plomb,drogue ; mine ; de plomb,
Drogues ; litarge,drogue ; litharge,
Drogues ; couperose,drogue ; couperose,
Drogues ; alun,drogue ; alun,
Drogues ; alquifoux,drogue ; alquifoux,
Drogues ; peinture et teinture ; diverses,drogue ; pour la peinture et la teinture ; diverse,
Drogues ; chimique,drogue ; chimique,
Drogues ; séné,drogue ; séné,
Drogues ; cassia lignea,drogue ; cassia lignea,
Drogues ; capilaire,drogue ; capillaire,
Poisson ; en huitres,poisson ; en huître,
Chair ; de bœuf,chair ; de bœuf,
Chair ; salée ; diverse,chair ; salée ; diverse,
Caffé ; ordinaire,café ; ordinaire,
Liqueur ; en taffiats,liqueur ; tafia,
Ustenciles ; divers,ustensiles ; divers,
Quincaillerie ; de cuivre et acier,quincaillerie ; de cuivre ; et acier,
Pelleterie ; de castor,pelleterie ; de castor,
Ouvrages ; peaux ; d'oigneaux,ouvrage ; de peau ; d'oigneaux,
Ouvrages ; peaux ; de dain,ouvrage ; de peau ; de daim,
Ouvrages ; peaux ; diverses,ouvrage ; de peau ; diverse,
Ouvrages ; papeterie,ouvrage ; de papeterie,
Ouvrages ; de tonnelier,ouvrage ; de tonnelier,
Objets d'industrie,objet d'industrie,
Colle ; de poisson ; etc.,colle ; de poisson,
Cannes ; diverses,canne ; diverse,
Agrés ; de navire,agrès ; de navire,
Toiles ; étrangères,toile ; étrangère,
Toiles ; indiennes,toile ; indienne,
Etoffes ; de soye et coton ; des Indes,étoffe ; de soie et coton ; des Indes,
Etoffes ; de soye ; des Indes,étoffe ; de soie ; des Indes,
Bonneterie ; fil et coton,bonneterie ; de fil et coton,
Bonneterie ; de coton et laine,bonneterie ; de coton et laine,
Lin ; écru,lin ; écru,
Cornes ; diverses,corne ; diverse,
Fer ; à la valeur,fer ; à la valeur,
Drogueries ; peinture ; sumac,drogue ; pour la peinture ; sumac,
Drogueries ; peinture ; galle,drogue ; pour la peinture ; galle,
Drogueries ; peinture,drogue ; pour la peinture,
Drogueries ; médécinales ; crème de tartre,drogue ; médicinale ; crème de tartre,
Drogueries ; mêlées ; en gomme ; commune,drogue ; mêlée ; gomme ; commune,
Poisson ; divers ; frais,poisson ; divers ; frais,
Pâte ; vermichel,pâte ; vermicelle,
Fruits ; secs ; amandes,fruit ; sec ; amande,
Poils ; de lièvre et lapin,poil ; de lièvre ; et lapin,
Plomb ; brut ; en pain,plomb ; brut ; en pain,
Cendre ; barille et fonde,cendre ; barille et fonde,
Terre ; pozolanne,terre ; Pouzzolane,"cnrtl.fr : Pouzzolane : Roche siliceuse d'origine volcanique, faiblement agglomérée, friable, dont la couleur varie du gris au rougeâtre, utilisée depuis l'Antiquité comme constituant secondaire des ciments et des mortiers."
Drogueries ; pour peinture et teinture ; Iris,drogue ; pour la peinture et la teinture ; iris,
