country,orthographic_normalization,simplification,grouping
St Domingue,,,
La Martinique,Martinique,Martinique,Colonies
La Guadeloupe,Guadeloupe,Guadeloupe,Colonies
Cayenne et Guyanne,,,
Sénégal et Guinée,Guinée-Sénégal,Guinée-Sénégal,Colonies
Possessions anglaises,,,
Possessions espagnoles,,,
Possessions hollandaises,,,
Possessions portugaises,,,
Possessions des Etats unis de l'Amérique,,,
Possessions danoises,,,
Possessions suédoises,,,
Tabago,Tobago,Tobago,Colonies
Voitures diverses,,,
Colonies Françaises de l'Amérique,,,
Possessions Espagnoles,,,
Possessions Anglaises,,,
Possessions Hollandaises,,,
Possessions des États-Unis de l'Amérique,,,
Possessions Portugaises,,,
Possessions Danoises,,,
Bourbon,,,
Isle de France et de Bourbon,,,
Sénégal,,,
Cayenne et Guyane,Cayenne-Guyane,Cayenne-Guyane,Colonies
Ypres,,,
???,?,?,?
Alger,,,
Angleterre,Angleterre,Angleterre,Angleterre
Autriche,,,
Belgique,,,
Deux-Siciles,,,
Egypte,,,
Espagne,Espagne,Espagne,Espagne
Etats Sardes,,,
Etats romains,États romains,États romains,Italie
Etats-Unis,États-Unis,États-Unis d'Amérique,États-Unis d'Amérique
Martinique,,,
Pérou,,,
Suisse,Suisse,Suisse,Suisse
Suède,Suède,Suède,Nord
Toscane,Toscane,Toscane,Italie
Villes anséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Turquie,,,
Etats barbares,,,
R.de la Plata,,,
Danemark,Danemark,Danemark,Nord
Haïti,,,
Pays-Bas,,,
Russie,Russie,Russie,Nord
Ile Maurice,,,
Grèce,,,
Guadeloupe,Guadeloupe,Guadeloupe,Colonies
St Thomas,,,
Cayenne,,,
Guyane anglaise,,,
Brésil,,,
Cuba et P.R.,,,
Allemagne,Allemagne,Allemagne,Allemagne et Pologne (par terre)
Portugal,Portugal,Portugal,Portugal
Prusse,Prusse,Prusse,Nord
Indes anglaises,,,
Norvège,,,
Chili,,,
Mexique,,,
Venezuela,,,
Meckl.Schw.,,,
Guatemala,,,
Merck.Schw.,,,
Indes françaises,,,
N.-Grenade,,,
Indes hollandaises,,,
Chine,,,
Mekel. Schw.,,,
Philippines,,,
Côtes d'Afrique,,,
Guatémala,,,
Etats du Roi de Sardaigne,,,
France,,,
République de Gênes,République de Gênes,Gênes,Italie
Milanez et Toscane,,,
Royaume de Naples et de Sicile et Duché de Parmes,,,
Etats de l'évêque de Rome et la république de Venise,,,
Angleterre y compris l'Ecosse et l'Irlande,,,
République de Hollande,,,
"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",,,
Etats de l'empereur en Allemagne et en Flandre,,,
