simplification,medicinal,note
étoffe ; d'herbe,,
étoffe ; d'argent,,
étoffe ; crêpe,,
étoffe ; cotonnelle,,
étoffe ; cartignette,,
étoffe ; canelle,,
étoffe ; de laine ; camelot,,
étoffe ; barracan,,
étoffe ; auquan,,
étoffe ; mêlée de soie ; à ?,,
étoffe ; Lampas,,
étoffe ; Cirsaka,,
étoffe,,
étau ; de fer,,
étamine ; à pavillon,,
étamine ; à passer fromage,,
étamine ; à bluteau,,
étamine ; rayée,,
étamine ; du Mans,,
étamine ; des prise,,
étamine ; de mi soie,,
étamine ; de laine,,
étamine ; de belzamine,,
étamine ; de Reims,,
étamine ; de Noyau,,
étamine ; de Nogent,,
étamine ; de Acims,,
étamine ; d'auvergne,,
étamine ; d'Amiens,,
étamine ; d'Allemagne,,
étamine ; d'agen,,
étamine ; buraite,,
étamine ; avec soie,,
étamine,,
étamette dauphine casinette,,
étamette,,
étalchasse,,
étais en bois,,
étain ; vieux,,
étain ; pour soudure,,
étain ; fin,,
etain ; en verge,,
étain ; en lingot,,
étain ; en feuille,,
étain ; en cannette,,
étain ; en bloc,,
étain ; en bassin,,
étain ; en barre ou en bloc,,
étain ; en baguette,,
étain ; divers,,
étain ; des Indes,,
étain ; de glace,,
étain ; de Melac,,
étain ; d'Angleterre,,
étain ; brut,,
étain ; battu,,
étain,,
equipement militaire,,
équipement de navire,,
épée ; montée en argent,,
épée ; montée en acier,,
épée ; masquinée,,
épée ; de cuivre,,
épée ; d'argent et de cuivre,,
épée ; d'argent,,
épée ; d'acier,,
eprouvette ; de cuivre,,
épousterie,,
éponge ; commune et fine,,
éponge ; commune,éponge ; commune,
éponge,éponge,
épitaphe,,
épingle ; en cuivre,,
épingle ; de laiton,,
épingle ; commune,,
épingle,,
épicerie ; sucre ; en pain,,
épicerie ; diverse,,
épicerie ; poivre piment,,
épicerie ; poivre giroflé,,
épicerie ; poivre ; long,épicerie ; poivre ; long,
épicerie ; poivre ; en grain,,
épicerie ; mêlée,,
épicerie ; muscade,épicerie ; muscade,
épicerie ; macis,,
epicerie ; huile ; de poisson,,
epicerie ; huile ; de noix,,
epicerie ; huile ; de lin et de graine,,
epicerie ; huile ; d'olive,,
épicerie ; gingembre ; cru,épicerie ; gingembre ; cru,
epicerie ; fine,,
épicerie ; douce,,
epicerie ; diverse,,
epicerie ; chocolat,,
épicerie ; cannelle ; fleur de,,
épicerie ; cannelle ; commune,,
éperon,,
épeautre ; en gerbe,,
grain ; épeautre,,
épart ; simple,,
épart ; bris,,
épart,,
emery ; rouge,,
emery ; en pierre,,
elixir,elixir,
égouttoir ; à fondre,,
égouttoir,,
églefin ; séché,,
écuelle ; de vermillon,,
écuelle ; de terre,,
ecru ; de cerise,,
ecritoire ; garni d'or,,
ecritoire,,
écrin ; peint,,
écrin,,
écrevisse de rivière,,
écrevisse de mer,,
écrevisse,,
écran,,
ecorce ; à tanner,,
ecorce ; diverse,,
ecorce ; de tilleul,,
ecorce ; de soie,,
ecorce ; de pin ; en poussière,,
ecorce ; de grenade,,
ecorce ; de cèdre,,
écorce ; de citron et d'orange,écorce ; de citron et d'orange,
ecorce ; de citron confit,ecorce ; de citron confit,
écorce ; de citron ; séchée,écorce ; de citron ; séchée,
ecorce ; de chêne moulue,,
ecorce ; de chanvre,,
écorce ; de bouleau,,
ecorce ; de bois,,
écorce ; de bergamote,,
ecorce ; de chêne,,
ecorce ; d'orange et de citron,ecorce ; d'orange et de citron,
ecorce ; d'orange ; sergal,ecorce ; d'orange ; sergal,
ecorce ; d'orange,ecorce ; d'orange,
"ecorce ; d'arbre, bast, foularde",,
ecorce ; d'arbre étoffe,,
ecorce ; d'arbre,,
ecorce,,
échelle,,
écharpe et gaze,,
écharpe ; de soie,,
échantillon et morceau de soie,,
echalote,,
ecarlate,,
écaille ; octomœe,,
écaille ; de tortue,,
écaille ; de caret,,
ebénisterie,,
ânon,,
zédoaria,zédoaria,
zingar,,
zinc,,
bigarade ; zeste,,
zain,,
wuinnes,,
wollegoet,,
wagon ; artillerie,,
wagon,,
wagheschot ; scié en planche,,
wagheschot ; en blocq,,
végétal,,
vulnéraire ; de Suisse,vulnéraire ; de Suisse,
vuide Constance,,
vrille,,
voëdes,,
volant ; de camelot,,
volant,,
voiture,,
voile ; de laine,,
voile,,
vlottes,,
drogue ; métallique ; vitriol ; de Chypre,drogue ; métallique ; vitriol ; de Chypre,
vitriol ; blanc,vitriol ; blanc,
vis ; en fer,,
vis,,
virez,,
vipérine ; en racine,,
vipérine,,
violoncelle,,
vinaigre ; ordinaire,,
vinaigre ; de vin,,
vinaigre ; de cidre,,
vinaigre ; de bière,,
vinaigre ; de composition,,
vinaigre,,
vin ; étranger,,
vin ; sucré,,
vin ; rouge ; commun,,
vin ; rouge,,
vin ; ordinaire ; en miel,,
vin ; ordinaire,,
vin ; noir,,
vin ; jauge gros bard,,
vin ; Soissons,,
vin ; idem ; de montagne,,
vin ; idem ; de la Ferté,,
vin ; idem ; de Ville,,
vin ; idem ; de Rully,,
vin ; idem ; de Rota,,
vin ; idem ; de Reims,,
vin ; idem ; d'Alicante,,
vin ; idem ; Meursault,,
vin ; hors,,
vin et eau de vie,,
vin ; du Portugal,,
vin ; du Languedoc,,
vin ; du Haut-Pays,,
vin ; du Fayal,,
vin ; du Croisic,,
vin ; du Comté,,
vin ; du Cap Breton,,
vin ; du Cap,,
vin ; doux,,
vin ; divers,,
vin ; dit Bleckaert,,
vin ; des Îles,,
vin ; des Canaries,,
vin ; de ville,,
vin ; de rivière,,
vin ; de poisson,,
vin ; de montagne,,
vin ; de liqueur,,
vin ; en fût,,
vin ; de hors,,
vin ; de haut,,
vin ; de deviet,,
vin ; de Vienne,,
vin ; de Touraine,,
vin ; de Tinto,,
vin ; de Thiaucourt,,
vin ; de Suisse,,
vin ; de St. Seau,,
vin ; de St. Jean,,
vin ; de St. Laurent,,
vin ; de Sicile,,
vin ; de Savoie,,
vin ; de Samos,,
vin ; de Ste. Foy,,
vin ; de Saint Jean,,
vin ; de Saint Ange,,
vin ; de Ré,,
vin ; de Rouys,,
vin ; de Rots,,
vin ; de Rota,,
vin ; de Rome,,
vin ; de Rochefort,,
vin ; de Rivesac,,
vin ; du Rhin,,
vin ; de Ranijo,,
vin ; de Querey,,
vin ; de Quercy,,
vin ; de Prague,,
vin ; de Portugal,,
vin ; de Poitou,,
vin ; de Picardan,,
vin ; de Palme,,
vin ; de Navarre,,
vin ; de N. Jean,,
vin ; de Mâcon,,
vin ; de Murville,,
vin ; de Mursante,,
vin ; de Moselle,,
vin ; de Mezac,,
vin ; de Metz,,
vin ; de Marennes,,
vin ; de Manheim,,
vin ; de Malvoisie,,
vin ; de Malaga,,
vin ; de Lyon,,
vin ; de Lorraine,,
vin ; de Langres,,
vin ; de La Rochelle,,
vin ; de Haule,,
vin ; du Hainaut,,
vin ; de Gênes,,
vin ; de Guacy,,
vin ; de Grèce,,
vin ; de Gilly,,
vin ; de Gensac,,
vin ; de Garonne,,
vin ; de Gaillac,,
vin ; de Frontignan,,
vin ; de Frontignac,,
vin ; de Provence,,
vin ; de France ; de Gascogne,,
vin ; de France ; de Champagne,,
vin ; de Bordeaux,,
vin ; de France ; de Bordeaux,,
vin ; de Florence,,
vin ; de Flandres,,
vin ; de Domé,,
vin ; de Dijon,,
vin ; de Dauphiné,,
vin ; de Coste,,
vin ; de Corse,,
vin ; de Constance,,
vin ; de Condrieux,,
vin ; de Comté,,
vin ; de Cognac,,
vin ; de Clerac,,
vin ; de Cioutan,,
vin ; de Chypre,,
vin ; de Chenove,,
vin ; de Charente,,
vin ; de Champagne,,
vin ; de Chalons,,
vin ; de Chagny,,
vin ; de Cette,,
vin ; de Catalogne,,
vin ; de Canaries,,
vin ; de Cahors,,
vin ; de Cabreton,,
vin ; de Béziers,,
vin ; de Bugey,,
vin ; de Bretagne,,
vin ; de Bourgogne ; de la Ferté,,
vin ; de Bourgogne ; de grand,,
vin ; de Bourgogne ; de Tonnerre,,
vin ; de Bourgogne ; de Suvigny,,
vin ; de Bourgogne ; de Rully,,
vin ; de Bourgogne ; de Poutigny,,
vin ; de Bourgogne ; de Mursault,,
vin ; de Bourgogne ; de mercuray,,
vin ; de Bourgogne ; de Gilly,,
vin ; de Bourgogne ; de Gevray,,
vin ; de Bourgogne ; de Dijon,,
vin ; de Bourgogne ; de Comté,,
vin ; de Bourgogne ; de Chalons,,
vin ; de Bourgogne ; de Chagny,,
vin ; de Bourgogne ; de Chablis,,
vin ; de Bourgogne ; de Beaune,,
vin ; de Bourgogne ; d'Auxonne,,
vin ; de Bourgogne ; d'Auxerre,,
vin ; de Bourgogne ; d'Arbois,,
vin ; de Bourgogne,,
vin ; de Bordeaux ; de ville,,
vin ; de Castillon,,
vin ; de Médoc,,
vin ; de Bordeaux ; de Blaye,,
vin ; de France,,
vin ; de Bergerac,,
vin ; de Benicarlo,,
vin ; de Beaune,,
vin ; de Bayonne,,
vin ; de Barrois,,
vin ; de Barcelone,,
vin ; de Bar,,
vin ; de Amont,,
vin ; d'orange,,
vin ; d'or ; de ville,,
vin ; d'or ; de haut,,
vin ; d'or ; de Nuits,,
vin ; d'or ; de Mâcon,,
vin ; d'or ; de Dijon,,
vin ; d'or ; de Beaune,,
vin ; d'or ; d'Auxerre,,
vin ; d'aigluillon,,
vin ; d'absinthe,,
vin ; d'Orléans,,
vin ; d'Oléron rouge,,
vin ; d'Oléron,,
vin ; d'Italie,,
vin ; d'Espagne et de liqueur,,
vin ; d'Espagne ; de Xérès,,
vin ; d'Espagne ; de Rota,,
vin ; d'Espagne ; de Rancio,,
vin ; d'Espagne ; de Pacarel,,
vin ; d'Espagne ; de Navarre,,
vin ; d'Espagne ; de Malaga,,
vin ; d'Espagne ; de Madère,,
vin ; d'Espagne ; de Madres,,
vin ; de Barcelonne,,
vin ; d'Espagne ; Tinto,,
vin ; d'Espagne,,
vin ; d'Auxerre,,
vin ; d'Aument,,
vin ; d'Aubagne,,
vin ; d'Arbois,,
vin ; d'Amour,,
vin ; d'Amont,,
vin ; d'Ambrion,,
vin ; d'Alicante,,
vin ; cuit,,
vin ; blanc,,
vin ; Nantais,,
vin ; Malvoisie,,
vin ; Dan ; de ville,,
vin ; de Bordeaux ; de haut,,
vin ; de Bourg,,
vin ; de Blaye,,
vin ; Champagne,,
vif d'argent,vif d'argent,
vieux ; oing,,
viande ; salée,,
viande ; fumée,,
viande ; de mouton,,
viande ; de bœuf,,
viande ; d'agneau,,
viande,,
veste ; de toile ; brodée,,
veste ; de soie,,
veste ; de drap ; brodée ; en or,,
veste,,
vessie ; natatoire,,
vessie,,
vesce,,
vert moulu,,
vert,,
verrunes,,
verrerie ; diverse,,
verrerie,,
verre ; à vin,,
verre ; à boire,,
verre ; verroterie,,
verre ; à vitre,,
verre ; pour montre,,
verre ; pour lustre,,
ouvrage ; de verre ; en table,,
verre ; moulein,,
verre ; filé,,
ouvrage ; de verre ; bouteille,,
verre ; de montre,,
verre ; de mer,,
verre ; de lampe,,
verre ; de grin,,
verre ; de cristallin,,
verre ; de baromètre,,
verre ; de Venise,,
verre ; de Saint Louis,,
verre ; de Lorraine,,
verre ; de Hessen,,
verre ; de France,,
verre ; de Bohème,,
verre ; de Barrois,,
verre ; d'antimoine,,
verre ; d'ambre,,
verre ; d'Alsace,,
verre ; d'Allemagne,,
verre ; en table,,
verre ; cristallin,,
verre ; cassé ; en groisil,,
verre ; cassé,,
verre,,
vermillon,,
vermeille,,
verjus,,
vergue ; de navire,,
vergue,,
verd ; rouge,,
verd ; distillé,,
verd ; de vessie,,
verd ; de montagne,,
verd ; de mer,,
verd ; d'eau,,
ambre ; vert,,
verd ; d'Espagne,,
verd,,
vendange,,
velours ; uni,,
velours ; de soie,,
velours ; de gueux,,
velours ; de coton,,
velours ; de Gênes,,
velours ; d'Utrecht,,
velours ; avec argent,,
velours,,
veiles,,
veaux-oing,,
vaude,,
vatons,,
vase,,
vas ; du Rhin,,
vanille,,
vandes,,
van ; à vanner,,
valtones,,
vaisselle ; terre,,
vaisselle ; plate,,
vaisselle ; de terre,,
vaisselle ; de bois,,
vaisselle ; d'étain,,
vaisselle ; d'or,,
vaisselle ; d'argent,,
vaisselle,,
ustensile ; de ménage,,
tôle ; de cuivre,,
tôle,,
tête ; de morue,,
tête ; de clou de girofle,,
tétras ; noir,,
térébenthine ; en pâte,térébenthine ; en pâte,
térébenthine ; de Venise,térébenthine ; de Venise,
térébenthine ; commune,,
térébenthine,térébenthine,
télescope,,
tuyau ; d'orgue,,
tutilly,,
tutie,,
tutic,,
turquoise,,
poisson ; turbot ; salé,,
poisson ; turbot,,
turbit,turbit,
tulle,,
tuile ; plate,,
toile ; de Bretagne ; de Pontivy,,
tuile ; courbée,,
tube ; long,,
trully,,
truffe ; sèche,,
truffe ; noire,,
truffe,,
tripoli,,
tripe ; sur soie,,
tripe ; de velours,,
tripe ; de laine,,
tripe ; de Lannoy,,
tripe,,
trictrac,,
tresse ; de soie,,
tresse ; de laine,,
tresse ; de fleuret,,
tresse ; de fil,,
tresse ; d'or et d'argent,,
tresse ; d'or,,
tresse ; d'argent,,
tremille,,
treillis ; d'Allemagne,,
treillis,,
trait ; d'or,,
toutenague,,
tours ; de lit ; de bourre,,
tours,,
touron,,
tournesol ; en drapeau,,
tournesol,,
tournebroche,,
tourbe,,
tour ; à filer,,
tour ; pour tourneur,,
tortue,,
tord ; gros,,
tonneau ; à bière,,
tonneau ; vide,,
tonneau ; en bois,,
tonneau,,
tondelle,,
tombeau,,
toilette ; de femme,,
toilette ; de bois,,
toilette,,
toile ; étrangère ; du Piémont,,
toile ; étrangère,,
toile ; à voile,,
toile ; à treillis,,
toile ; à tapisser,,
toile ; à tamis,,
toile ; à peindre,,
toile ; à pavillon,,
toile ; à paillasse,,
toile ; à drapeau,,
toile ; à doubler,,
toile ; à canevas,,
toile ; à bas,,
toile ; sangalette,,
toile ; royale,,
toile ; rouge,,
toile ; pressée,,
toile ; presitte,,
toile ; pour tente,,
toile ; pour talliet,,
toile ; pour tableau,,
toile ; pour tabac,,
toile ; pour serviette,,
toile ; à matelas,,
toile ; pour ameublement,,
toile ; de Poméranie,,
toile ; platille,,
toile ; petite,,
toile ; peinte ; imprimée,,
toile ; ouvrée,,
toile ; noyale,,
toile ; non battue,,
toile ; étoffe ; coton ; nankin,,
toile ; montagne,,
toile ; nicanéas,,
toile ; manouf,,
toile ; manche,,
toile ; lustrée,,
toile ; linon ; batiste,,
toile ; linon,,
toile ; linge de table ; vieux,,
toile ; lavée,,
toile ; killis,,
toile ; kettroy,,
toile ; indienne,,
toile ; imprimée,,
toile ; idem ; fin,,
toile ; idem ; d'Olonne,,
toile ; guinée ; bleue,,
toile ; guinée,,
toile ; gros fort,,
toile ; grise ; non battue,,
toile ; grise,,
toile ; gracienne,,
toile ; gommée,,
toile ; gingas ; nationale,,
toile ; gingas,,
toile ; flamande,,
toile ; fine,,
toile ; sac,,
toile et fil,,
toile et bonneterie,,
toile ; en serviette,,
toile ; linge de table,,
toile ; en fair,,
toile ; en chemise,,
toile ; embabis,,
toile ; découpée,,
toile ; dure,,
toile ; du pays,,
toile ; du Lyonnais,,
toile ; du Béarn,,
toile ; diverse ; en batiste,,
toile ; de voile,,
toile ; de soie,,
toile ; de ploc,,
toile ; de platille,,
toile ; de paille,,
toile ; de lisson,,
toile ; de lin ; écrue,,
toile ; de lin ; à matelas,,
toile ; de lin ; à doubler,,
toile ; de lin ; toilette,,
toile ; de lin ; teinte,,
toile ; de lin ; royale,,
toile ; de lin ; rayée,,
toile ; de lin ; platille,,
toile ; de lin ; linon ; brodée,,
toile ; de lin ; linon,,
toile ; de lin ; lingerie,,
toile ; de lin ; indigo,,
toile ; de lin ; imprimée,,
toile ; de lin ; grosse pointe,,
toile ; de lin ; grosse,,
toile ; de lin ; gingas,,
toile ; de lin ; fine ; de Hollande,,
toile ; de lin ; fine,,
toile ; de lin ; fin,,
toile ; de lin ; de bernay,,
toile ; de lin ; de Valenciennes,,
toile ; de lin ; de Troyes,,
toile ; de lin ; de St. Quentin,,
toile ; de lin ; de St. Malo,,
toile ; de lin ; de Servins,,
toile ; de lin ; de Senlis,,
toile ; de lin ; de Russie,,
toile ; de lin ; de Rouen,,
toile ; de lin ; de Pinon,,
toile ; de lin ; de Marigny,,
toile ; de lin ; de Lille,,
toile ; de lin ; de Laval,,
toile ; de lin ; de Hollande,,
toile ; de lin ; de Gand,,
toile ; de lin ; de Frise,,
toile ; de lin ; de Flandre,,
toile ; de lin ; de Cholet,,
toile ; de lin ; de Beauvais,,
toile ; de lin ; de Beaujolais,,
toile ; de lin ; d'Amiens,,
toile ; de lin ; d'Alençon,,
toile ; de lin ; d'Abbeville,,
toile ; de lin ; crue,,
toile ; de lin ; coutil,,
toile ; de lin ; claire et gaze,,
toile ; de lin ; claire,,
toile ; de lin ; cirée,,
toile ; de lin ; brochée,,
toile ; de lin ; blanche,,
toile ; de lin ; batiste,,
toile ; de lin ; au lait,,
toile ; de lin,,
toile ; de gris,,
toile ; de fougère,,
toile ; de fil ; en coutil,,
toile ; de fil ; commune,,
toile ; de fil ; blanche,,
toile ; de crin ; cirée,,
toile ; de crin,,
toile ; de couleur,,
toile ; de coton ; à jamin,,
toile ; de coton ; à carreau,,
toile ; de coton ; à bas,,
toile ; de coton ; vieux,,
toile ; de coton ; teinte,,
toile ; de coton et soie,,
toile ; de coton ; piquée,,
toile ; de coton ; persiste,,
toile ; de coton ; peinte,,
toile ; de coton ; nankin,,
toile ; de coton ; large,,
toile ; de coton ; imprimée,,
toile ; de coton ; futaine,,
toile ; de coton ; forte,,
toile ; de coton ; mousseline,,
toile ; de coton ; du Levant,,
toile ; de coton ; des Indes,,
toile ; de coton ; demitte,,
toile ; de coton ; du Piémont,,
toile ; de coton ; de guinée,,
toile ; de coton ; de duvet,,
toile ; de coton ; d'Antioche,,
toile ; de coton ; cotonnette,,
toile ; de coton ; corroyée,,
