numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,
1,Stephen Jackson,,,,1771,imports,1,"Allemagne, Lorraine et pais de Liege",Amiens,16685,,
2,Stephen Jackson,,,,1771,imports,1,"Allemagne, Lorraine et pais de Liege",Bourgogne,333959,,
3,Stephen Jackson,,,,1771,imports,1,"Allemagne, Lorraine et pais de Liege",Châlons,3672349,,
4,Stephen Jackson,,,,1771,imports,1,"Allemagne, Lorraine et pais de Liege",Charleville,2780789,,
5,Stephen Jackson,,,,1771,imports,1,"Allemagne, Lorraine et pais de Liege",Flandre,92510,,
6,Stephen Jackson,,,,1771,imports,1,"Allemagne, Lorraine et pais de Liege",Langres,417020,,
7,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Amiens,634378,,
8,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Bayonne,179721,,
9,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Bourgogne,1676254,,
10,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Châlons,7682825,,
11,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Charleville,158587,,
12,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Flandre,222941,,
13,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Langres,579854,,
14,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Lyon,16719628,,
15,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Montpellier,32646,,
16,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Roüen,2174223,,
17,Stephen Jackson,,,,1771,exports,1,"Allemagne, Lorraine et pais de Liege",Saint Quentin,624724,,
18,Stephen Jackson,,,,1771,imports,1,Angleterre,Amiens,659167,,
19,Stephen Jackson,,,,1771,imports,1,Angleterre,Bordeaux,6582246,,
20,Stephen Jackson,,,,1771,imports,1,Angleterre,Caën,127322,,
21,Stephen Jackson,,,,1771,imports,1,Angleterre,La Rochelle,337494,,
22,Stephen Jackson,,,,1771,imports,1,Angleterre,Marseille,1265821,,
23,Stephen Jackson,,,,1771,imports,1,Angleterre,Montpellier,23280,,
24,Stephen Jackson,,,,1771,imports,1,Angleterre,Nantes,574523,,
25,Stephen Jackson,,,,1771,imports,1,Angleterre,Rennes,3275484,,
26,Stephen Jackson,,,,1771,imports,1,Angleterre,Roüen,4534838,,
27,Stephen Jackson,,,,1771,exports,1,Angleterre,Amiens,3711584,,
28,Stephen Jackson,,,,1771,exports,1,Angleterre,Bayonne,14227,,
29,Stephen Jackson,,,,1771,exports,1,Angleterre,Bordeaux,2400199,,
30,Stephen Jackson,,,,1771,exports,1,Angleterre,Bourgogne,7800,,
31,Stephen Jackson,,,,1771,exports,1,Angleterre,Caën,180083,,
32,Stephen Jackson,,,,1771,exports,1,Angleterre,Châlons,37710,,
33,Stephen Jackson,,,,1771,exports,1,Angleterre,Flandre,70868,,
34,Stephen Jackson,,,,1771,exports,1,Angleterre,La Rochelle,531887,,
35,Stephen Jackson,,,,1771,exports,1,Angleterre,Marseille,504122,,
36,Stephen Jackson,,,,1771,exports,1,Angleterre,Montpellier,256569,,
37,Stephen Jackson,,,,1771,exports,1,Angleterre,Nantes,53045,,
38,Stephen Jackson,,,,1771,exports,1,Angleterre,Rennes,544414,,
39,Stephen Jackson,,,,1771,exports,1,Angleterre,Roüen,1807874,,
40,Stephen Jackson,,,,1771,exports,1,Angleterre,Saint Quentin,44240,,
41,Stephen Jackson,,,,1771,imports,1,Danemark,Amiens,116558,,
42,Stephen Jackson,,,,1771,imports,1,Danemark,Bordeaux,641683,,
43,Stephen Jackson,,,,1771,imports,1,Danemark,Caën,21052,,
44,Stephen Jackson,,,,1771,imports,1,Danemark,La Rochelle,49529,,
45,Stephen Jackson,,,,1771,imports,1,Danemark,Marseille,0,,
46,Stephen Jackson,,,,1771,imports,1,Danemark,Nantes,61470,,
47,Stephen Jackson,,,,1771,imports,1,Danemark,Rennes,237011,,
48,Stephen Jackson,,,,1771,imports,1,Danemark,Roüen,281408,,
49,Stephen Jackson,,,,1771,exports,1,Danemark,Amiens,2237,,
50,Stephen Jackson,,,,1771,exports,1,Danemark,Bordeaux,2705780,,
51,Stephen Jackson,,,,1771,exports,1,Danemark,Caën,3386,,
52,Stephen Jackson,,,,1771,exports,1,Danemark,La Rochelle,323218,,
53,Stephen Jackson,,,,1771,exports,1,Danemark,Marseille,3650,,
54,Stephen Jackson,,,,1771,exports,1,Danemark,Nantes,256497,,
55,Stephen Jackson,,,,1771,exports,1,Danemark,Rennes,126824,,
56,Stephen Jackson,,,,1771,exports,1,Danemark,Roüen,99611,,
57,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Amiens,2528231,,
58,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Bayonne,2389761,,
59,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Bordeaux,2023219,,
60,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Caën,2083,,
61,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",La Rochelle,31524,,
62,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Marseille,6472084,,
63,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Montpellier,976843,,
64,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Nantes,1597923,,
65,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Narbonne,157337,,
66,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Rennes,666821,,
67,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Roüen,10042609,,
68,Stephen Jackson,,,,1771,imports,1,"Espagne, Canaries et les Isles Occidentales",Saint Quentin,15665,,
69,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Amiens,3093224,,
70,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Bayonne,6932833,,
71,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Bordeaux,778619,,
72,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Caën,2318,,
73,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Châlons,369247,,
74,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Flandre,393937,,
75,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Lyon,2707564,,
76,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Marseille,13693259,,
77,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Montpellier,557497,,
78,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Nantes,2153415,,
79,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Narbonne,629631,,
80,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Rennes,6644319,,
81,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Roüen,2883351,,
82,Stephen Jackson,,,,1771,exports,1,"Espagne, Canaries et les Isles Occidentales",Saint Quentin,2100504,,
