Objet du commerce de la France avec la Russie en 1750,,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Arozoirs,Nantes,550,137,10,,,,,,,137,10,
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Avirons,Nantes,42,63,,,,,,,,63,,
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Barres ; d'anspects,Nantes,880,880,,,,,,,,880,,
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Bois ; à bruler,Nantes,24,288,,,,,,,,288,,
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Chanvre ; crü,Nantes,364 492,91 123,,,,,,,,171 888,,
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Chanvre ; crü,Rebbes,366 700,73 340,,,,,,,,171 888,,
Jérémy Hervelin,Fonds Gournay - M87,1750,224,Chanvre ; crü,Roüen,24 750,7 425,,,,,,,,171 888,,
Jérémy Hervelin,Fonds Gournay - M87,1750,225,Cire ; jaune,Roüen,1 575,3 150,,,,,,,,3 150,,
Jérémy Hervelin,Fonds Gournay - M87,1750,225,Espars,Nantes,34,34,,,,,,,,459,4,
Jérémy Hervelin,Fonds Gournay - M87,1750,225,Espars,Nantes,1 063,425,4,,,,,,,459,4,
Jérémy Hervelin,Fonds Gournay - M87,1750,226,Fer ; en barres,Nantes,57 263,7 444,3,,,,,,,,,
Jérémy Hervelin,Fonds Gournay - M87,1750,226,Fer ; en barres,Rennes,339 000,44 070,,,,,,,,51 514,3,
Jérémy Hervelin,Fonds Gournay - M87,1750,226,Goudron,Nantes,1 019,22 418,,,,,,,,22 418,,
Jérémy Hervelin,Fonds Gournay - M87,1750,226,Huile ; de poisson,Roüen,6 570,1 642,10,,,,,,,1 642,10,
Jérémy Hervelin,Fonds Gournay - M87,1750,226,Lin ; crû,Rennes,37 350,18 675,,,,,,,,18 675,,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Mats,Nantes,77,7 700,,,,,,,,15 560,,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Mats,Nantes,54,4 860,,,,,,,,15 560,,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Mats,Nantes,156,3 000,,,,,,,,15 560,,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Matreaux ; ou petits mats,Nantes,174,3 480,,,,,,,,3 480,,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Merrain ; à bariques,Nantes,2 800,1 120,,,,,,,,1 120,,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Planches ; de sapin,Nantes,3 555,5 147,8,,,,,,,6 626,8,
Jérémy Hervelin,Fonds Gournay - M87,1750,227,Planches ; de sapin,Rennes,986,1 479,,,,,,,,6 626,8,
Jérémy Hervelin,Fonds Gournay - M87,1750,228,Saumon ; salé,Roüen,8 500,3 400,,,,,,,,3 400,,
Jérémy Hervelin,Fonds Gournay - M87,1750,228,Soliveaux ; de sapin,Roüen,2,2,,,,,,,,2,,
Jérémy Hervelin,Fonds Gournay - M87,1750,228,Toile ; de voile,Roüen,4 725,9 450,,,,,,,,9 450,,
