Objet du commerce de la France avec la Flandre Autrichienne en 1750,,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M86,1750,3,Aiguilles,Flandre,288,14 410,,,,,,,,14 410,,
Jérémy Hervelin,Fonds Gournay - M86,1750,3,Alambie ; de terre,Flandre,,50,,,,,,,,50,,
Jérémy Hervelin,Fonds Gournay - M86,1750,3,Alun,Flandre,10,2,,,,,,,,2,,
Jérémy Hervelin,Fonds Gournay - M86,1750,3,Anchois,Flandre,5,90,,,,,,,,127,,
Jérémy Hervelin,Fonds Gournay - M86,1750,3,Anchois,Flandre,20,16,,,,,,,,127,,
Jérémy Hervelin,Fonds Gournay - M86,1750,3,Anchois,St. Quentin,20,21,,,,,,,,127,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Arbres ; à planter,Flandre,108,5 400,,,,,,,,5 400,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Ardoises,Charleville,2,50,,,,,,,,50,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Avoine ; mondée,Flandre,25,3,15,,,,,,,3,15,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Azur,Flandre,1 140,741,,,,,,,,773,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Azur,Flandre,40,32,,,,,,,,773,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Balais ; de bois,Flandre,29 000,2 175,,,,,,,,2 747,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Balais ; de bois,Flandre,,572,,,,,,,,2 747,,
Jérémy Hervelin,Fonds Gournay - M86,1750,4,Baleine ; coupée,Flandre,286,1 430,,,,,,,,1 430,,
Jérémy Hervelin,Fonds Gournay - M86,1750,5,Bas ; coton et fil,Flandre,99,297,,,,,,,,397,,
Jérémy Hervelin,Fonds Gournay - M86,1750,5,Bas ; de soye,Flandre,2,100,,,,,,,,397,,
Jérémy Hervelin,Fonds Gournay - M86,1750,5,Basse ; de viole,Flandre,2,120,,,,,,,,120,,
Jérémy Hervelin,Fonds Gournay - M86,1750,5,Basson,Flandre,2,48,,,,,,,,48,,
Jérémy Hervelin,Fonds Gournay - M86,1750,5,Bazin,Flandre,6,108,,,,,,,,123,14,
Jérémy Hervelin,Fonds Gournay - M86,1750,5,Bazin,Flandre,37,15,14,,,,,,,123,14,
Jérémy Hervelin,Fonds Gournay - M86,1750,6,Beufs ; en vie,Flandre,18,2 700,,,,,,,,2 700,,
Jérémy Hervelin,Fonds Gournay - M86,1750,6,Beure,Flandre,878 894,263 668,4,,,,,,,263 690,14,
Jérémy Hervelin,Fonds Gournay - M86,1750,6,Beure,St. Quentin,75,22,10,,,,,,,263 690,14,
