"Objet du commerce de la France avec le Portugal, les Isles Madere, Terceres et Acores en 1750",,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M87,1750,324,Balais ; de palmes,Nantes,90,360,,,,,,,,360,,
Jérémy Hervelin,Fonds Gournay - M87,1750,324,Baleine ; coupée,Marseille,5 500,26 125,,,,,,,,109 450,,
Jérémy Hervelin,Fonds Gournay - M87,1750,324,Baleine ; en fanon,Roüen,27 775,83 325,,,,,,,,109 450,,
Jérémy Hervelin,Fonds Gournay - M87,1750,325,Beure,Marseille,9 600,3 840,,,,,,,,3 840,,
Jérémy Hervelin,Fonds Gournay - M87,1750,325,Bois ; de Brezil,Nantes,48 934,8 808,,,,,,,,94 418,12,
Jérémy Hervelin,Fonds Gournay - M87,1750,325,Bois ; de campêche,Marseille,201 600,30 240,,,,,,,,94 418,12,
Jérémy Hervelin,Fonds Gournay - M87,1750,325,Bois ; de fernambourg,Roüen,89 600,44 800,,,,,,,,94 418,12,
Jérémy Hervelin,Fonds Gournay - M88,1750,325,Bois ; de jaraconda,Roüen,55,22,,,,,,,,94 418,12,
Jérémy Hervelin,Fonds Gournay - M87,1750,325,Bois ; de marqueterie,Roüen,35 162,10 548,12,,,,,,,94 418,12,
Jérémy Hervelin,Fonds Gournay - M87,1750,326,Cacao,Bayonne,6 500,6 500,,,,,,,,51 025,,
Jérémy Hervelin,Fonds Gournay - M87,1750,326,Cacao,Marseille,34 250,44 525,,,,,,,,51 025,,
Jérémy Hervelin,Fonds Gournay - M87,1750,326,Canelle,Marseille,6 000,36 000,,,,,,,,36 000,,
Jérémy Hervelin,Fonds Gournay - M87,1750,327,Canelle ; gerofflée,Marseille,21 500,12 900,,,,,,,,12 900,,
