"Objet du commerce de la France avec l'Allemagne, la Lorraine et le Païs de Liege en 1750",,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Acier ; brut,Bourgogne,47 033,14 110,1,,,,,,,24 483,9,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Acier ; ouvré,Chaalons,21 939,9 872,11,,,,,,,24 483,9,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Acier ; ouvré,Charleville,941,423,9,,,,,,,24 483,9,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Acier ; ouvré,Langres,172,77,8,,,,,,,24 483,9,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Aiguilles,Bourgogne,40,240,,,,,,,,297 375,,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Aiguilles,Charleville,59 396,296 980,,,,,,,,297 375,,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Aiguilles,Flandre,31,155,,,,,,,,297 375,,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Airain,Chaalons,330,412,10,,,,,,,1 044,,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Airain,Chaalons,421,631,10,,,,,,,1 044,,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Alun,Bourgogne,68 610,13 722,,,,,,,,17 019,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Alun,Chaalons,8 278,2 069,10,,,,,,,17 019,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Alun,Charleville,3 149,787,5,,,,,,,17 019,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Alun,Langres,1 000,250,,,,,,,,17 019,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,56,Alun,St. Quentin,1 270,190,10,,,,,,,17 019,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,57,Ardoises,Flandre,1 839,47 814,,,,,,,,47 814,,
Jérémy Hervelin,Fonds Gournay - M87,1750,57,Armes ; à feu,Charleville,68 671,206 010,,,,,,,,206 010,,
Jérémy Hervelin,Fonds Gournay - M87,1750,57,Armoire,Langres,1,40,,,,,,,,40,,
Jérémy Hervelin,Fonds Gournay - M87,1750,57,Asnes,Chaalons,2,60,,,,,,,,60,,
Jérémy Hervelin,Fonds Gournay - M87,1750,57,Avelines,Chaalons,100,20,,,,,,,,20,,
Jérémy Hervelin,Fonds Gournay - M87,1750,58,Azur,Chaalons,36,21,12,,,,,,,21,12,
Jérémy Hervelin,Fonds Gournay - M87,1750,58,Bas ; de laine,Charleville,23,69,,,,,,,,69,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Batons ; de colliers,Chaalons,3,42,,,,,,,,78,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Batons ; de colliers,Chaalons,,36,,,,,,,,78,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Bazannes,Chaalons,24,18,,,,,,,,18,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Bazin,Chaalons,1,37,10,,,,,,,37,10,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Beufs ; en vie,Chaalons,143,21 450,,,,,,,,21 450,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Bierre,Chaalons,1,20,,,,,,,,32,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Bierre,Chaalons, 1/8,12,,,,,,,,32,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Bluteaux,Langres,1,10,,,,,,,,10,,
Jérémy Hervelin,Fonds Gournay - M87,1750,59,Boëtes,Chaalons,2 690,672,10,,,,,,,672,10,
