Objet du commerce de la France avec le Danemark en 1750,,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Acier,Bordeaux,1 260,378,,,,,,,,378,,
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Ancres ; de fer,Amiens,2 792,837,10,,,,,,,837,10,
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Anspects,Roüen,756,189,,,,,,,,189,,
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Avirons,Amiens,491,859,5,,,,,,,1 336,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Avirons,Rennes,40,60,,,,,,,,1 336,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Avirons,Roüen,139,417,,,,,,,,1 336,5,
Jérémy Hervelin,Fonds Gournay - M87,1750,196,Barres ; d'anspects,Nantes,612,734,8,,,,,,,734,8,
Jérémy Hervelin,Fonds Gournay - M88,1750,197,Batons ; de Gabares,Nantes,1 443,1 443,,,,,,,,1 747,4,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Batons ; de Gaffes,Nantes,1 014,304,4,,,,,,,1 747,4,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Beure,La Rochelle,6,285,,,,,,,,855,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Beure,La Rochelle,19,570,,,,,,,,855,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bois ; à bruler,Nantes,6,48,,,,,,,,3 422,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bois ; ouvré,Amiens,,1 574,,,,,,,,3 422,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bois ; ouvré,Rennes,,1 800,,,,,,,,3 422,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bourdillons,Bordeaux,2,330,,,,,,,,330,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bray ; gras,Amiens,2,34,,,,,,,,5 534,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bray ; gras,La Rochelle,18,360,,,,,,,,5 534,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Bray ; gras,Nantes,12,264,,,,,,,,5 534,,
Jérémy Hervelin,Fonds Gournay - M88,1750,197,Bray ; gras,Rennes,212,4 876,,,,,,,,5 534,,
Jérémy Hervelin,Fonds Gournay - M87,1750,197,Briques,La Rochelle,6,90,,,,,,,,90,,
Jérémy Hervelin,Fonds Gournay - M87,1750,198,Chanvre ; cru,Rennes,127 600,25 520,,,,,,,,25 520,,
Jérémy Hervelin,Fonds Gournay - M87,1750,198,Charbon ; de terre,La Rochelle,600,2 250,,,,,,,,2 250,,
