Objet du commerce de la France avec l'Angleterre en 1750,,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M86,1750,288,Ancres ; de fer,Rennes,9,900,,,,,,,,900,,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Anspects,Roüen,500,125,,,,,,,,125,,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Arbres ; à planter,Amiens,,12,,,,,,,,12,,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Arcenic,Roüen,155,54,5,,,,,,,54,5,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Ardoises,Amiens,275 825,7 447,5,,,,,,,7 447,5,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Argenterie,Amiens,,2 415,,,,,,,,2 415,,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Avirons,Amiens,337,589,15,,,,,,,589,15,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Barils ; vuides,Amiens,45,67,10,,,,,,,67,10,
Jérémy Hervelin,Fonds Gournay - M86,1750,289,Bas ; de laine,Amiens,26,130,,,,,,,,195,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Bas ; de soye,Amiens,5,65,,,,,,,,195,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Basse ; de viole,Roüen,2,200,,,,,,,,200,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Batteaux ; neufs,Amiens,3,900,,,,,,,,900,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Bayonne,1 015,35 525,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Bordeaux,3 731 400,373 140,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,La Rochelle,1 146,27 504,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,La Rochelle,20,720,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,La Rochelle,40 000,10 000,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Nantes,10 669,266 737,10,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Nantes,1 017,37 629,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Nantes,150,90,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Rennes,1 529,38 225,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Rennes,1,100,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beuf ; salé,Roüen,225 860,33 879,,,,,,,,823 549,,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beure,Bayonne,15 700,7 065,,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beure,Bordeaux,995 563,348 447,1,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beure,La Rochelle,11,522,10,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beure,La Rochelle,338,10 140,,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,290,Beure,La Rochelle,613 460,276 057,,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Beure,Marseille,16 500,6 600,,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Beure,Nantes,300,7 200,,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Beure,Nantes,335 249,117 337,3,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Beure,Rennes,11 400,2 850,,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Beure,Roüen,118 265,35 479,10,,,,,,,811 698,4,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bierre,Amiens,12,0,18,,,,,,,300,18,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bierre,Marseille,6 000,300,,,,,,,,300,18,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Amiens,1 281,25 620,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Amiens,120,1 440,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Bordeaux,86 616,866 160,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Bordeaux,1 610,20 125,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Bordeaux,615,10 762,10,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Bordeaux,25,5 000,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Marseille,229 897,5 747 425,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Nantes,335,53 600,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Nantes,493,4 930,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Rennes,810,607,10,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Roüen,5 908,118 160,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Roüen,960,2 400,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bled ; froment,Roüen,307,3 070,,,,,,,,6 859 300,,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bois ; à brûler,Roüen,2,0,12,,,,,,,4 260,12,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bois ; de chesne,Roüen,120,60,,,,,,,,4 260,12,
Jérémy Hervelin,Fonds Gournay - M86,1750,291,Bois ; de construction,Marseille,140,4 200,,,,,,,,4 260,12,
Jérémy Hervelin,Fonds Gournay - M86,1750,292,Boulets ; de canon,Rennes,4,150,,,,,,,,150,,
Jérémy Hervelin,Fonds Gournay - M86,1750,292,Bourre ; de beuf,Rennes,1 960,98,,,,,,,,98,,
Jérémy Hervelin,Fonds Gournay - M86,1750,292,Bouteilles ; de verre,Amiens,15,3,17,,,,,,,3,17,
