"Objet du commerce de la France avec l'Espagne, les Canaries et les Indes Occidentalles en 1750",,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Acier,Bayonne,1 955,537,12,,,,,,,7 752,12,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Acier,Marseille,20 400,7 140,,,,,,,,7 752,12,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Acier,Rennes,3,75,,,,,,,,7 752,12,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Agaric,Marseille,39 200,39 200,,,,,,,,39 200,,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Aiguilles,Narbonne,,3,6,,,,,,,3,6,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Ails,Montpellier,22 100,1 105,,,,,,,,3 153,1,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Ails,Narbonne,50,753,15,,,,,,,3 153,1,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Ails,Narbonne,11 996,2 399,6,,,,,,,3 153,1,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Alpiste,Rennes,2,40,,,,,,,,40,,
Jérémy Hervelin,Fonds Gournay - M85,1750,112,Alquitra,Narbonne,1 000,100,,,,,,,,100,,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Amiens,1 710,769,10,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Bayonne,1 700,850,,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Caën,1 600,640,,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Marseille,137 373,27 474,12,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Montpellier,7 657,2 297,2,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Narbonne,20 170,605,2,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; cassées,Roüen,78 670,31 468,,64 104,6,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; en coques,Amiens,6 225,1 245,,1 430,11,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Amandes ; en coques,Roüen,12 379,185,11,1 430,11,,,,,65 534,17,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ameçons,Marseille,1 110,2 220,,,,,,,,2 420,,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ameçons,Narbonne,4 000,200,,,,,,,,2 420,,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anchois,Marseille,975,10 725,,,,,,,,117 022,2,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anchois,Marseille,149 940,74 970,,,,,,,,117 022,2,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anchois,Montpellier,85 926,30 074,2,,,,,,,117 022,2,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anchois,Narbonne,179,1 253,,,,,,,,117 022,2,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ancres ; de fer,Bayonne,49 100,12 275,,,,,,,,37 115,3,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ancres ; de fer,La Rochelle,13 000,3 250,,,,,,,,37 115,3,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ancres ; de fer,Marseille,38 050,7 610,,,,,,,,37 115,3,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ancres ; de fer,Nantes,15 300,3 978,,,,,,,,37 115,3,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Ancres ; de fer,Rennes,35 722,10 002,3,,,,,,,37 115,3,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anis,Bayonne,1 475,442,10,,,,,,,36 889,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anis,Marseille,137 178,27 435,12,,,,,,,36 889,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,113,Anis,Montpellier,17 927,4 481,15,,,,,,,36 889,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Anis,Nantes,8 226,2 467,16,,,,,,,36 889,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Anis,Narbonne,100,20,,,,,,,,36 889,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Anis,Roüen,5 835,2 042,5,,,,,,,36 889,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Ardoises,Narbonne,12 400,310,,,,,,,,310,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Armes ; à feu,Bayonne,,175,,,,,,,,175,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Asnes,Narbonne,12,288,,,,,,,,288,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Auf,Narbonne,240,120,,,,,,,,120,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Avirons,Bayonne,553,2 212,,,,,,,,14 426,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Avirons,Bordeaux,1 430,8 580,,,,,,,,14 426,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Avirons,Caën,486,1 458,,,,,,,,14 426,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Avirons,Nantes,486,972,,,,,,,,14 426,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Avirons,Rennes,602,1 204,,,,,,,,14 426,,
Jérémy Hervelin,Fonds Gournay - M85,1750,114,Avoine,Marseille,6 642,99 630,,,,,,,,99 630,,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Azur,Narbonne,10,7,7,,,,,,,7,7,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Bagues ; de leton,Narbonne,3,16,4,,,,,,,16,4,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Balais ; de jongs,Nantes,270,810,,810,,,,,,35 047,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Balais ; de palmes,Marseille,24 419,21 977,2,34 237,18,,,,,35 047,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Balais ; de palmes,Montpellier,14 898,8 938,16,34 237,18,,,,,35 047,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Balais ; de palmes,Narbonne,5 370,32 222,,34 237,18,,,,,35 047,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,115,Balais ; de palmes,Roüen,,100,,34 237,18,,,,,35 047,18,
Jérémy Hervelin,Fonds Gournay - M85,1750,116,Bas ; de fil,Marseille,2 800,14 000,,14 074,,,,,,15 386,,
