Objet du commerce de la France avec la Suisse et Geneve en 1750,,,,,,,,,,,,,,,,,
Data entry by,Source,Year,Sheet,Marchandises,Direction,Quantité,Leur valeur,deniers,Leur Valeur (sub-total 1),deniers,Leur Valeur (sub-total 2),deniers,Leur Valeur (sub-total 3),deniers,Total,deniers ,Remarks
Jérémy Hervelin,Fonds Gournay - M85,1750,5,Acier ; brut,Bourgogne,658,197,8,7 400,8,,,,,7 420,,
Jérémy Hervelin,Fonds Gournay - M85,1750,5,Acier ; brut,Lyon,24 010,7 203,,7 400,8,,,,,7 420,,
Jérémy Hervelin,Fonds Gournay - M85,1750,5,Acier ; ouvré,Bourgogne,20,20,,20,,,,,,7 420,,
Jérémy Hervelin,Fonds Gournay - M85,1750,5,Agaric,Lyon,680,680,,,,,,,,680,,
Jérémy Hervelin,Fonds Gournay - M85,1750,6,Argenterie,Lyon,4,228,,,,,,,,228,,
Jérémy Hervelin,Fonds Gournay - M85,1750,6,Azur ; commun,Lyon,1 155,404,5,,,,,,,404,5,
Jérémy Hervelin,Fonds Gournay - M85,1750,6,Bagues,Bourgogne,18,9,,,,,,,,9,,
Jérémy Hervelin,Fonds Gournay - M85,1750,6,Baleine ; coupée,Bourgogne,10,35,,,,,,,,35,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bas ; de coton,Bourgogne,72,72,,,,,,,,9 899,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bas ; de coton,Lyon,2 562,3 843,,3 915,,,,,,9 899,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bas ; de fil,Bourgogne,12,24,,5 968,,,,,,9 899,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bas ; de fil,Lyon,2 290,5 725,,5 968,,,,,,9 899,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bas ; de fil,Lyon,73,219,,5 968,,,,,,9 899,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bas ; de soye,Bourgogne,2,16,,16,,,,,,9 899,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bazin,Bourgogne,110,165,,,,,,,,239 690,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bazin,Lyon,47 905,239 525,,,,,,,,239 690,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Beufs ; en vie,Lyon,3,360,,,,,,,,360,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Beure,Bourgogne,1 280,448,,,,,,,,505,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Beure,Lyon,190,57,,,,,,,,505,,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bijouterie,Bourgogne,4,600,,,,,,,,11 162,12,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bijouterie,Langres,,310,,,,,,,,11 162,12,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Bijouterie,Lyon,,10 252,12,,,,,,,11 162,12,
Jérémy Hervelin,Fonds Gournay - M85,1750,7,Biscuits,Lyon,8,8,,,,,,,,8,,
Jérémy Hervelin,Fonds Gournay - M85,1750,8,Boëles ; blanche,Lyon,8,140,,,,,,,,289,,
Jérémy Hervelin,Fonds Gournay - M85,1750,8,Boëles ; blanche,Lyon,855,149,12,,,,,,,289,,
Jérémy Hervelin,Fonds Gournay - M85,1750,8,Bois ; buis,Lyon,580,29,,,,,,,,29,,
Jérémy Hervelin,Fonds Gournay - M85,1750,8,Bonnets ; de coton,Lyon,485,2 425,,,,,,,,2 425,,
Jérémy Hervelin,Fonds Gournay - M85,1750,8,Bourre ; à batir,Lyon,12 660,1 139,8,,,,,,,1 139,8,
Jérémy Hervelin,Fonds Gournay - M85,1750,9,Bouteilles ; de verre,Langres,15,3,,,,,,,,247,16,
Jérémy Hervelin,Fonds Gournay - M85,1750,9,Bouteilles ; de verre,Lyon,136,244,16,,,,,,,247,16,
Jérémy Hervelin,Fonds Gournay - M85,1750,9,Boutons ; de crin,Bourgogne,9,36,,,,,,,,36,,
Jérémy Hervelin,Fonds Gournay - M85,1750,9,Caffé ; des Isles,Bourgogne,4,4,10,,,,,,,14,2,
Jérémy Hervelin,Fonds Gournay - M85,1750,9,Caffé ; des Isles,Lyon,8,12,,,,,,,,14,2,
Jérémy Hervelin,Fonds Gournay - M85,1750,10,Casses ; de fer,Lyon,17 900,4 475,,,,,,,,4 475,,
Jérémy Hervelin,Fonds Gournay - M85,1750,10,Chair ; salée,Lyon,340,170,,,,,,,,170,,
Jérémy Hervelin,Fonds Gournay - M85,1750,10,Chaisnes ; de montre,Lyon,,15,,,,,,,,15,,
Jérémy Hervelin,Fonds Gournay - M85,1750,10,Champignons,Bourgogne,70,35,,,,,,,,35,,
Jérémy Hervelin,Fonds Gournay - M85,1750,10,Chapeaux ; poil et laine,Lyon,,97,10,,,,,,,97,10,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Chapelets,Lyon,40,12,,,,,,,,12,,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Charbon ; de bois,Lyon,5,350,,,,,,,,350,,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Chataignes,Bourgogne,3 550,355,,,,,,,,355,,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Cheveaux,Bourgogne,93,9 300,,9 300,,,,,,12 270,,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Cheveaux,Langres,2,800,,800,,,,,,12 270,,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Cheveaux,Lyon,24,2 160,,2 170,,,,,,12 270,,
Jérémy Hervelin,Fonds Gournay - M85,1750,11,Cheveaux,Lyon,1,10,,2 170,,,,,,12 270,,
