dutchtranslation,unit,tax_office,quantity,exportimport,product_prix,product,product_Original,sitc1digit,sitc18thc,alternativenames
),pond,oostende,3200,import,,graines de laurier dites bekelaers,),5,5,graine de lauriers Backelaer
),pond,brugge,100,import,,graines de laurier dites bekelaers,laurel seed (Backelaer),,,
),pond,stphillipe,540,import,,graines de laurier dites bekelaers,laurel seed (Backelaer),,,
Engels zout,pond,oostende,12,import,,sel d'Angleterre,Epsom salts,5,5,
Spaanse vlieg,pond,bergen,4,import,,cantharides ou mouches d'Espagne,Spanish fly,5,5,
Spaanse vlieg,pond,doornik,12,import,,cantharides ou mouches d'Espagne,Spanish fly,5,5,
aarde (amaril),pond,tienen,4,import,,amaril,amaril,2,2,
aarde (amaril),pond,stphillipe,461,import,,amaril,amaril,2,2,
aarde (amaril),pond,brugge,25,import,,amaril,amaril,2,2,
aarde (derle),last,gent,1412,export,,derle,derle,2,2,
aarde (derle),last,chimay,1,transit,,derle,derle,2,2,
aarde (derle),last,bergen,.1,export,,derle,derle,2,2,
aarde (derle),last,brussel,944,export,,derle,derle,2,2,
aarde (derle),last,chimay,8.75,import,,derle,derle,2,2,
aarde (derle),last,chimay,14.1,export,,derle,derle,2,2,
aarde (derle),last,doornik,.025,export,,derle,derle,2,2,
aarde (klei à fouler),last,brugge,.2,import,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,herve,401.5,export,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,herve,23.5,import,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,kortrijk,12,import,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,charleroi,2,import,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,gent,28,export,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,ieper,4.125,import,,terre à fouler,press clay,2,2,
aarde (klei à fouler),last,brussel,.5,export,,terre à fouler,press clay,2,2,
aarde (marle),last,ieper,884,import,,marle,marle,2,2,marle à engraisser terre
aarde (marle),last,chimay,.40000001,transit,,marle,marle,2,2,marle à engraisser terre
aarde (marle),last,doornik,2.5,export,,marle,marle,2,2,marle à engraisser terre
aarde (marle),last,gent,55,export,,marle,marle,2,2,marle à engraisser terre
aarde (marle),last,brussel,118,export,,marle,marle,2,2,marle à engraisser terre
aarde (marle),last,luxemburg,23,export,,marle,marle,2,2,marle à engraisser terre
aarde (marle),last,gent,.25,import,,marle,marle,2,2,marle à engraisser terre
aarde (pottebakkers- en pijpklei),last,herve,5,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,kortrijk,.375,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,ieper,.625,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,namen,93.166664,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,gent,53,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,gent,.1,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,chimay,6.5,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,kortrijk,3.125,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,luxemburg,1,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,brugge,3,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,oostende,7.625,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,bergen,42.708332,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,luxemburg,5.9000001,transit,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,luxemburg,5.375,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,chimay,1.5,transit,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,brugge,.25,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,doornik,4.75,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,charleroi,.75,import,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,namen,14.5,transit,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,sintniklaas,533,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,antwerpen,67.5,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (pottebakkers- en pijpklei),last,chimay,7,export,,terre à pottier et à faire pipes,potter's and pipe clay,2,2,
aarde (romeinse klei),last,oostende,230,import,,terre de Rome,Roman earth,2,2,
aarden potten,aantal,sintniklaas,10,import,,pots de pierres,earthenware pots,6,6,potteries de terre et de pierre
aarden potten,aantal,herve,3429,import,,pots de pierres,earthenware pots,6,6,potteries de terre et de pierre
aarden potten,aantal,stvith,486,export,,pots de pierres,earthenware pots,6,6,potteries de terre et de pierre
aarden potten,aantal,kortrijk,12,export,,pots de pierres,earthenware pots,6,6,potteries de terre et de pierre
aarden potten,aantal,herve,69868,export,,pots de pierres,earthenware pots,6,6,potteries de terre et de pierre
aarden vloertegels,aantal,chimay,48580,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,turnhout,4650,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,charleroi,40234,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,chimay,3150,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,kortrijk,22950,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,bergen,10345,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,nieuwpoort,200,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,namen,5705,transit,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,brussel,2000,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,turnhout,600,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,ieper,2808,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,kortrijk,400,transit,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,ieper,17919,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,ieper,4650,transit,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,bergen,5575,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,doornik,4950,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,herve,199,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,charleroi,1200,transit,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,doornik,11463,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,namen,168,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,chimay,3500,transit,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,sintniklaas,6900,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,tienen,770,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,kortrijk,5150,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,charleroi,3351,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,nieuwpoort,13200,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,oostende,49000,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,marche,48,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,stphillipe,69350,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,gent,2030,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,gent,250,export,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,tienen,1028,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aarden vloertegels,aantal,brugge,775,import,,carreaux de terre à paver,clay tiles to pave,6,6,careaux à paver
aardewerk,pond,doornik,43,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,brugge,300,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,charleroi,283,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,bergen,317,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,charleroi,12,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,doornik,277,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,kortrijk,1400,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,ieper,223,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,oostende,291,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,stvith,163,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,marche,20405,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,chimay,450,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,bergen,6200,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,kortrijk,452,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,charleroi,288,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,stvith,2347,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,tienen,23,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,luxemburg,132768,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,nieuwpoort,20,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,marche,27902,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,luxemburg,15,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,bergen,11,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,turnhout,794,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,chimay,50,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,luxemburg,3,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,brussel,15,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,herve,451,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,tienen,2603,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,chimay,21992,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,herve,18532,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,namen,2227,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,marche,25,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,herve,136175,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,sintniklaas,2,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,namen,1175,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,ieper,60,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,tienen,52,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,brugge,42,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,charleroi,1658370,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,ieper,274,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,nieuwpoort,7,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,stphillipe,4600,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,turnhout,78,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,namen,2319,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,doornik,2,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,stvith,2167,transit,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,luxemburg,2690,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,gulden,marche,30,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,luxemburg,88800,export,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
aardewerk,pond,chimay,84775,import,,ouvrages de terre et de pierre en potteries,pottery,6,6,service de cuisine
