numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes de somme mules et mulets,Espagne,259,Nombre,120,31080,0,,
2,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes agneaux,Espagne,1067,Nombre,"2,5",2667,"-0,5",,
3,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes bœufs,Espagne,721,Nombre,140,100940,0,,
4,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes cochons,Espagne,289,Nombre,30,8670,0,,
5,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes moutons,Espagne,1069,Nombre,"7,5",8017,"-0,5",,
6,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes vaches,Espagne,100,Nombre,45,4500,0,,
7,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes veaux,Espagne,13,Nombre,15,193,-2,,Erreur de calcul
8,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bourre,Espagne,13995,Livres,"0,15",2099,"-0,25",,
9,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Chairs salées lard,Espagne,108901,Livres,"0,3",32670,"-0,3",,
10,Laura,AN F12 1666,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National toutes directions tous partenaires,Exports,3,1789,Bayonne,Saint Jean pied de port,Lyon,Chapeaux poil et laine,Espagne,2368,Nombre,10,23680,0,,
