numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,direction,marchandises,pays,value,probleme,remarks
1,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Constantinople,3753360,-3753360,10 batiments
2,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Smirne,2354957,-2354957,21 batiments
3,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Alexandrette,2448630,-2448630,7 batiments
4,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Seydes,2475052,-2475052,21 batiments
5,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Tripoly de Syrie,578760,-578760,1 batiment
6,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Chypres,415987,-415987,1 batiment
7,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Egypte,2659324,-2659324,9 batiments
8,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Salonique,598319,-598319,11 batiments
9,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Archypel,1992903,-1992903,66 batiments
10,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Morée,375989,-375989,12 batiments
11,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Candie,797572,-797572,30 batiments
12,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,2,1720,Imports,Marseille,,Barbarie,914368,-914368,28 batiments
13,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Constantinople,483302,-483302,4 batiments
14,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Smirne,462259,-462259,3 batiments
15,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Alexandrette,163060,-163060,1 batiment
16,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Seydes,1323150,-1323150,12 batiments
17,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Tripoly de Syrie,63662,-63662,1 batiment
18,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Chypres,4950,-4950,1 batiment
19,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Egypte,1949624,-1949624,10 batiments
20,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Salonique,113113,-113113,2 batiments
21,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Archypel,672934,-672934,24 batiments
22,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Morée,185490,-185490,6 batiments
23,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Candie,684546,-684546,14 batiments
24,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,3,1721,Imports,Marseille,,Barbarie,176581,-176581,19 batiments
25,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Constantinople,23480,-23480,1 batiment
26,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Smirne,187526,-187526,2 batiments
27,Anthony Rebours,Bibliothèque Historique de la Ville de Paris Fonds Montyon 101FOSS/25,Out/Levant - Imports - 1720-1722.csv,Out,4,1722,Imports,Marseille,,Alexandrette,587425,-587425,6 batiments
