filepath,nb_line,diff_nb_line,sources,source_types
sources/1792-both semester/AN_F12_252_et_F12_1843B_Exports_1792.csv,428,428,AN F12 252 et F12 1843B,1792-both semester
sources/1792-both semester/AN_F12_252_et_F12_1843B_Imports_1792.csv,305,305,AN F12 252 et F12 1843B,1792-both semester
sources/1792-first semester/AN_F12_252_Exports_1792.csv,1236,1236,AN F12 252,1792-first semester
sources/1792-first semester/AN_F12_252_Imports_1792.csv,648,648,AN F12 252,1792-first semester
sources/Compagnie des Indes/BNF_MF_6431_Antilles_par_la_Compagnie_des_Indes_Imports.csv,45,45,BNF_MF_6431,Compagnie des Indes
sources/Compagnie des Indes/BNF_MF_6431_France_par_la_Compagnie_des_Indes_Imports.csv,261,261,BNF_MF_6431,Compagnie des Indes
sources/Local/AD17_41_ETP_270_9385_La_Rochelle_Imports_1718.csv,158,158,AD17 41 ETP 270/9385,Local
sources/Local/AD17_41_ETP_270_9386_La_Rochelle_Imports_1719.csv,210,210,AD17 41 ETP 270/9386,Local
sources/Local/AD17_41_ETP_270_9387_La_Rochelle_Imports_1720.csv,218,218,AD17 41 ETP 270/9387,Local
sources/Local/AD17_41_ETP_270_9388_La_Rochelle_Imports_1721.csv,223,223,AD17 41 ETP 270/9388,Local
sources/Local/AD17_41_ETP_270_9389_La_Rochelle_Imports_1722.csv,258,258,AD17 41 ETP 270/9389,Local
sources/Local/AD17_41_ETP_270_9390_La_Rochelle_Imports_1723.csv,247,247,AD17 41 ETP 270/9390,Local
sources/Local/AD17_41_ETP_270_9391_La_Rochelle_Imports_1724.csv,304,304,AD17 41 ETP 270/9391,Local
sources/Local/AD17_41_ETP_270_9392_La_Rochelle_Imports_1725.csv,274,274,AD17 41 ETP 270/9392,Local
sources/Local/AD17_41_ETP_270_9393_La_Rochelle_Imports_1726.csv,293,293,AD17 41 ETP 270/9393,Local
sources/Local/AD17_41_ETP_270_9394_La_Rochelle_Imports_1727.csv,294,294,AD17 41 ETP 270/9394,Local
sources/Local/AD17_41_ETP_270_9395_La_Rochelle_Imports_1728.csv,291,291,AD17 41 ETP 270/9395,Local
sources/Local/AD17_41_ETP_270_9396_La_Rochelle_Imports_1729.csv,280,280,AD17 41 ETP 270/9396,Local
sources/Local/AD17_41_ETP_270_9397_La_Rochelle_Imports_1730.csv,270,270,AD17 41 ETP 270/9397,Local
sources/Local/AD17_41_ETP_270_9398_La_Rochelle_Imports_1731.csv,302,302,AD17 41 ETP 270/9398,Local
sources/Local/AD17_41_ETP_270_9399_La_Rochelle_Imports_1732.csv,340,340,AD17 41 ETP 270/9399,Local
sources/Local/AD17_41_ETP_270_9400_La_Rochelle_Imports_1733.csv,317,317,AD17 41 ETP 270/9400,Local
sources/Local/AD17_41_ETP_270_9401_La_Rochelle_Imports_1734.csv,333,333,AD17 41 ETP 270/9401,Local
sources/Local/AD17_41_ETP_270_9402_La_Rochelle_Imports_1735.csv,300,300,AD17 41 ETP 270/9402,Local
sources/Local/AD17_41_ETP_270_9403_La_Rochelle_Imports_1736.csv,327,327,AD17 41 ETP 270/9403,Local
sources/Local/AD17_41_ETP_270_9404_La_Rochelle_Imports_1737.csv,322,322,AD17 41 ETP 270/9404,Local
sources/Local/AD17_41_ETP_270_9406_La_Rochelle_Imports_1738.csv,337,337,AD17 41 ETP 270/9406,Local
sources/Local/AD17_41_ETP_270_9407_La_Rochelle_Imports_1739.csv,337,337,AD17 41 ETP 270/9407,Local
sources/Local/AD17_41_ETP_270_9408_La_Rochelle_Imports_1740.csv,335,335,AD17 41 ETP 270/9408,Local
sources/Local/AD17_41_ETP_270_9409_La_Rochelle_Imports_1741.csv,300,300,AD17 41 ETP 270/9409,Local
sources/Local/AD17_41_ETP_270_9410_La_Rochelle_Imports_1744.csv,272,272,AD17 41 ETP 270/9410,Local
sources/Local/AD17_41_ETP_270_9411_La_Rochelle_Imports_1746.csv,264,264,AD17 41 ETP 270/9411,Local
sources/Local/AD17_41_ETP_270_9412_La_Rochelle_Imports_1747.csv,279,279,AD17 41 ETP 270/9412,Local
sources/Local/AD17_41_ETP_270_9413_La_Rochelle_Imports_1748.csv,236,236,AD17 41 ETP 270/9413,Local
sources/Local/AD17_41_ETP_270_9414_La_Rochelle_Imports_1749.csv,419,419,AD17 41 ETP 270/9414,Local
sources/Local/AD17_41_ETP_270_9415_La_Rochelle_Imports_1750.csv,403,403,AD17 41 ETP 270/9415,Local
sources/Local/AD17_41_ETP_270_9416_La_Rochelle_Imports_1751.csv,442,442,AD17 41 ETP 270/9416,Local
sources/Local/AD17_41_ETP_270_9417_La_Rochelle_Imports_1752.csv,399,399,AD17 41 ETP 270/9417,Local
sources/Local/AD17_41_ETP_270_9418_La_Rochelle_Imports_1753.csv,347,347,AD17 41 ETP 270/9418,Local
sources/Local/AD17_41_ETP_270_9419_La_Rochelle_Imports_1754.csv,346,346,AD17 41 ETP 270/9419,Local
sources/Local/AD17_41_ETP_270_9420_La_Rochelle_Imports_1756.csv,314,314,AD17 41 ETP 270/9420,Local
sources/Local/AD17_41_ETP_270_9421_La_Rochelle_Imports_1757.csv,409,409,AD17 41 ETP 270/9421,Local
sources/Local/AD17_41_ETP_270_9422_La_Rochelle_Imports_1758.csv,262,262,AD17 41 ETP 270/9422,Local
sources/Local/AD17_41_ETP_270_9423_La_Rochelle_Imports_1759.csv,302,302,AD17 41 ETP 270/9423,Local
sources/Local/AD17_41_ETP_270_9424_La_Rochelle_Imports_1760.csv,211,211,AD17 41 ETP 270/9424,Local
sources/Local/AD17_41_ETP_270_9425_La_Rochelle_Imports_1761.csv,232,232,AD17 41 ETP 270/9425,Local
sources/Local/AD17_41_ETP_270_9426_La_Rochelle_Imports_1762.csv,174,174,AD17 41 ETP 270/9426,Local
sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,191,191,AD17 41 ETP 270/9427,Local
sources/Local/AD17_41_ETP_270_9428_La_Rochelle_Imports_1765.csv,215,215,AD17 41 ETP 270/9428,Local
sources/Local/AD17_41_ETP_270_9429_La_Rochelle_Imports_1766.csv,189,189,AD17 41 ETP 270/9429,Local
sources/Local/AD17_41_ETP_270_9430_La_Rochelle_Imports_1767.csv,202,202,AD17 41 ETP 270/9430,Local
sources/Local/AD17_41_ETP_270_9431_La_Rochelle_Imports_1768.csv,162,162,AD17 41 ETP 270/9431,Local
sources/Local/AD17_41_ETP_270_9432_La_Rochelle_Imports_1769.csv,163,163,AD17 41 ETP 270/9432,Local
sources/Local/AD17_41_ETP_270_9433_La_Rochelle_Imports_1770.csv,164,164,AD17 41 ETP 270/9433,Local
sources/Local/AD17_41_ETP_270_9434_La_Rochelle_Imports_1771.csv,144,144,AD17 41 ETP 270/9434,Local
sources/Local/AD17_41_ETP_270_9435_La_Rochelle_Imports_1772.csv,147,147,AD17 41 ETP 270/9435,Local
sources/Local/AD17_41_ETP_270_9436_La_Rochelle_Imports_1773.csv,144,144,AD17 41 ETP 270/9436,Local
sources/Local/AD17_41_ETP_270_9437_La_Rochelle_Imports_1774.csv,175,175,AD17 41 ETP 270/9437,Local
sources/Local/AD17_41_ETP_270_9438_La_Rochelle_Imports_1775.csv,152,152,AD17 41 ETP 270/9438,Local
sources/Local/AD17_41_ETP_270_9439_La_Rochelle_Imports_1776.csv,150,150,AD17 41 ETP 270/9439,Local
sources/Local/AD17_41_ETP_270_9440_La_Rochelle_Imports_1778.csv,107,107,AD17 41 ETP 270/9440,Local
sources/Local/AD17_41_ETP_270_9441_La_Rochelle_Imports_1779.csv,122,122,AD17 41 ETP 270/9441,Local
sources/Local/AD17_41_ETP_270_9442_La_Rochelle_Imports_1780.csv,113,113,AD17 41 ETP 270/9442,Local
sources/Local/AD17_41_ETP_271_9443_La_Rochelle_Exports_1718.csv,278,278,AD17 41 ETP 271/9443,Local
sources/Local/AD17_41_ETP_271_9445_La_Rochelle_Exports_1719.csv,252,252,AD17 41 ETP 271/9445,Local
sources/Local/AD17_41_ETP_271_9446_La_Rochelle_Exports_1720.csv,268,268,AD17 41 ETP 271/9446,Local
sources/Local/AD17_41_ETP_271_9448_La_Rochelle_Exports_1721.csv,187,187,AD17 41 ETP 271/9448,Local
sources/Local/AD17_41_ETP_271_9449_La_Rochelle_Exports_1722.csv,224,224,AD17 41 ETP 271/9449,Local
sources/Local/AD17_41_ETP_271_9450_La_Rochelle_Exports_1723.csv,249,249,AD17 41 ETP 271/9450,Local
sources/Local/AD17_41_ETP_271_9451_La_Rochelle_Exports_1724.csv,195,195,AD17 41 ETP 271/9451,Local
sources/Local/AD17_41_ETP_271_9452_La_Rochelle_Exports_1725.csv,191,191,AD17 41 ETP 271/9452,Local
sources/Local/AD17_41_ETP_271_9453_La_Rochelle_Exports_1726.csv,277,277,AD17 41 ETP 271/9453,Local
sources/Local/AD17_41_ETP_271_9454_La_Rochelle_Exports_1727.csv,223,223,AD17 41 ETP 271/9454,Local
sources/Local/AD17_41_ETP_271_9455_La_Rochelle_Exports_1728.csv,250,250,AD17 41 ETP 271/9455,Local
sources/Local/AD17_41_ETP_271_9456_La_Rochelle_Exports_1729.csv,278,278,AD17 41 ETP 271/9456,Local
sources/Local/AD17_41_ETP_271_9457_La_Rochelle_Exports_1730.csv,244,244,AD17 41 ETP 271/9457,Local
sources/Local/AD17_41_ETP_271_9458_La_Rochelle_Exports_1731.csv,227,227,AD17 41 ETP 271/9458,Local
sources/Local/AD17_41_ETP_271_9459_La_Rochelle_Exports_1732.csv,219,219,AD17 41 ETP 271/9459,Local
sources/Local/AD17_41_ETP_271_9460_La_Rochelle_Exports_1733.csv,239,239,AD17 41 ETP 271/9460,Local
sources/Local/AD17_41_ETP_271_9461_La_Rochelle_Exports_1734.csv,322,322,AD17 41 ETP 271/9461,Local
sources/Local/AD17_41_ETP_271_9462_La_Rochelle_Exports_1735.csv,333,333,AD17 41 ETP 271/9462,Local
sources/Local/AD17_41_ETP_271_9463_La_Rochelle_Exports_1736.csv,309,309,AD17 41 ETP 271/9463,Local
sources/Local/AD17_41_ETP_271_9464_La_Rochelle_Exports_1737.csv,389,389,AD17 41 ETP 271/9464,Local
sources/Local/AD17_41_ETP_271_9465_La_Rochelle_Exports_1738.csv,424,424,AD17 41 ETP 271/9465,Local
sources/Local/AD17_41_ETP_271_9466_La_Rochelle_Exports_1739.csv,361,361,AD17 41 ETP 271/9466,Local
sources/Local/AD17_41_ETP_271_9467_La_Rochelle_Exports_1740.csv,322,322,AD17 41 ETP 271/9467,Local
sources/Local/AD17_41_ETP_271_9468_La_Rochelle_Exports_1741.csv,322,322,AD17 41 ETP 271/9468,Local
sources/Local/AD17_41_ETP_271_9469_La_Rochelle_Exports_1744.csv,325,325,AD17 41 ETP 271/9469,Local
sources/Local/AD17_41_ETP_271_9470_La_Rochelle_Exports_1746.csv,395,395,AD17 41 ETP 271/9470,Local
sources/Local/AD17_41_ETP_271_9471_La_Rochelle_Exports_1747.csv,312,312,AD17 41 ETP 271/9471,Local
sources/Local/AD17_41_ETP_271_9472_La_Rochelle_Exports_1748.csv,272,272,AD17 41 ETP 271/9472,Local
sources/Local/AD17_41_ETP_271_9473_La_Rochelle_Exports_1749.csv,386,386,AD17 41 ETP 271/9473,Local
sources/Local/AD17_41_ETP_271_9474_La_Rochelle_Exports_1750.csv,512,512,AD17 41 ETP 271/9474,Local
sources/Local/AD17_41_ETP_271_9475_La_Rochelle_Exports_1751.csv,395,395,AD17 41 ETP 271/9475,Local
sources/Local/AD17_41_ETP_271_9476_La_Rochelle_Exports_1752.csv,407,407,AD17 41 ETP 271/9476,Local
sources/Local/AD17_41_ETP_271_9477_La_Rochelle_Exports_1753.csv,379,379,AD17 41 ETP 271/9477,Local
sources/Local/AD17_41_ETP_271_9478_La_Rochelle_Exports_1754.csv,397,397,AD17 41 ETP 271/9478,Local
sources/Local/AD17_41_ETP_271_9479_La_Rochelle_Exports_1756.csv,287,287,AD17 41 ETP 271/9479,Local
sources/Local/AD17_41_ETP_271_9480_La_Rochelle_Exports_1757.csv,378,378,AD17 41 ETP 271/9480,Local
sources/Local/AD17_41_ETP_271_9481_La_Rochelle_Exports_1758.csv,309,309,AD17 41 ETP 271/9481,Local
sources/Local/AD17_41_ETP_271_9482_La_Rochelle_Exports_1759.csv,116,116,AD17 41 ETP 271/9482,Local
