sourcepath,nb line bdd_centrale,nb line source,columns removed
Divers/AN/F_12_1834A/1671.csv,1582,1582,bureaux;pays;value;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;prix_unitaire;probleme;remarks
"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",407,407,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3
Local/La Rochelle/41 ETP 270/La Rochelle - Entrées – 1718-1780.csv,14717,14717,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3
Local/La Rochelle/41 ETP 271/La Rochelle – Sorties – 1718-1780.csv,14730,14730,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3
Local/Montpellier/Années_1730.csv,2078,2078,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3
National par direction/AN/F_12_1666 et 1667/1789.csv,6463,6463,leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;prix_unitaire
National par direction/Saint-Brieuc/1750.csv,12087,12087,bureaux;origine;leurvaleursubtotal_2;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,5297,5297,bureaux;origine;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_242_1775/1775.csv,4144,4144,direction;bureaux;origine;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_243_1776/1776.csv,4163,4163,direction;bureaux;origine;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_245_1777/1777.csv,4158,4158,direction;bureaux;origine;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_246_1778/1778.csv,3912,3912,direction;bureaux;origine;quantity_unit;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_247_1779/1779.csv,3594,3594,direction;bureaux;origine;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_248_1780/1780.csv,3751,3751,direction;bureaux;origine;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,7544,7544,direction;bureaux;origine;leurvaleursubtotal_3;prix_unitaire;probleme
National/Objet Général/AN Paris/F_12_250_1787/1787.csv,5992,6017,direction;bureaux;origine;prix_unitaire;probleme
National/Objet Général/IIHS - Amsterdam/1767.csv,4388,4388,direction;bureaux;quantit;origine;quantity_unit;leurvaleursubtotal_3;prix_unitaire;probleme
