new sourcepath,nb line bdd_centrale,old source.s,source type.s,nb old sourcepath.s,old sourcepath.s,columns removed
AN_F12_252_et_F12_1843B_Exports_1792,429,AN F12 252 et F12 1843B,1792-both semester,1,National/Divers - in/Détail des I et X_1792.csv,
AN_F12_252_et_F12_1843B_Imports_1792,306,AN F12 252 et F12 1843B,1792-both semester,1,National/Divers - in/Détail des I et X_1792.csv,
AN_F12_252_Exports_1792,1237,AN F12 252,1792-first semester,1,National/Divers - in/Résultats du CE 1792.csv,
AN_F12_252_Imports_1792,648,AN F12 252,1792-first semester,1,National/Divers - in/Résultats du CE 1792.csv,
BNF_MF_6431_Antilles_par_la_Compagnie_des_Indes_Imports,92,BNF_MF_6431,Compagnie des Indes,1,National/Divers-In/Compagnie des Indes - Entrées - BNF MF 6431.csv,
BNF_MF_6431_France_par_la_Compagnie_des_Indes_Imports,368,BNF_MF_6431,Compagnie des Indes,1,National/Divers-In/Compagnie des Indes - Entrées - BNF MF 6431.csv,
AD17_41_ETP_270_9385_La_Rochelle_Imports_1718,158,AD17 41 ETP 270/9385,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9386_La_Rochelle_Imports_1719,210,AD17 41 ETP 270/9386,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9387_La_Rochelle_Imports_1720,218,AD17 41 ETP 270/9387,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9388_La_Rochelle_Imports_1721,223,AD17 41 ETP 270/9388,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9389_La_Rochelle_Imports_1722,258,AD17 41 ETP 270/9389,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9390_La_Rochelle_Imports_1723,247,AD17 41 ETP 270/9390,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9391_La_Rochelle_Imports_1724,304,AD17 41 ETP 270/9391,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9392_La_Rochelle_Imports_1725,274,AD17 41 ETP 270/9392,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9393_La_Rochelle_Imports_1726,293,AD17 41 ETP 270/9393,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9394_La_Rochelle_Imports_1727,294,AD17 41 ETP 270/9394,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9395_La_Rochelle_Imports_1728,291,AD17 41 ETP 270/9395,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9396_La_Rochelle_Imports_1729,280,AD17 41 ETP 270/9396,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9397_La_Rochelle_Imports_1730,270,AD17 41 ETP 270/9397,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9398_La_Rochelle_Imports_1731,302,AD17 41 ETP 270/9398,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
AD17_41_ETP_270_9399_La_Rochelle_Imports_1732,340,AD17 41 ETP 270/9399,Local,1,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,
