grain_type,simplification
,graine diverse
3,grain avoine
3,grain divers
1,grain froment
3,grain maïs
2,grain méteil
3,grain millet
2,grain orge germé
2,grain orge perlé et mondé
3,grain sarrasin
2,grain seigle
,légume
4,légume pois
3,orge mondé
4,pois secs
4,pois vert
,
3,grain orge et avoine
4,pois
5,biscuit de mer
5,biscuit de mer et pâte d'Italie
4,châtaignes biscotes
4,châtaignes et marrons
4,châtaignes fraîches
5,farine
5,farine pâte d'Italie vermicelle macaroni
5,farine fleur de froment
5,farine gruau
5,farine de sarrasin
5,farine et biscuit de mer
5,farine et biscuit de mer et pâte d'Italie
5,farine et pâte d'Italie
3,grain céréales
2,grain épeautre
3,grain froment et autres grains
1,grain froment par Bayonne et Marseille
3,grain maïs par Marseille
2,grain orge
2,grain orge baillarge
2,grain orge germé
2,grain orge par Marseilles
3,grain riz
3,grain riz et garancine
2,grain seigle en gerbe
2,grain seigle par Marseille
3,grain sucrion
1,grain de Riga
4,légume haricots
4,légume haricots en fil
4,légume pois et fèves
4,loupine
5,pain petit rond
5,pâte macaroni
5,pâte d'Italie vermicelle macaroni
5,pâte d'Italie et vermicelle
4,pois d'Espagne
4,pois en gerbe
3,trémail
5,avoine moulée
4,avoine et haricot
3,"avoine, orge etc."
5,farine de seigle
2,grain avoine et froment
2,grain baillarge
1,grain blé en gerbe
3,grain bled et riz
3,grain cuscute
3,grain d'Espagne
2,grain épeautre en gerbe
2,grain grenaille
2,grain métillon
2,grain métillon en gerbe
2,grain orge en gerbe
2,grain orge et sucrion
2,grain orge et sucrion en gerbe
2,graine métillon
4,"légume pois, fève et haricot"
,douzaine de ?
,particulièrement en cheval
,acacia germanica
,akia espèce de salade
,acier brun
,acier en barre
,arçon
,arçon démonté en gabare
,acorus
,affût de canon
,affût de fusil
,drogue médicinale agaric
,agathe montée
,agneau
,bête de somme : agneau et cabri
,agrément d'argent
,agrément de fil
,agrément de fleur
,agrément de soie
,agrément de soie et d'argent
,agrément de soie et fil
,agrément de soie or et argent faux
,agrément d'or et d'argent
,agrès de navire en voile
,aigle
,aigre de cidre
,drogue aigre de vitriol
,aigrette
,aigrette de fil d'or et d'argent
,aiguille
,aiguille à boîte
,aiguille à coudre
,aiguille à tabac
,aiguille à toile
,aiguille d'emballage
,aiguille epars de sapin
,aile de moulin
,aux à fauxhes
,ail blanc à casser
,airain
,airain en batterie
,ajustement
,ajustement de femme
,alambic
,alambic de terre
,ouvrage de marbre et albâtre
,alesne
,allumette
,allumette à vin
,allumette droguée
,allumette épicée
,drogue médicinale aloès
,aloès cabalin
,aloès commun
,alouette
,"alquifoux, mine de plomb ou graphite"
,alun de fer
,alun de Rome
,alun gâté
,amande amère
,amande cassée
,amande courte
,amande douce
,amande en coque
,amande et pruneau
,amande et raisin sec
,amande et savon
,amande longue
,"amande, raison sec et savon"
,ambrain a grande barique
,ambre brut
,ambre gris
,ambre jaune
,ouvrage d'ambre jaune
,ambre moulu
,ami de toillé
,amidon
,amomum verum
,ananas confit
,anse de tonneau
,ancre gravelée
,ancre vide
,andolium ou crockvisch
,andouille
,bête de somme âne
,âne et ânesse
,angélique du Rozème
,anguille
,anguille salée
,anis
,animal domestique
,anis et sucre
,anis étoilé
,anis vert
,anisette de Bordeaux
,anneau de fer
,antimoine crû
,antofle de girofle
,apiers
,arbre
,arbre à fruit
,arbre à planter
,arbre à transformer en Pompe
,arbre chêne
,arbre de sapin
,arbre en plant de bois
,arbre en plant de bois d'auban
,arbre tilleul
,arbrisseau
,archet de violon
,arson de bois
,ardoise
,ardoise dite chérubin et à mortier
,ardoise dite grande voisine
,ardoise dite moyenne voisine
,ardoise dite petite voisine
,"ardoise dite voisine, grande, moyenne et petite"
,ardoise en livret
,ardoise encadrée
,ardoise encadrée et en livret
,ardoise non travaillée
,ardoise ordinaire
,ardoise verte
,argent carragoux
,monnaie argent piastre
,monnaie argent piastres d'Espagne
,monnaie argent piastre du grand seigneur
,argent talari
,argent battu
,argent divers
,argent en baril
,argent en barre
,argent en lame
,argent en lingot
,argent en matière
,monnaie argent
,argent et or billon
,monnaie sequin
,argent faux
,argent fin
,argent vif
,argent or quadruple
,argent ouvré
,argenterie bague
,argenterie boucle
,argenterie croix
,argenterie diverse
,argenterie en vaisselle
,argenterie épée
,argenterie et orfèvrerie
,argenterie et orfèvrerie vermeil
,argenterie tabatière
,argenterie vieille
,aristoloche
,arme
,arme à feu diverse
,arme à feu pistolet
,arme blanche bayonnette
,arme blanche épée
,arme blanche et à feu
,arme blanche lame
,arme canon et balle de fer
,arme de main
,arme diverse
,arme et munition diverse
,"arme artillerie en canon, pierrier, espingole et mortier"
,armoire
,armoire ayant servi
,armoire de chêne
,armoire de chêne ornée
,armoire de noyer
,armoire de sapin
,armoisin/taffetas
,armure vieille
,arrosoir
,arrosoir de bois
,arrosoir de fer blanc
,artichaut confit
,artichaut mariné
,artichaut sec
,industrie divers
,artillerie en boulet
,canon
,ouvrage de bois aviron
,asperge et scorsionnaire
,assiette de bois
,assiette de faïence
,assiette de porcelaine
,assiette de terre
,assiette et plat
,attelle de collier
,attache de cuivre
,auge
,auge de carreau
,cordage aussière
,aviron brut
,aviron de 12 pieds
,aviron de 18 pieds
,aviron de 30 pieds
,aviron de 5 pieds
,aviron poli
,azur fin
,azur gros
,babouche de maroquin
,bac contenant 1 aime
,bac de pierre
,taffetas
,baffetas blanc
,baffetas bleu
,bague à pierre fausse
,bague d'or
,bague de cuivre
,bague de laiton
,baguette à chandelle
,baguette de fusil
,baguette de bois
,baguette étoffe
,bahut
,baie de buis
,baie de genièvre
,baignoire
,baigot
,bailliarge
,baille
,bajutapeau
,balai
,balai coupée
,balai de bois
,balai de bruyère
,balai de chanvre
,balai de crin
,balai de foyer
,balai de paille de riz
,balai de palme
,balai de riz
,balai de soie
,balai de toile
,balai divers
,balai du roi
,balai fin
,balance à la romaine
,balance de bois
,balance de cuivre
,balance en fer
,balance petit
,baleine coupée et en fanon
,balle
,balle à jouer
,balle d'osier
,balle en fer
,balle vide
,bambou
,banc de sapin
,bandeau
,banderole
,cuir en banderolle
,bande de chapeau
,bandoulière
,bannette d'osier
,bannette de cuir
,bannière de Damas
,baquet
,baquet de sapin
,barbaçon de grès
,barbe de baleine
,barbotine
,barbue
,barbue couverte d'étamine
,barbue de grès
,barbue de terre
,baril
,baril de chêne
,baril de sapin
,baril vide
,baril neuf
,barrois
,barque démontée
,barquette
,barquette et nacelle
,barquette vieille
,barreau de sapin
,barreau neuf
,barre
,barre d'aspect
,barre de barrique
,barre de cabestan
,barre de cabestan et d'anspect
,fer en barre
,fer en barre pour les clôture
,barre de futel
,barre de sapin
,barre en bois pour navire
,barre maître-fond
,barre petite
,barre pour construction
,barrette
,barrique
,barrique vide
,barrique vieille vide
,barrique vieille
,bas assorti
,bas coton et fil
,bas d'enfant
,bas d'estame
,bas de bourre de soie
,bas de castor
,bas de chamois
,bas de fil et coton
,bas de coton fil et soie
,bas de fil
,bas de fil de coton
,bas de fil de coton par paire
,bas de fil en paire
,bas de fil et laine
,bas de fil par paire
,bas de filoselle
,bas de fleuret
,bas de laine
,bas de laine fin
,bas de peau
,bas de poil
,bas de Saint Mexant
,bas de soie à coin d'argent
,bas de soie à coin d'or
,bas de soie à coin d'or et d'argent
,bas de soie brodée
,bas de soie brodé d'or
,bas de soie brodé or et argent
,bas de soie pour femme
,bas de toile
,bas drapé
,bas écrier
,bas en laine de Jersey
,bas et gant de soie
,bonneterie fil et coton
,bas long
,bas poil et soie
,bas de soie et coton
,bas soie et laine
,bas soie et poil
,bas tricoté
,bas relief de marbre
,basin blanc
,basin blanc de 10 aunes
,basin blanc de 11 aunes
,basin commun
,"basin de Bruges écru en pièce de 11,5 aunes"
,basin des Indes
,basin en aunes
,basin fil et coton
,basin peint
,basin pièce de 11 aunes
,basin pièce de 15 aunes
,basin rayé
,basin tout coton
,basse de viole
,basse et basson
,bassin à barbe
,bassin de barbe
,bassin en argent
,bassin en laiton
,basson
,bateau à pêcher
,bateau de pêcheur
,bâtiment de mer et agrès
,batiste blanche
,batiste grise
,bâton
,bâton à chandelle
,bâton à étendre le linge
,bâton à faire cercle
,bâton à lave-place
,bâton d'éventail d'ivoire
,bâton de bois
,bâton de brosse à goudronner
,bâton de collier
,bâton de Gabares
,bâton de sapin
,bâton peint
,bast
,bat d'âne
,bat de cheval
,batterie d'airain
,batterie de cuivre
,batterie de fer
,bate de fer
,battoir
,battoir à lessive
,baudrier
,beaume de copahu
,baume de l'Amérique
,baume de la Mecque
,beaume de sucrier
,baume du canada
,beaume du Pérou
