item,group,status,beforeItems,afterItems,obsolete,imprimatur
galbanum,[drogues],ambiguous,[Galbamum] [Galbanom] [Galbanon] [Galbanum] [galbanum],[Galbamum] [Galbanom] [Galbanon] [Galbanum] [galbanum] [Drogues ; melées ; Galbanum] [Drogues ; médécinales ; galbanum],no,
droguerie,[drogues],ambiguous,[Droguerier] [droguerie] [drogueries],[Droguerier] [droguerie] [drogueries] [Drogueries ; mêlées] [Drgueries] [Drogeries] [Droguerie] [Drogueries] [Drogueries ; diverses] [Drogueries ; mêlées ; diverses] [Drogueries mêlées] [Drogueries mèlées] [Drogueries diverses] [Drogueries; diverses],no,
drogue d'apothicaire commune,[drogues],ambiguous,,[Drogues d'Apothicaire commune],no,
drogues à peindre,[drogues],ambiguous,,[Drogues a peindre],no,
drogue émeri,[drogues],ambiguous,,[Drogues ; erneri],no,
verdet,[drogues] [drogue ; pour la peinture et la teinture],ambiguous,,[Drogueries ; verdet] [Drogues ; verdet] [Drogues ; Pour la peinture ; Verda] [Drogues ; Pour la peinture ; Verdet] [Drogue ; pour la peinture et la teinture ; verdes] [Drogueries ; pour la peinture et la teinture ; verdet] [Drogueries ; pour peinture et teinture ; verdet] [Drogues ; pour la peinture et la teinture ; verdet] [Drogues ; pour peinture et teinture ; verdet] [Drogueries pour teinture et peinture verdet] [3///Matières premières///Verdet] [3///Matières première///Verdet],no,
huile térébenthine,[drogues],ambiguous,,[Huile Terebantine] [Huile terebentine] [Huile therebentine] [Huile trebenthine] [Huile ; terebentine],no,
huile et essence de térébenthine,[drogues],ambiguous,,[Huile et essence de térébenthine] [Huile et essence de térébentine] [///Drogues diverses///Huile et essence de Térébenthine] [///Drogues diverses///Huile et essence de térébenthine],no,
térébenthine,[drogues],ambiguous,[Terbenthine] [Terebantine] [Terebenthine] [Terebentine] [Terre Bentine] [Therebantine] [Therebentine] [Therebentines] [ThéreBentine] [Thérébenthine] [Térebenthine] [Térébantine] [Térébenthine] [Térébentine] [terebantine] [terebenthine] [therebantine] [therebentine] [therebentinne],[Terbenthine] [Terebantine] [Terebenthine] [Terebentine] [Terre Bentine] [Therebantine] [Therebentine] [Therebentines] [ThéreBentine] [Thérébenthine] [Térebenthine] [Térébantine] [Térébenthine] [Térébentine] [terebantine] [terebenthine] [therebantine] [therebentine] [therebentinne] [Drogues ; thérébenthine] [Drogues ; Pour la peinture ; Terebenthine] [Drogues ; Pour la peinture ; Térébanthine] [Drogue ; pour la peinture et la teinture ; Thérébentine] [Drogue ; pour la peinture et la teinture ; térébenthine] [Drogueries ; pour peinture et teinture ; thérébenthine] [Drogues ; pour la peinture et la teinture ; térébenthine] [Therebenthine] [Terebanthine] [Thérébentine] [Théreses de taffetas],no,
huile de térébenthine,[drogues],ambiguous,,[Drogues ; Pour la peinture ; Huile de térébenthine] [Drogue ; pour la peinture et la teinture ; huile de térébenthine] [Drogues ; Pour la peinture et la teinture ; Huile de thérébentine] [Drogues ; pour peinture et teinture ; huile ; de thérébentine] [Huile ; de terebenthine] [Huile ; de terrebentine] [Huile ; de therebentine] [Huile ; de térébenthine] [Huile ; de tétébenthine] [Huile de Terebentine] [Huile de therebentine] [Huile de térébenthine] [Huille de terbantine] [huile de therebentinne] [Huille de terebantine] [Huile de Therebentine] [Huile de terebentine] [Drogueries ; pour la peinture et la teinture ; huile ; de térébentine] [Huille de therebentine] [Huile de terebenthine] [Huile de thérébenthine] [Huile ; de therebantine] [Drogues ; huile ; de thérébenthine] [Huille de terebenthine] [Huile de terrebenthine] [Drogues ; pour la peinture et la teinture ; huile ; de térébenthine] [Drogueries ; pour peinture et teinture ; huile ; de thérébenthine] [Huile de terebanthine] [Huile de terebenctine] [Huille de thérébentine] [Huille de therebantine] [Huile ; de therebenthine],no,
