marchandises_norm_ortho,classification_hambourg_large
? Licances,
???,
??? bois ,Bois ; de Pernambouc
??? bois de buis,
??? Tanabare,
??? toile de Pologne,
"""""""""""""""""""""""""""""""""""""""""""""""""",
abaci,
acacia,
acacia germanica,
accorus,
achia,
acier,
acier brun,
acier brut,
acier en barre,
acier ouvré,
acon démonté,
acorus,
acuirson,
affût de canon,
affut de fusil,
affût de fusil,
agaric,
agathe montée,
agneau,
agoutal,
agoutal de bois,
agrément,
agrément au quart,
agrément d'argent,
agrément d'or,
agrément d'or et d'argent,
agrément de fil,
agrément de fleur,
agrément de soie,
agrément de soie et d'argent,
agrément de soie et fil,
agrément de soie or et argent faux,
agrès,
agrès de navire,
agrès de navire en voile,
agur commun,
aigle,
aiglefin,
aiglefin séché,
aigre de cidre,
aigrette,
aigrette de fil d'or et d'argent,
aiguille,
aiguille à coudre,
aiguille à tabac,
aiguille à toile,
aiguille à voile,
aiguille d'emballage,
aiguille epars de sapin,
ail,
ail blanc à casser,
aile de fleau,
aile de moulin,
ain à pêcher,
airain,
airain en batterie,
airain ouvré,
ajami,
ajustement,
ajustement de femme,
ajustements,
akia,
akia espèce de salade,
alambic,
alambic de terre,
alana,
alatia,
albâtre,
alcanum duplicatum,
alegia,
alenne,
alesne,
aliban,
alibanies,
alkerme,
alleaux,
allumette,
allumette à vin,
allumette droguée,
allumette épicée,
allumette opérée et souffrée,
allumette souffrée,
allumette soufrée,
almagro ou crayon rouge,
almanach,
alocir,
aloès,
aloès cabalin,
aloès commun,
aloiset,
alose,
alose dite elft,
alose fumée,
alouette,
alpargate,
alpiste,
alquifoux,
alquifoux et mine de plomb,
alquitra,
aluchiabanis,
alun,
alun de fer,
alun de Rome,
alun gâté,
alvés,
amadou,
amadou et agaric,
amande,"Fruits ; divers ; amandes, pelures, raisins, prunes"
amande amère,
amande cassée,
amande courte,
amande douce,
amande en coque,"Fruits ; divers ; amandes, pelures, raisins, prunes"
amande et pruneau,
amande et raisin sec,
amande et savon,
amande et vert-de-gris,
amande longue,
"amande, raison sec et savon",
amandes,"Fruits ; divers ; amandes, pelures, raisins, prunes"
amandes cassées,"Fruits ; divers ; amandes, pelures, raisins, prunes"
amandes douces,"Fruits ; divers ; amandes, pelures, raisins, prunes"
amandes en coque,"Fruits ; divers ; amandes, pelures, raisins, prunes"
amaril,
ambrain a grande barique,
ambre,
ambre brut,
ambre gris,
ambre jaune,
ambre karabé,
ambre moulu,
ambre vert,
amer,
amertis,
ami de toillé,
amidon,
amidon et poudre à poudrer,
ammoniac,
ammonium,
amomum,
amomum verum,
anacarde,
ananas,
ananas confit,
anatose,
anchois,
anchois salé et mariné,
ancre de fer,
ancre de fer à chaudron,
ancre gravelée,
ancre vide,
andes,
andolium ou crockvisch,
andouille,
andouillette,
âne et ânesse,
angélique,
angélique du Rozème,
anguille,
anguille salée,
animal domestique,
anis,
anis et sucre,
anis étoilé,
anis vert,
anisette,
anisette de Bordeaux,
anneau de fer,
ânon,
anse de tonneau,
anspects,
antimoine,
antimoine cru,
antimoine crû,
antofle,
antofle de girofle,
apiers,
apios,
approvisionnement,
apretée à telier les livre,
apretée pour parchemin,
arack,
aracq,
arbalète,
arbaletrie et carte marine,
arbre,
arbre à fruit,
arbre à planter,
arbre à transformer en Pompe,
arbre chêne,
arbre de sapin,
arbre en plant de bois,
arbre en plant de bois d'auban,
arbre sauvage,
arbre tilleul,
arbres à planter,
arbres et arbrisseaux,
arbres fruitiers,
arbrisseau,
arcanson,
archet de violon,
archiabanis,
arçon,
arçon de selle,
arçon de selle,
arçon démonté en gabare,
ardoise,
ardoise dite chérubin et à mortier,
