orthographic_pierre,simplification,status,beforeItems,afterItems,obsolete,imprimatur
pistaches,pistache,rewire,,[Pistache] [pistaches] [Pistaches],no,
planche ; de citronnier,"planche ; de poirier, cerisier, etc.",rewire,[Plaches ; de citronnier],,yes,
planches de citronnier,"planche ; de poirier, cerisier, etc.",rewire,,[Plaches ; de citronnier],no,
planche ; de cyprès,planche ; de cyprès,rewire,[plamches des Cipres] [Planches de ciprés],,yes,
planches de cyprès,planche ; de cyprès,rewire,,[plamches des Cipres] [Planches de ciprés],no,
placard,placard,rewire,[Plancards],,yes,
plancards,placard,rewire,,[Plancards],no,
planche,planche,rewire,[planche] [planches] [Planches],,yes,
planches,planche,rewire,,[planche] [planches] [Planches],no,
planche ; de noyer,planche ; de noyer,rewire,[planches de noyer] [Planches ; de noyers] [Planches ; de noyer] [planche de noyer] [Planches de noyer] [Planches de Noyer] [Planche De noyer],,yes,
planches de noyer,planche ; de noyer,rewire,,[planches de noyer] [Planches ; de noyers] [Planches ; de noyer] [planche de noyer] [Planches de noyer] [Planches de Noyer] [Planche De noyer],no,
planche ; d'ardoise,planche ; d'ardoise,rewire,[Planches ; d'ardoises] [Planches; d'ardoises],,yes,
planches d'ardoises,planche ; d'ardoise,rewire,,[Planches ; d'ardoises] [Planches; d'ardoises],no,
planche ; de bois ; des Indes,planche ; de bois ; des Indes,rewire,[Planches ; de bois des Indes],,yes,
planches de bois des Indes,planche ; de bois ; des Indes,rewire,,[Planches ; de bois des Indes],no,
planche ; de chêne ; pour bordage,planche ; de chêne ; pour bordage,rewire,[Planches de Chêne pour Bordage] [Planches ; de Chesne pour Bordage] [Planches de Chesne pour Bordage],,yes,
planches de chêne pour bordage,planche ; de chêne ; pour bordage,rewire,,[Planches de Chêne pour Bordage] [Planches ; de Chesne pour Bordage] [Planches de Chesne pour Bordage],no,
planche ; de hêtre,planche ; de hêtre,rewire,[Planches ; de hetre] [Planches ; de hêtre],,yes,
planches de hêtre,planche ; de hêtre,rewire,,[Planches ; de hetre] [Planches ; de hêtre],no,
planche ; de lin,planche ; de lin,rewire,[Planches ; de lin],,yes,
planches de lin,planche ; de lin,rewire,,[Planches ; de lin],no,
planche ; de Lorient,planche ; de Lorient,rewire,[Planches ; de Lorient],,yes,
planches de Lorient,planche ; de Lorient,rewire,,[Planches ; de Lorient],no,
planche ; de peuplier,planche ; de peuplier,rewire,[Planches ; de penpliers],,yes,
planches de peuplier,planche ; de peuplier,rewire,,[Planches ; de penpliers],no,
planche ; de rebut,planche ; de rebut,rewire,[Planches ; de rebut],,yes,
planches de rebut,planche ; de rebut,rewire,,[Planches ; de rebut],no,
planche ; de sapin ; de 24 pieds,planche ; de sapin ; 24 pieds,rewire,[Planches de sapin ; de 24 pieds] [Planches de Sapin de 24 pieds] [Planches ; de sapin ; de 24 pieds],,yes,
planches de sapin de 24 pieds,planche ; de sapin ; 24 pieds,rewire,,[Planches de sapin ; de 24 pieds] [Planches de Sapin de 24 pieds] [Planches ; de sapin ; de 24 pieds],no,
planche ; demie,planche ; demie,rewire,[Planches ; demies],,yes,
planches demies,planche ; demie,rewire,,[Planches ; demies],no,
planche ; diverse,planche ; diverse,rewire,[Planches ; diverses],,yes,
planches diverses,planche ; diverse,rewire,,[Planches ; diverses],no,
planche ; en chêne ; net de nœud,planche ; en chêne,rewire,[planches en chêne net de noeud],,yes,
planche ; en chêne,planche ; en chêne,rewire,[Planches ; en chesne],,yes,
planches en chêne net de nœuds,planche ; en chêne,rewire,,[planches en chêne net de noeud],no,
planches en chêne,planche ; en chêne,rewire,,[Planches ; en chesne],no,
planche ; pour grenier,planche ; pour grenier,rewire,[Planches ; p grenier],,yes,
planches pour grenier,planche ; pour grenier,rewire,,[Planches ; p grenier],no,
planche ; petite,planche ; petite,rewire,[Planches Petites] [Planches petites] [Planches ; petites],,yes,
planches petites,planche ; petite,rewire,,[Planches Petites] [Planches petites] [Planches ; petites],no,
planche ; de sapin ; de 11 pieds,planche ; de sapin ; de 11 pieds,rewire,[Planches ;de Sapin; de 11 pieds] [planches de sapin ; de 11 pieds] [Planches de sapin ; de 11 pieds],,yes,
planches de sapin de 11 pieds,planche ; de sapin ; de 11 pieds,rewire,,[Planches ;de Sapin; de 11 pieds] [planches de sapin ; de 11 pieds] [Planches de sapin ; de 11 pieds],no,
planche ; de bois blanc,planche ; de bois blanc,rewire,[planches de bois blanc],,yes,
planches de bois blanc,planche ; de bois blanc,rewire,,[planches de bois blanc],no,
planche ; de Copernic,planche ; de Copernic,rewire,[Planches de copernic],,yes,
planches de copernic,planche ; de Copernic,rewire,,[Planches de copernic],no,
planche ; de Danemark,planche ; de Danemark,rewire,[planches de Danemark],,yes,
planches du Danemark,planche ; de Danemark,rewire,,[planches de Danemark],no,
planche ; de merisier,planche ; de merisier,rewire,[Planches de meRizie],,yes,
planches de merisier,planche ; de merisier,rewire,,[Planches de meRizie],no,
planche ; de navire,planche ; de navire,rewire,[Planches de navire],,yes,
planches de navire,planche ; de navire,rewire,,[Planches de navire],no,
planche ; de sapin ; 12 à 14 pieds,planche ; de sapin ; 12 à 14 pieds,rewire,[Planches de Sapin ; 12 a 14 pieds],,yes,
planches de sapin 12 à 14 pieds,planche ; de sapin ; 12 à 14 pieds,rewire,,[Planches de Sapin ; 12 a 14 pieds],no,
planche ; de sapin ; 7 à 8 pieds,planche ; de sapin ; 7 à 8 pieds,rewire,[Planches de Sapin ; 7 a8 pieds],,yes,
planches de sapin 7 à 8 pieds,planche ; de sapin ; 7 à 8 pieds,rewire,,[Planches de Sapin ; 7 a8 pieds],no,
planche ; de sapin ; 6 pieds,planche ; de sapin ; 6 pieds,rewire,[Planches de Sapin 6 pieds],,yes,
planches de sapin 6 pieds,planche ; de sapin ; 6 pieds,rewire,,[Planches de Sapin 6 pieds],no,
planche ; de sapin ; de tout pied de longueur,planche ; de sapin ; de tout pieds de longueur,rewire,[Planches de Sapin de tout pieds de longueurs],,yes,
planches de sapin de tout pieds de longueur,planche ; de sapin ; de tout pieds de longueur,rewire,,[Planches de Sapin de tout pieds de longueurs],no,
planche ; de sapin ; duicroco,planche ; de sapin ; duicroco,rewire,[Planches de Sapin duicroco],,yes,
planches de sapin duicroco,planche ; de sapin ; duicroco,rewire,,[Planches de Sapin duicroco],no,
planche ; de Suisse,planche ; de Suise,rewire,[Planches de Suise],,yes,
planches de Suisse,planche ; de Suise,rewire,,[Planches de Suise],no,
planche ; de Prusse ; demie,planche ; de Prusse ; demie,rewire,[Planches demie prusse],,yes,
planches demie Prusse,planche ; de Prusse ; demie,rewire,,[Planches demie prusse],no,
planche ; dit feuillet,planche ; dit feuillet,rewire,[planches dit feuillet],,yes,
planches dites feuillet,planche ; dit feuillet,rewire,,[planches dit feuillet],no,
planche ; en poutre,planche ; en poutre,rewire,[planches en poutres],,yes,
planches en poutres,planche ; en poutre,rewire,,[planches en poutres],no,
planche ; lourde,planche ; lourde,rewire,[Planches lourds],,yes,
planches lourdes,planche ; lourde,rewire,,[Planches lourds],no,
planche ; moyenne,planche ; moyenne,rewire,[Planches moyennes],,yes,
planches moyennes,planche ; moyenne,rewire,,[Planches moyennes],no,
planche ; sapin,planche ; sapin,rewire,[Planches Sapin],,yes,
planches sapin,planche ; sapin,rewire,,[Planches Sapin],no,
planche ; sapin ; de bordage,planche ; sapin ; de bordage,rewire,[Planches Sapin de Bordage],,yes,
planches sapin de bordage,planche ; sapin ; de bordage,rewire,,[Planches Sapin de Bordage],no,
planche ; sciée,planche ; sciée,rewire,[planches sciées],,yes,
planches sciées,planche ; sciée,rewire,,[planches sciées],no,
planche ; de pont de barque,planche ; de pont de barque,rewire,[planches;de pont; de Barque],,yes,
planches de pont de barques,planche ; de pont de barque,rewire,,[planches;de pont; de Barque],no,
plançon,plançon,rewire,[Plançon] [Plançons],,yes,
plançons,plançon,rewire,,[Plançon] [Plançons],no,
plant ; de bois ; sauvage,plante ; des bois,rewire,[Plantes ; de bois ; sauvage],,yes,
plantes de bois sauvage,plante ; des bois,rewire,,[Plantes ; de bois ; sauvage],no,
plant ; divers,plante ; diverse,rewire,[Plantes diverses],,yes,
plantes diverses,plante ; diverse,rewire,,[Plantes diverses],no,
plante ; tinctoriale,plante ; tinctoriale,rewire,[Plantes tinctoriales],,yes,
plantes tinctoriales,plante ; tinctoriale,rewire,,[Plantes tinctoriales],no,
plant ; d'arbre,plant ; d'arbre,rewire,[Plants d'arbres] [Plants ; d'arbres],,yes,
plants d'arbres,plant ; d'arbre,rewire,,[Plants d'arbres] [Plants ; d'arbres],no,
plant ; d'oignon,plant ; d'oignon,rewire,[Plants ; d'oignons],,yes,
plants d'oignon,plant ; d'oignon,rewire,,[Plants ; d'oignons],no,
plant ; de cèdre,planche ; de cèdre,rewire,[Plants ; de cedra],,yes,
plants de cédrat,planche ; de cèdre,rewire,,[Plants ; de cedra],no,
plant ; de citronnier,plant ; de citronnier,rewire,[Plants ; de citronniers] [Plants ; de citronnier] [Plants ; de citroniers] [Plants; de citronniers],,yes,
plants de citronnier,plant ; de citronnier,rewire,,[Plants ; de citronniers] [Plants ; de citronnier] [Plants ; de citroniers] [Plants; de citronniers],no,
plant ; de jardin,plant ; de jardin,rewire,[Plants ; de jardin],,yes,
plants de jardin,plant ; de jardin,rewire,,[Plants ; de jardin],no,
plant ; de jasmin,plant ; de jasmin,rewire,[Plants ; de jasmin] [Plants; de jasmin],,yes,
plants de jasmin,plant ; de jasmin,rewire,,[Plants ; de jasmin] [Plants; de jasmin],no,
plant ; de vigne,plant ; de vigne,rewire,[Plants ; de vignes] [Plants ; de vigne],,yes,
plants de vigne,plant ; de vigne,rewire,,[Plants ; de vignes] [Plants ; de vigne],no,
plaque ; en fer,plaque ; de fer,rewire,[Plaques en fer],,yes,
plaque ; de fer,plaque ; de fer,rewire,[Plaques de fers] [Plaque de fer] [Plaques ; de fer] [Plaques de fer] [Plaques de Fer],,yes,
plaques en fer,plaque ; de fer,rewire,,[Plaques en fer],no,
plaques de fer,plaque ; de fer,rewire,,[Plaques de fers] [Plaque de fer] [Plaques ; de fer] [Plaques de fer] [Plaques de Fer],no,
plaque ; matière non précisée,plaque,rewire,[Plaques (matière non précisée)] [Plaques (matière non précisée],,yes,
plaques matière non précisée,plaque,rewire,,[Plaques (matière non précisée)] [Plaques (matière non précisée],no,
plaque ; de bois,plaque ; de bois,rewire,[Plaques de Bois],,yes,
plaques de bois,plaque ; de bois,rewire,,[Plaques de Bois],no,
plaque ; de cuirasse,plaque ; de cuirasse,rewire,[Plaques de cuirasse],,yes,
plaques de cuirasses,plaque ; de cuirasse,rewire,,[Plaques de cuirasse],no,
plaque ; de fer battu,plaque ; de fer battu,rewire,[Plaques de fer batu],,yes,
plaques de fer battu,plaque ; de fer battu,rewire,,[Plaques de fer batu],no,
plaque ; de four,plaque ; de four,rewire,[plaques de four],,yes,
plaques de four,plaque ; de four,rewire,,[plaques de four],no,
plaque ; en cuivre,plaque ; en cuivre,rewire,[Plaques en cuivre],,yes,
plaques en cuivre,plaque ; en cuivre,rewire,,[Plaques en cuivre],no,
plaque ; en tôle,plaque ; en tôle,rewire,[Plaques en tôle],,yes,
plaques en tôle,plaque ; en tôle,rewire,,[Plaques en tôle],no,
plaquette,plaquette,rewire,[Plaquettes],,yes,
plaquettes,plaquette,rewire,,[Plaquettes],no,
plat ; en grès,plat ; en grès,rewire,[plat en grès],,yes,
plat en grès,plat ; en grès,rewire,,[plat en grès],no,
plateau,plateau,rewire,[Plateaux],,yes,
plateaux,plateau,rewire,,[Plateaux],no,
plateau ; de bois,plateau ; de bois,rewire,[Plateaux ; de bois] [Plateaux de bois],,yes,
plateaux de bois,plateau ; de bois,rewire,,[Plateaux ; de bois] [Plateaux de bois],no,
platille ; pour guinée,platille ; pour guinée,rewire,[Platilles pour Guinée],,yes,
platille pour Guinée,platille ; pour guinée,rewire,,[Platilles pour Guinée],no,
platine,platine,rewire,[Platine],,yes,
platines,platine,rewire,,[Platine],no,
platine ; de cuivre,platine ; de cuivre,rewire,[Platine de cuivre],,yes,
platines de cuivre,platine ; de cuivre,rewire,,[Platine de cuivre],no,
platine ; de fer,platine ; de fer,rewire,[Platine de fer] [Platines de fer],,yes,
platines de fer,platine ; de fer,rewire,,[Platine de fer] [Platines de fer],no,
platine ; à cassave,platine ; à cassave,rewire,[Platines à cassave] [Platines ; à fassave] [platines a cassave],,yes,
platines à cassave,platine ; à cassave,rewire,,[Platines à cassave] [Platines ; à fassave] [Platines a cassave] [Platines a Cassave] [platines a cassave],no,
platine ; de ferrure,platine ; de ferrure,rewire,[platinnes de ferrure],,yes,
platines de serrure,platine ; de ferrure,rewire,,[platinnes de ferrure],no,
plays,plays,rewire,[plays],,yes,
plaids,plays,rewire,,[plays],no,
plomb ; en rouleau,plomb ; en rouleau,rewire,[Plomb ; en roulleau] [Plomb ; en rouleaux] [Plomb en RoulEau] [Plom b en roulleau] [Plomb ; en rouleau] [Plomb en rouleau],,yes,
plomb en rouleau,plomb ; en rouleau,rewire,,[Plomb ; en roulleau] [Plomb ; en rouleaux] [Plomb en roulleau] [Plomb en RoulEau] [Plom b en roulleau] [Plomb ; en rouleau] [Plomb en rouleau] [Plomb en rouleaux],no,
plomb ; à giboyer,plomb ; de chasse,rewire,[Plomb ; à giboyer] [Plomb ; à giboyés],,yes,
plomb ; de chasse,plomb ; de chasse,rewire,[Plombs de chasse] [Plomb de chasse],,yes,
plomb à giboyer,plomb ; de chasse,rewire,,[Plomb ; à giboyer] [Plomb; A giboyer] [Plomb ; à giboyés] [Plomb a giboyer] [Plomb à giboyer],no,
plomb de chasse,plomb ; de chasse,rewire,,[Plombs de chasse] [Plomb de chasse],no,
plomb ; brut,plomb ; brut,rewire,[Plomb ; brut],,yes,
plomb brut,plomb ; brut,rewire,,[Plomb ; brut] [Plomb; Brut],no,
plomb ; brut ; en pain,plomb ; brut ; en pain,rewire,[Plomb ; brut ; en pain],,yes,
plomb brut en pain,plomb ; brut ; en pain,rewire,,[Plomb ; brut ; en pain],no,
plomb ; de caisse ; de thé,plomb ; de caisse ; de thé,rewire,[Plomb ; de caisses ; de thé],,yes,
plomb de caisses de thé,plomb ; de caisse ; de thé,rewire,,[Plomb ; de caisses ; de thé],no,
plomb ; en barre,plomb ; en barre,rewire,[Plomb ; en barres],,yes,
plomb en barres,plomb ; en barre,rewire,,[Plomb ; en barres] [Plomb en barre] [Plomb ; en barre] [Plomb en barres],no,
plomb ; en bloc,plomb ; en bloc,rewire,[plomb en bloc] [Plomb ; en bloc] [Plomb en bloc],,yes,
plomb en blocs,plomb ; en bloc,rewire,,[plomb en bloc] [Plomb ; en bloc] [Plomb en bloc],no,
plomb ; en feuille,plomb ; en feuille,rewire,[Plomb ; en feüilles] [Plomb ; en feuilles],,yes,
plomb en feuilles,plomb ; en feuille,rewire,,[Plomb ; en feüilles] [Plomb; En feuilles] [Plomb ; en feuilles],no,
plomb ; en masse,plomb ; en masse,rewire,[Plomb ; en masse],,yes,
plomb en masses,plomb ; en masse,rewire,,[Plomb ; en masse],no,
plomb ; en pain,plomb ; en pain,rewire,[Plomb ; en pain],,yes,
plomb en pain,plomb ; en pain,rewire,,[Plomb ; en pain],no,
plomb ; en table,plomb ; en table,rewire,[plomb ; en table] [Plomb en Table] [Plomb ; en tables] [Plomb en table] [Plomb ; en table],,yes,
plomb en tables,plomb ; en table,rewire,,[plomb ; en table] [Plomb en Table] [Plomb ; en tables] [Plomb en table] [Plomb ; en table],no,
plomb ; thé,plomb ; thé,rewire,[Plomb ; thé],,yes,
plomb thé,plomb ; thé,rewire,,[Plomb ; thé],no,
plomb ; vieux,plomb ; vieux,rewire,[plomb vieux] [Plomb ; vieux] [Plomb vieux],,yes,
plomb vieux,plomb ; vieux,rewire,,[plomb vieux] [Plomb ; vieux] [Plomb vieux],no,
plomb ; argenté,plomb ; argenté,rewire,[Plomb Argenté],,yes,
plomb argenté,plomb ; argenté,rewire,,[Plomb Argenté],no,
plomb ; en balle,plomb ; en balle,rewire,[Plomb en balle],,yes,
plomb en balles,plomb ; en balle,rewire,,[Plomb en balle] [Plomb en balles],no,
plomb ; en lingot,plomb ; en lingot,rewire,[Plomb en lingots],,yes,
plomb en lingots,plomb ; en lingot,rewire,,[Plomb en lingots],no,
plomb ; en planche ; gravée,plomb ; en planche ; gravée,rewire,[plomb en planches gravées],,yes,
plomb en planches gravées,plomb ; en planche ; gravée,rewire,,[plomb en planches gravées],no,
plomb ; en plaque,plomb ; en plaque,rewire,[Plomb en plaques] [Plomb en plaque],,yes,
plomb en plaques,plomb ; en plaque,rewire,,[Plomb en plaques] [Plomb en plaque],no,
plomb ; en tuyau,plomb ; en tuyau,rewire,[Plomb en tuyaux],,yes,
plomb en tuyaux,plomb ; en tuyau,rewire,,[Plomb en tuyaux],no,
pluche ; de coton,pluche ; de coton,rewire,[pluche de cotton],,yes,
peluches de coton,pluche ; de coton,rewire,,[pluche de cotton],no,
pluche ; de bois,pluche ; de bois,rewire,[Pluches ; de bois],,yes,
peluches de bois,pluche ; de bois,rewire,,[Pluches ; de bois],no,
plume ; à lit ; commune,plume ; à lit,rewire,[Plumes ; à lit ; communes],,yes,
plume ; à lit,plume ; à lit,rewire,[Plumes ; A lits] [Plumes ; A lit] [Plumes; à lit] [Plumes ; a lits] [Plumes ; a lit] [Plumes à Lit] [Plumes a Lit] [plume à lit] [plumes à lit] [Plumes a lit] [Plues ; à lit] [Plume a lit] [Plumes ; à lit] [Plume ; à lit] [Plume à Lit] [Plumes à lit],,yes,
plume ; vive ; à lit,plume ; à lit,rewire,[Plume ; vive ; à lit],,yes,
plume ; morte ; à lit,plume ; à lit,rewire,[Plume ; morte ; à lit],,yes,
plumes à lit communes,plume ; à lit,rewire,,[Plumes ; à lit ; communes],no,
plumes à lit,plume ; à lit,rewire,,[Plumes ; A lits] [Plumes ; A lit] [Plumes; à lit] [Plumes ; a lits] [Plumes ; a lit] [Plumes à Lit] [Plumes a Lit] [plume à lit] [plumes à lit] [Plumes a lit] [Plues ; à lit] [Plume a lit] [Plumes ; à lit] [Plume ; à lit] [Plume à Lit] [Plume à lit] [Plumes à lit],no,
plumes vives à lit,plume ; à lit,rewire,,[Plume ; vive ; à lit],no,
plumes mortes à lit,plume ; à lit,rewire,,[Plume ; morte ; à lit],no,
plume ; d'autruche,plume ; d'autruche,rewire,[Plumes d'autruche] [Plumes ; d'autruches] [Plume ; d'autruche] [Plumes ; d'autruche] [plumes d'autruche] [plume d'autruche],,yes,
plumes d'autruche,plume ; d'autruche,rewire,,[Plumes d'autruche] [Plumes ; d'autruches] [Plume ; d'autruche] [Plumes ; d'autruche] [plumes d'autruche] [plume d'autruche] [Plumes d'autruches],no,
plume ; d'autruche ; apprêtée,plume ; apprêtée ; d'autruche,rewire,[plumes d'autruche apretées] [Plumes ; d'autruche ; apretees] [Plumes ; d'autruches ; aprêtées] [Plumes ; D'autruche ; Apprêtée] [Plumes ; D'autruches ; Apprêtées] [Plumes ; d'autruche apressées] [Plumes ; d'autruche ; apressées] [Plumes ; d'autruche aprestée] [Plumes; d'autruche; apretees] [Plumes ; d'autruche ; aprestée] [Plumes ; d'autruche ; apprêtées] [Plumes ; d'autruches ; apprêtées] [Plumes ; d'autruches ; appretés] [Plumes ; d'autruche ; apretées] [Plume ; d'autruche ; aprestées] [Plumes ; d'autruche ; aprestées] [Plume ; d'autruche ; aprestée] [Plumes ; d'Autruche ; aprestées] [Plumes ; d'Autruche ; aprêtées] [Plumes ; d'autruche ; aprêtées] [Plume d'autruches aprestées] [Plumes ; d'autruches ; aprestées] [Plumes d'autruche a preté] [Plumes d'autruche apprêtées],,yes,
plumes d'autruche apprêtées,plume ; apprêtée ; d'autruche,rewire,,[plumes d'autruche apretées] [Plumes ; d'autruche ; apretees] [Plumes ; d'autruches ; aprêtées] [Plumes ; D'autruche ; Apprêtée] [Plumes ; D'autruches ; Apprêtées] [Plumes ; d'autruche apressées] [Plumes ; d'autruche ; apressées] [Plumes ; d'autruche aprestée] [Plumes; d'autruche; apretees] [Plumes ; d'autruche ; aprestée] [Plume ; d'autruche ; apprêtée] [Plumes ; d'autruche ; apprêtées] [Plumes; D'autruches apprêtées] [Plumes; D'autruches blanches] [Plumes ; d'autruches ; apprêtées] [Plumes ; d'autruches ; appretés] [Plumes ; d'autruche ; apretées] [Plume ; d'autruche ; aprestées] [Plumes ; d'autruche ; aprestées] [Plume ; d'autruche ; aprestée] [Plumes ; d'Autruche ; aprestées] [Plumes ; d'Autruche ; aprêtées] [plumes ; d'autruches apretées] [Plumes ; d'autruche ; aprêtées] [Plumes ; d'autruches apretées] [Plumes d'autruche appretées] [Plumes d'autruches apretées] [Plume d'autruches aprestées] [Plumes d'autruche apretées] [Plumes d'autruche aprestées] [Plume d'autruche apretée] [Plumes d'autruches apprestées] [Plumes d'autruches aprêtées] [Plume d'autruche apretées] [Plume d'autruche aprêtée] [Plumes d'autruche aprêtées] [Plumes ; d'autruches ; aprestées] [Plumes d'autruche a preté] [Plumes d'autruches apprêtées] [Plumes d'autruche apprêtées],no,
plume ; de lin,plume ; de lin,rewire,[Plumes ; a lin] [Plumes ; à lin] [Plumes A Lin] [Plume à lin] [Plumes de Lin],,yes,
plumes à lin,plume ; de lin,rewire,,[Plumes ; a lin] [Plumes ; à lin] [Plumes A Lin] [Plume à lin] [Plumes de Lin],no,
plume ; de soie,plume ; de soie,rewire,[Plume de soye],,yes,
plumes de soie,plume ; de soie,rewire,,[Plume de soye],no,
plume ; morte,plume,rewire,[plumes mortes],,yes,
plume ; diverse,plume,rewire,[Plumes de toutes sortes] [Plumes de toute sorte] [Plumes ; diverses] [Plumes ; Diverses],,yes,
plume ; commune,plume,rewire,[plumes communes],,yes,
plume,plume,rewire,[Plumes],,yes,
plumes mortes,plume,rewire,,[plumes mortes],no,
plumes diverses,plume,rewire,,[Plumes ; diverses] [Plumes ; Diverses],no,
plumes de toute sorte,plume,rewire,,[Plumes de toutes sortes] [Plumes de toute sorte],no,
plumes communes,plume,rewire,,[plumes communes],no,
plumes,plume,rewire,,[Plumes],no,
plume ; à écrire ; apprêtée,plume ; apprêtée ; à écrire,rewire,[Plumes ; à écrire ; apprêtées] [Plumes ; à écrire ; aprêtées] [Plumes A écrire apresté],,yes,
plumes à écrire apprêtées,plume ; apprêtée ; à écrire,rewire,,[Plumes ; à écrire ; apprêtées] [Plumes ; à écrire ; aprêtées] [Plumes A écrire apresté],no,
plume ; à écrire ; brute,plume ; brute ; à écrire,rewire,[Plumes ; à écrire ; brutes] [Plumes a ecrire brutes],,yes,
plumes à écrire brutes,plume ; brute ; à écrire,rewire,,[Plumes ; à écrire ; brutes] [Plumes a ecrire brutes],no,
plume ; à manchon,plume ; à manchon,rewire,[Plumes ; à manchons] [Plumes; à manchons],,yes,
plumes à manchons,plume ; à manchon,rewire,,[Plumes ; à manchons] [Plumes; à manchons],no,
plume ; à plumet,plume ; à plumet,rewire,[Plumes ; à plumets],,yes,
plumes à plumets,plume ; à plumet,rewire,,[Plumes ; à plumets],no,
plume ; à volant,plume ; à volant,rewire,[Plumes ; à volans] [Plumes ; à volants] [Plumes ; à volant],,yes,
plumes à volants,plume ; à volant,rewire,,[Plumes ; à volans] [Plumes ; à volants] [Plumes ; à volant],no,
plume ; apprêtée,plume ; apprêtée,rewire,[Plumes ; Apprêtées],,yes,
plumes apprêtées,plume ; apprêtée,rewire,,[Plumes ; Apprêtées],no,
plume ; d'aiglon,plume ; d'aiglon,rewire,[Plumes ; d'aiglon],,yes,
plumes d'aiglon,plume ; d'aiglon,rewire,,[Plumes ; d'aiglon],no,
plume ; d'édredon,plume ; d'édredon,rewire,[Plumes ; D'edredon] [Plumes ; d'édredon] [Plumes ; d'edredon],,yes,
plumes d'édredon,plume ; d'édredon,rewire,,[Plumes d'édredon] [Plumes ; D'edredon] [Plumes ; d'édredon] [Plumes ; d'edredon],no,
plume ; de coq,plume ; de coq,rewire,[Plumes ; de coq],,yes,
plumes de coq,plume ; de coq,rewire,,[Plumes ; de coq] [Plumes ; de coqs],no,
plume ; noire,plume ; noire,rewire,[Plumes ; noire] [Plumes ; noires],,yes,
plumes noires,plume ; noire,rewire,,[Plumes ; noire] [Plumes; Noires] [Plumes ; noires],no,
plume ; teinte,plume ; teinte,rewire,[Plumes ; teintes],,yes,
plumes teintes,plume ; teinte,rewire,,[Plumes ; teintes],no,
plume ; à écrire ; non travaillée,plume ; à écrire ; non travaillée,rewire,[plumes à ecrire non travaillées],,yes,
plumes à écrire non travaillées,plume ; à écrire ; non travaillée,rewire,,[plumes à ecrire non travaillées],no,
plume ; pour dévidoir,plume ; pour dévidoir,rewire,[plumes pour dévidoirs],,yes,
plumes pour dévidoirs,plume ; pour dévidoir,rewire,,[plumes pour dévidoirs],no,
plume ; vive,plume ; vive,rewire,[plumes vives],,yes,
plumes vives,plume ; vive,rewire,,[plumes vives],no,
plume ; pour chapeau,plume ; pour chapeau,rewire,[plumets pour chapeaux],,yes,
plumets pour chapeaux,plume ; pour chapeau,rewire,,[plumets pour chapeaux],no,
poche ; de peau,poche ; de peau,rewire,[Poches ; de peau],,yes,
poches de peau,poche ; de peau,rewire,,[Poches ; de peau],no,
poêle ; à frire,poêle ; à frire,rewire,[Poêle ; à frire] [Poëles ; à frire] [Poéles a frire] [Poele à frire] [Poisle à frire] [Poelles ; a frire] [Poiles à frire] [Poëlles a frire] [Poëlles ; a frire] [Poesles à frire] [poesle à frire] [Poeles ; a frire] [poëles a frire] [poelea frire] [Poeles à frire] [poelle a frire] [Poelle à frire] [Poeles a frire] [poëlles afrire] [poilles ; a frire] [poële a frire] [Poisles ; à frire] [Poisles; à frire] [Poisles a frire] [Poilles ; a frire] [Poësles ; à frire] [Poeles ; à frire] [Poisles à frire] [Poilles a frire] [Poiles a frire] [Poils à frire] [Poile à frire] [Poêle à frire] [Poille A frire] [Poilles à frire] [Poelles à Frire] [Poille à frire] [Poelles à frire],,yes,
poêles à frire,poêle ; à frire,rewire,,[Poêle ; à frire] [Poëles ; à frire] [Poéles a frire] [Poele à frire] [Poisle à frire] [Poelles ; a frire] [Poesles a frire] [Poiles à frire] [Poëlles a frire] [Poëlles ; a frire] [Poesles à frire] [poesle à frire] [Poeles ; a frire] [poëles a frire] [poelea frire] [Poeles à frire] [poelle a frire] [Poelle à frire] [Poeles a frire] [poëlles afrire] [poilles ; a frire] [poële a frire] [Poisles ; à frire] [Poisles; à frire] [Poisles a frire] [Poilles ; a frire] [Poësles ; à frire] [Poeles ; à frire] [Poisles à frire] [Poilles a frire] [Poiles a frire] [Poils à frire] [Poile à frire] [Poêle à frire] [Poille A frire] [Poilles à frire] [Poelles à Frire] [Poille à frire] [Poelles à frire],no,
poêle,poêle,rewire,[Poêles] [Poëles],,yes,
poêles,poêle,rewire,,[Poêles] [Poëles],no,
poêle ; de faïence,ouvrage ; de faïence ; poêle,rewire,[Poëles ; de fayance] [Poesles ; de fayance] [Poëles; de fayance],,yes,
poêles de faïence,ouvrage ; de faïence ; poêle,rewire,,[Poëles ; de fayance] [Poesles ; de fayance] [Poëles; de fayance],no,
poêle ; de fer ; à feu,poêle ; de fer ; à feu,rewire,[Poeles de fer à feu] [Poils de fer à feu],,yes,
poêles de fer à feu,poêle ; de fer ; à feu,rewire,,[Poeles de fer à feu] [Poils de fer à feu],no,
poêle ; en fer ; pour chauffage,poêle ; en fer ; pour chauffage,rewire,[Poêles en fer (pour chauffage)],,yes,
poêles en fer pour chauffage,poêle ; en fer ; pour chauffage,rewire,,[Poêles en fer (pour chauffage)],no,
poêle ; en fer ; pour faire la cuisine,poêle ; en fer ; pour faire la cuisine,rewire,[Poêles en fer (pour faire la cuisine)],,yes,
