orthographic_pierre,simplification,status,beforeItems,afterItems,obsolete,imprimatur
bas de soie,[baie ; de foye] [bas ; de soie],ambiguous,,[Bas; de soye] [Bas ; de Soye] [Bas ; de soie] [Bas de soyes] [bas de soye] [Bars de soye] [Bas de Soye] [Bas de foye] [Baie de foye] [Bas ; de soye] [Bas de soie] [Bas de soye],no,
barres de guindeau,[barre ; de guindeau],ambiguous,,[Barres ; de guindeaux] [Barres de guindeau] [Bares ; de guindeau] [Barres ; de guindeau] [barres de Guindeaux] [barres de Guindeau],no,
barreaux,[baressus],ambiguous,,[Baressus] [Barresus],no,
barres d'anspect,[barre ; d'anspect] [barre ; de bois],ambiguous,,[Barres ; de bois] [Barres ; d'anspect] [Barres ; d'anspects] [Barres d'anspect] [Barres d'anspecs] [barres d'anspecs] [Barres d'anspects] [Barres d'Anspect] [barres d'Anspects] [barres d'Aspects] [barres d'Anspect],no,
bas de coton,[bas ; de coton] [bas ; coton],ambiguous,,[bas de cotton] [Bas; de coton] [Bas ; de coton] [Bas de Coton] [Bas de cotton] [Bas ; de cotton] [bas de coton] [Bas de coton],no,
bas et bonnets de coton,[bas et bonneterie ; bonnet de coton],ambiguous,,[Bas ; et bonets de coton] [Bas et Bonnets de coton] [bas et bonnets de coton],no,
bonneterie de laine diverse,[bonneterie ; de laine],ambiguous,,[Bonneterie ; de laine ; diverse],no,
bonneterie de laine ???,[bonneterie ; de laine],ambiguous,,[Bonneterie ; de laine ; ?],no,
bonneterie de laine,"[bonneterie ; de laine] [bonnet ; de laine] [bonneterie ; de fil, coton et laine]",ambiguous,,[Bonneteries de line] [Bonneterie ; De laine] [Bonneterie; de laine] [Bonnetterie ; de laine] [Bonneteries ; de laine] [Boneterie ; de laine] [Boneterie de laine] [Bonneterie ; de layne] [Bonnetterie de laine] [Bonneteries de laine] [Bonnetrie de laine] [Bonneterie de laine],no,
bas gants et bonnets de laine,[bonneterie ; de laine],ambiguous,,"[bas, gants et bonnets de laine]",no,
bassin d'étain,[basin ; d'étain] [bassin ; de cuivre] [bassin ; de tirin],ambiguous,,[Bassin de tirin] [Basins d'...tain] [Basin d'Etain] [Bassins d'etain],no,
bassin de cuivre jaune,[basin ; de cuivre ; jaune] [bassin ; de cuivre ; jaune],ambiguous,,[Bassin ; de cuivre ; jaune] [Basin de Cuivre Jaune],no,
bassin de cuivre,[basin ; de cuivre] [bassin ; de cuivre] [bassine ; de cuivre],ambiguous,,[Bassins ; de cuivre] [Basins de Cuivre] [Bassin ; de cuivre] [Bassins de cuivre] [Basin de Cuivres],no,
bateaux,[bateau] [bateau ; neuf] [bateleux],ambiguous,,[batteaux] [Batteaux] [Bateleux] [Bateau] [Bateaux],no,
bâtons de gaffes,[bâton ; de gaffe] [bâton ; de Gaffes],ambiguous,,[Batons ; de Gaffes] [Batons ; de gaffe] [Batons de gaffes],no,
bâtons vernis,[bâton ; verni],ambiguous,,[Bâtons ; vernis] [Batons vernis] [batons ; vernis] [Batons vermeil] [Batons ; vernis],no,
blé froment,[blé ; froment] [grain ; froment],ambiguous,,[Blés/Froments] [Blé-Froment] [Bles ; froment] [Bled; froment] [Bled fromant] [Bleds froment] [Beld froment] [Bléd froment] [Bled Fromant] [Bléd Fromente] [Bled fromen] [Blé ; froment] [Ble Froment] [bled froment] [Bled froment] [Bled ; froment] [Blé Froment] [Bled Froment] [Blés froment] [Blé froment],no,
bernes,[berne],ambiguous,,[Bernus] [Bernues] [Bernes] [bernus],no,
bestiaux en porcelets,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; en porcelets],no,
bestiaux porcelets,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; Porcelets] [Bestiaux ; porcelets],no,
bestiaux en porcs maigres,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; en porcs ; maigres],no,
bestiaux en porcs gras,[bétail ; porc et porcelet],ambiguous,,[Bestiaux ; en porcs ; gras],no,
