year,marchandises,value,quantit,quantity_unit,total,grammesargent_markbanco
1733,Alun,0,,,4173763,8.3505268
1733,Beurre,1495,,,4173763,8.3505268
1733,Blanc ; de baleine,0,,,4173763,8.3505268
1733,Bois ; de Pernambouc,0,,,4173763,8.3505268
1733,Bois ; de teinture,500,,,4173763,8.3505268
1733,Bougie ; de suif,0,,,4173763,8.3505268
1733,Cacao,0,,,4173763,8.3505268
1733,Café,186836,,,4173763,8.3505268
1733,Cochenille,0,,,4173763,8.3505268
1733,Coton ; autre et de Méditerranée,0,,,4173763,8.3505268
1733,Coton ; autre et de Méditerranée,1650,,,4173763,8.3505268
1733,Eau ; de vie,124665,,,4173763,8.3505268
1733,Fer,0,,,4173763,8.3505268
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,,,4173763,8.3505268
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",43805,,,4173763,8.3505268
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",87065,,,4173763,8.3505268
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",8100,,,4173763,8.3505268
1733,Galle,19580,,,4173763,8.3505268
1733,Gingembre,4380,,,4173763,8.3505268
1733,Gomme,24930,,,4173763,8.3505268
1733,Goudron ; de Suède,0,,,4173763,8.3505268
1733,Huile ; d'olive ; blanc ; de Gènes,2170,,,4173763,8.3505268
1733,Huile ; de baleine,20,,,4173763,8.3505268
1733,Indigo,226772,,,4173763,8.3505268
1733,Marchandises non classifiées,442936.21875,,,4173763,8.3505268
1733,Minium,0,,,4173763,8.3505268
1733,Oxyde ; de plomb,0,,,4173763,8.3505268
1733,Plombs,1000,,,4173763,8.3505268
1733,Poivre ; blanc-noir,1200,,,4173763,8.3505268
1733,Potasse,58,,,4173763,8.3505268
1733,Riz,8100,,,4173763,8.3505268
1733,Safran ; orange,700,,,4173763,8.3505268
1733,Savon,4450,,,4173763,8.3505268
1733,Sucre ; cru blanc ; du Brésil,2148770.75,,,4173763,8.3505268
1733,Suif ; pour faire du savon,0,,,4173763,8.3505268
1733,Sumac,2940,,,4173763,8.3505268
1733,Tabac ; de Virginie,2260,,,4173763,8.3505268
1733,Tartre,1200,,,4173763,8.3505268
1733,Thé ; boue,126611,,,4173763,8.3505268
1733,Térébenthine,3025,,,4173763,8.3505268
1733,Vert-de-gris,12200,,,4173763,8.3505268
1733,Vin ; de France,673897,,,4173763,8.3505268
1733,Vinaigre,12287,,,4173763,8.3505268
1733,Vitriol ; blanc,160,,,4173763,8.3505268
1734,Alun,0,,,3067543,8.3505268
1734,Beurre,0,,,3067543,8.3505268
1734,Blanc ; de baleine,0,,,3067543,8.3505268
1734,Bois ; de Pernambouc,0,,,3067543,8.3505268
1734,Bois ; de teinture,200,,,3067543,8.3505268
1734,Bougie ; de suif,0,,,3067543,8.3505268
1734,Cacao,0,,,3067543,8.3505268
1734,Café,171335,,,3067543,8.3505268
1734,Cochenille,0,,,3067543,8.3505268
1734,Coton ; autre et de Méditerranée,400,,,3067543,8.3505268
1734,Coton ; autre et de Méditerranée,0,,,3067543,8.3505268
1734,Eau ; de vie,154610,,,3067543,8.3505268
1734,Fer,0,,,3067543,8.3505268
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",33845,,,3067543,8.3505268
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,,,3067543,8.3505268
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",8723,,,3067543,8.3505268
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",175,,,3067543,8.3505268
1734,Galle,9770,,,3067543,8.3505268
1734,Gingembre,6650,,,3067543,8.3505268
1734,Gomme,38400,,,3067543,8.3505268
1734,Goudron ; de Suède,0,,,3067543,8.3505268
1734,Huile ; d'olive ; blanc ; de Gènes,2956,,,3067543,8.3505268
1734,Huile ; de baleine,0,,,3067543,8.3505268
1734,Indigo,191825,,,3067543,8.3505268
1734,Marchandises non classifiées,249643,,,3067543,8.3505268
1734,Minium,0,,,3067543,8.3505268
1734,Oxyde ; de plomb,350,,,3067543,8.3505268
1734,Plombs,0,,,3067543,8.3505268
1734,Poivre ; blanc-noir,0,,,3067543,8.3505268
1734,Potasse,0,,,3067543,8.3505268
1734,Riz,0,,,3067543,8.3505268
1734,Safran ; orange,9750,,,3067543,8.3505268
1734,Savon,1010,,,3067543,8.3505268
1734,Sucre ; cru blanc ; du Brésil,1791953,,,3067543,8.3505268
1734,Suif ; pour faire du savon,0,,,3067543,8.3505268
1734,Sumac,840,,,3067543,8.3505268
1734,Tabac ; de Virginie,333,,,3067543,8.3505268
1734,Tartre,800,,,3067543,8.3505268
1734,Thé ; boue,10700,,,3067543,8.3505268
1734,Térébenthine,2975,,,3067543,8.3505268
1734,Vert-de-gris,4450,,,3067543,8.3505268
1734,Vin ; de France,365148,,,3067543,8.3505268
