marchandises_norm_ortho	marchandises_simplifiées	marchandises_simplifiées_unifiées
abaques	abaques	abaques
acacia	acacia	acacia
acacia ; germanica	acacia, germanica	acacia, germanica
achia	achia	achia
acier	acier	acier
acier ; brut	acier, brun	acier, brun
acier ; en barres	acier, brut	acier, brut
acier brun	acier, en barres	acier, en barres
acon	acons	acons
acons ; démontés	acons, démontés	acons, démontés
acons ; en gabares ; démontés	acons, en gabares, démontés	acons, en gabares, démontés
acons démontés	acons, démontés	acuirson
acore	herbe : acore	affût : de canon
acore	herbe : acore	affût : de fusil
acore (herbe)	herbe : acore	agaric
acuirson	acuirson	agaric, amadouvier
affût ; de canon	affût : de canon	agaric, amadouvier, brut, et préparé
affût de canon	affût : de canon	agaric, brut, et préparé
affût de canon	affût : de canon	agate
affût de fût à canon	affût : de canon	agate, fine
affûts ; de fusils	affût : de fusil	agate, montée
agaric	agaric	agneaux
agaric	agaric	agnelines ; et ; crotelins
agaric	agaric	agoutals
agaric	agaric	agoutals, en bois
agaric amadouvier	agaric, amadouvier	agrément
agaric amadouvier, brut et préparé	agaric, amadouvier, brut, et préparé	agrément, au quart
agaric amadouvier, brut et préparé	agaric, amadouvier, brut, et préparé	agrément, de fleurs
agaric brut et préparé	agaric, brut, et préparé	agrément, en argent
agate	agate	agrément, en fil
agate fine	agate, fine	agrément, en or, et en argent
agate, montée	agate, montée	agrément, en soie
agneaux	agneaux	agrément, en soie, en or, et en argent (faux)
agnelines et crotelins	agnelines ; et ; crotelins	agrément, en soie, et en argent
agoutals	agoutals	agrément, en soie, et en fil
agoutals de bois	agoutals, en bois	agrès
agrément	agrément	agrès, de navire
agrément	agrément	agrès, de navire, en voiles
agrément	agrément	aiglefin
agrément	agrément	aigles
agrément ; au quart	agrément, au quart	aigre, de cidre
agrément ; au quart	agrément, au quart	aigre, de vitriol
agrément ; d'argent	agrément, en argent	aigrettes
agrément ; d'argent	agrément, en argent	aigrettes, en fil, en or, et en argent
agrément ; de fil	agrément, en fil	aigrettes, en soie, et en argent
agrément ; de fil	agrément, en fil	aiguille
agrément ; de fil	agrément, en fil	aiguille, à boîte
agrément ; de fil	agrément, en fil	aiguille, à coudre
agrément ; de fleurs	agrément, de fleurs	aiguille, à tabac
agrément ; de soie	agrément, en soie	aiguille, à toile
agrément ; de soie	agrément, en soie	aiguille, à voile
agrément ; de soie	agrément, en soie	aiguille, d'emballage
agrément ; de soie	agrément, en soie	aiguille, épars, de sapin,
agrément ; de soie	agrément, en soie	ail
agrément ; de soie	agrément, en soie	ail, blanc, à casé
agrément ; de soie	agrément, en soie	ailes
agrément ; de soie	agrément, en soie	ailes, de fléaux
agrément ; de soie	agrément, en soie	ailes, de moulin
Agrément ; de soie et d'argent	agrément, en soie, et en argent	ailor
agrément ; de soie et fil	agrément, en soie, et en fil	ains, à pêcher
agrément ; de soie or et argent faux	agrément, en soie, en or, et en argent (faux)	airain
agrément ; or et argent	agrément, en or, et en argent	airain, en batterie
agrément ; or et argent	agrément, en or, et en argent	airain, non ouvré
agrément ; or et argent	agrément, en or, et en argent	ajamis
agrément ; or et argent	agrément, en or, et en argent	ajustement
agrès	agrès	ajustement, de femme
agrès ; de navire	agrès, de navire	alambic
agrès ; de navire	agrès, de navire	alambic, de terre
agrès ; de navire	agrès, de navire	alatia
agrès ; de navire	agrès, de navire	alaya
agrès ; de navire ; en voiles	agrès, de navire, en voiles	albâtre
aiglefin	aiglefin	albâtre; et ; marbres (ouvrés)
aigles	aigles	alcanum duplicatum
aigre ; de cidre	aigre, de cidre	alegias
aigre ; de vitriol	aigre, de vitriol	alènes
aigre ; de vitriol	aigre, de vitriol	alibanies
aigre ; de vitriol	aigre, de vitriol	alkermès
aigrettes	aigrettes	alleaux
aigrettes de fil or et argent	aigrettes, en fil, en or, et en argent	allumettes
aigrettes de soie et argent	aigrettes, en soie, et en argent	allumettes, à vin
aiguille	aiguille	almanachs
aiguille	aiguille	almanachs, enjolivés
aiguille	aiguille	alocir
aiguille	aiguille	aloès
aiguille	aiguille	aloès, cabalin
aiguille	aiguille	aloès, commun
aiguille ; à boîte	aiguille, à boîte	aloiset
aiguille ; à coudre	aiguille, à coudre	alose
aiguille ; à coudre	aiguille, à coudre	alose, dite elft
aiguille ; à voile	aiguille, à voile	alose, fumée
aiguille ; à voile	aiguille, à voile	alouettes
aiguille ; à voile	aiguille, à voile	alpargate
aiguille ; à voile	aiguille, à voile	alpiste
aiguille ; à voile	aiguille, à voile	alquifoux
aiguille ; à voile	aiguille, à voile	alquifoux ; et ; mine, de plomb
aiguille ; à voile	aiguille, à voile	alquitra
aiguille à coudre	aiguille, à coudre	aluchiabanis
aiguille à coudre	aiguille, à coudre	alun
aiguille à coudre	aiguille, à coudre	alun, de fer
aiguille à coudre	aiguille, à coudre	alun, de Rome
