item,group,status,beforeItems,afterItems,obsolete,imprimatur
simarouba,[simarouba],ambiguous,[Simacouba] [Simaroba] [Simaroubas] [Sinacoubas],[Drogues ; Médecinales en plantes ; Simarouba],no,
simaboura,[simarouba],ambiguous,,[Siramonbas] [Simacouba] [Simaroba] [Simaroubas] [Sinacoubas] [Semacouba] [simanombre] [simanombra],no,
rhubarbe de Moscovie,[rhubarbe ; de Moscou] [rhubarbe],ambiguous,,[Rubarbe de MOSCOUE] [Rubarbe de Moscoue] [Rubarbe de Moscovie] [rubarbe de moscovie] [Rhubarbe ; de moscovie] [Rubarbe ; de moscovie] [rhubarbe de moscovie] [Rubarbe de moscovie],no,
grain orge perlé et mondé,[orge ; perlé et mondé],ambiguous,,[Orge mondé et perlé] [Orge perlé et mondé] [orge mondé et perlé],no,
gomme tacamaca,[gomme ; tacamaque] [drogue ; gomme ; laque],ambiguous,,[Gome ; tamaqua] [Gomme ; tacamaca] [Gomme ; tacumaca] [Gomme ; tatamaque] [Gommes ; tacamaque] [Gomme ; lamaqua],no,
gomme ederée,[gomme ; édorée] [gomme ; hederée],ambiguous,,[Gomme : édorée] [Gomme ; ederée] [Gomme ; hederée],no,
fleurs de muscade,[épicerie ; muscade ; fleur] [fleur de muscade],ambiguous,,[Fleur de Muscade] [Fleur ; de muscade] [Fleur de muscade] [Fleurs ; de muscade] [Fleurs ; de muscades] [Fleurs de muscade],no,
esprit de bergamote,[esprit ; de bergamote],ambiguous,,[Esprit de bergamote] [Esprit de bergamottes] [Esprit ; de bergamote] [Esprit ; de bergamotte] [Esprit ; de bergamottes] [Esprits ; de bergemottes] [esprit de bergamotte],no,
poivre long,[épicerie ; poivre ; long],ambiguous,,[Epicerie ; poivre ; long] [Pivre long] [Poivre ; long] [Poivre long] [Poivre; long] [Poivre Lang] [Poivre ; lony],no,
eau de senteur de la reine de Hongrie,[eau ; de senteur ; de la reine de Hongrie] [eau ; de la reine d'Hongrie],ambiguous,,[Eau ; de la M d'hongrie] [Eau ; de la M. d'Hongrie] [Eau ; de la R d'hongrie] [Eau ; de la R. d'Hongrie] [Eau ; de la R. d'hongrie] [Eau ; de la R.d'hongrie] [Eau ; de la Re d'hongrie] [Eau ; de la Reine d'Hongrie] [Eau ; de la Reyne d'Hongrie] [Eau ; de la Rque d'Hongrie] [Eau ; de la d'hongrie] [Eau ; de la reine d'Hongrie] [Eau ; de la reine d'hongrie] [Eau ; de la reyne d'hongrie] [Eau ; de lar d'hongrie] [Eau ; reine de la Hongrie] [Eau de la Reine d'Hongrie] [Eau de la Reyne d'Hongrie] [Eau de la Reyne d'hongrie] [Eau de la raine d'Ongrie] [Eau de la reine d'Hongrie] [Eau de la reine d'hongrie] [Eau de la reyne d'Hongrie] [Eau de la reyne d'hongrie] [Eau de la reyne d'ongrie] [Eau de reynes d'Hongrie] [eau de la reyne d'hongrie] [Eau ; de la ?] [Eau ; de senteur ; de Re. d'Hongrie] [Eau ; de senteur ; de la Re. d'hongrie] [Eau ; de senteur ; de la Re.d'hongrie] [Eaux de la reine d'hongrie] [Eau de Reyne d'hongrie] [Eau de la Reine d'ongrie] [Eau de la Reine d'hongrie] [Eau de la reine de hongrie],no,
vert-de-gris,[drogue ; pour la peinture et la teinture ; vert de gris],ambiguous,,[Verre;de grin] [Drogues ; Pour la peinture ; Vert de gris] [Drogue ; pour peinture et teinture ; vers ; de gris] [Drogues ; pour la peinture et teinture ; vert ; de gris] [Drogues ; pour peinture et teinture ; verd ; de gris] [Verd ; de gris] [vers gris] [Vert-de-gris] [vert de grin] [Drogues ; pour peinture et teinture ; vert ; de gris] [vers de gris] [Vers de gris] [Vert de gris] [Verd de gris] [vers de grin] [Verdet ou vert-de-gris] [verd degris] [verd ;de grin] [Verdet gris],no,
terre d'ombre,[drogue ; pour la peinture et la teinture ; terre ; d'ombre] [terre ; d'ombre],ambiguous,,[Terre ; d'ombre] [Terre ; dombre] [Terre D'ombre] [Terre d'Ombre] [Terre d'ombre] [Terre dOmbre] [Terre; d'ombre] [terre d'ombre] [Drogues ; pour la peinture et la teinture ; terre ; d'ombre] [Terre; D'ombre] [terre d'orcre] [Terse ; d'ombre],no,
huile d'amande,[drogue ; huile d'amande] [huile ; d'amande],ambiguous,,[Huile ; d'amande] [Huile ; d'amandes] [huile d'amande] [huille d'amande] [Drogues ; melées ; Huile d'ammande] [Huiles; D'amande],no,
storax liquide,[drogue ; médicinale ; storax ; liquide] [storax ; liquide],ambiguous,,[Storax ; liquide] [Storax liquide] [Drogues ; médecinales ; storax ; liquide] [Drogues; Médicinales; Storax liquide],no,
mousse de mer,[drogue ; médicinale ; mousse ; de mer],ambiguous,,[Mousse de mer] [Drogues ; médecinales ; mousse ; de mer],no,
racines,[drogue ; médicinale ; plante ; racine] [drogue ; médicinale ; racine diverse],ambiguous,,[Drogues ; Medecinales en plantes ; Racines diverses] [Drogues ; Médécinales ; Racines diverses] [Racines non dénommées] [Drogues ; pour peinture et teinture ; racine] [Racines ; autres],no,
eau vulnéraire,[drogue ; médicinale ; eau vulnéraire] [eau ;médicinale ; vulnéraire] [eau ; vulnéraire],ambiguous,,[Eau ; vulnenaire] [Eau ; vulneraire] [Eau ; vulneraires] [Eau vulneraire] [Eau vulnéraire] [Eau ; medecinalle ; vulneraire] [Drogues ; Médécinales ; Eau vulneraire],no,
eau de Seltzer,[drogue ; médicinale ; eau de felzer],ambiguous,,[Eau ; de sel] [Drogues ; médicinales ; eau de felzer] [Eau ; de Selzer] [Eau ; de selzer] [Eau ; de Seltz],no,
résines de jalap,[drogue ; médicinale ; résine de jalap] [drogue ; médicinale ; jalap ; résine],ambiguous,,[Raisin de jalap] [Raisine ; de Jalap] [Raisine ; de jalap] [Raisine de jalap] [Raisine de jalop] [Raisine;de Jalap] [Resine de jalop] [Résine ; de jalap] [Drogues ; composées Pour medecine ; Résine de Jalap] [Resme de jalap] [Raisne de Jalap] [Résineux ; Jalap],no,
sel de tamarin,[drogue ; chimique ; sel de tamarin] [sel ; de tamarin],ambiguous,,[Sel ; de tamarin] [Sel de tamarin] [Sel de tamarins] [Sels ; de tamarin] [sel de tamarin] [Drogues ; Chimiques ; Sel de tamarin] [Drogues ; chimiques ; sel ; de tamarin],no,
sel de Glauber,[drogue ; chimique et métallique ; sel ; de Globert] [drogue ; chimique ; sel de Globert],ambiguous,,[Drogues ; chimiques et métalliques ; sel ; de Globert] [Drogues ; Chimiques ; Sel de globerts] [Sel ; de globes] [Sel de Globert] [Sel; de globert] [Sel ; de Globert] [Sel de globert] [Sels de Glauber] [Sel ; de glauber] [Sels ; de globert] [Sel de glober] [Sel ; de glaubert] [Sel ; de globert],no,
