marchandises,marchandises_norm_ortho,mériteplusdetravail,imprimatur,nbr_dans_bdc
0,???,,Pierre Gervais,
?,???,,Pierre Gervais,2
? ; blanc,??? blanc,,Pierre Gervais,2
? ; brun,??? brun,,Pierre Gervais,2
? ; diverses,??? diverses,,Pierre Gervais,4
? et lances/piquets,??? et lancespiquets,,Pierre Gervais,
??,???,,Pierre Gervais,
?? (le douzaine),??? la douzaine,,Pierre Gervais,
???,???,,Pierre Gervais,
??? Ferre en carte,???,,Pierre Gervais,5
.,???,,Pierre Gervais,
...caille de Tortue,écaille de tortue,,Pierre Gervais,6
...copes,écope,,Pierre Gervais,1
...corces de citron,écorce de citron,,Pierre Gervais,
...gouttoir à Fondre,égouttoirs à fondre,,Guillaume Daudin,1
…Licanes,licanias,,Pierre Gervais,
...Licanes,licanias,,Federico D'Onofrio,1
...pars,espars,,Pierre Gervais,6
...pars de Sapin,espars de sapin,,Pierre Gervais,1
...parts,espars,,Pierre Gervais,1
...pée,épée,,Pierre Gervais,
...pées,épée,,Pierre Gervais,
...pées d’argent,épée d’argent,,Pierre Gervais,
...pées pour combat,épée pour combat,,Pierre Gervais,
...perons,éperons,,Pierre Gervais,
...pice,épice,,Pierre Gervais,1
...pice de Curons,épice de Curons,,Pierre Gervais,1
...pice Douce,épice douce,,Pierre Gervais,1
...pices,épice,,Pierre Gervais,
...pingles,épingles,,Pierre Gervais,
...pitaphe,épitaphe,,Pierre Gervais,
...quipement de navire,équipement de navire,,Pierre Gervais,
...tain,étain,,Pierre Gervais,2
...tain en bloc,étain en bloc,,Pierre Gervais,2
...tain Ouvre,étain ouvré,,Pierre Gervais,3
...tain vieux,étain vieux,,Pierre Gervais,2
...tains vieux,étain vieux,,Pierre Gervais,1
...tamine,étamine,,Pierre Gervais,1
...toffes,étoffe,,Pierre Gervais,
...toffes tissées,étoffe tissée,,Pierre Gervais,
...toupe,étoupes,,Pierre Gervais,2
...toupe de lin,étoupes de lin,,Pierre Gervais,
"//////Betes de somme, principalement en mules et mulets",bêtes de somme principalement en mules et mulets,,Pierre Gervais,5
