obsolete,orthographic_pierre,simplification,imprimatur,Suggestion de simplification,status,beforeItems,afterItems
no,licanias,? Licances,Guillaume Daudin,? ; Licances,rewire,[licanias],[...Licanes]
no,???,???,Guillaume Daudin,[???],ambiguous,,[Not a product] [Etc.] [???] [??] [Origine Inconnue] [Non indiqué] [?] [Nom flou] [e?] [??? Ferre en carte]
no,??? blanc,??? blanc,Guillaume Daudin,,new,,
no,??? brun,??? brun,Guillaume Daudin,,new,,
no,??? d'Anjou et de Touraine,??? d'Anjou et de Touraine,Guillaume Daudin,,new,,
no,??? d'une valeur moindre de deux mille francs chacun,??? d'une valeur moindre de deux mille francs chacun,Guillaume Daudin,[marchandise],ambiguous,,"[D'une valeur moindre de 2,000 fr chacun] [D'une valeur moindre de 2,000 fr. chacun] [D'une valeur moindre de 2,000 francs chacun] [D'une valeur moindre de 2 000 chacun] [D'une valeur moindre de 2 000 Fr chacun] [D'une valeur moindre de 2 000 francs chacun] [D'une valeur moindre de 2000 fr chacun] [D'une valeur moindre de 2000 francs chacun]"
no,??? des ci-devant provinces d'Alsace,??? des ci-devant provinces d'Alsace,Guillaume Daudin,,new,,
no,??? des ci-devant provinces de Bourgogne,??? des ci-devant provinces de Bourgogne,Guillaume Daudin,,new,,
no,??? des ci-devant provinces de Provence,??? des ci-devant provinces de Provence,Guillaume Daudin,,new,,
no,??? des ci-devant provinces du Languedoc,??? des ci-devant provinces du Languedoc,Guillaume Daudin,,new,,
no,??? diverses,??? diverses,Guillaume Daudin,,new,,
no,??? douzaines de,??? douzaines de,Guillaume Daudin,douzaine de ?,rewire,,[Douzaines de ?]
no,??? et lancespiquets,??? et lancespiquets,Guillaume Daudin,,new,,
no,??? la douzaine,??? la douzaine,Guillaume Daudin,,new,,
no,??? lin,??? lin,Guillaume Daudin,[lin],ambiguous,,[P.N. lin]
no,tanabare ???,??? Tanabare,Guillaume Daudin,??? Tanabare,rewire,,[Tanabare [?]]
no,??? particulièrement en chevaux,???? particulièrement en cheval,Guillaume Daudin,particulièrement en cheval,rewire,,[Particulièrement en chevaux]
no,abafine,abafine,Guillaume Daudin,,existing,,
no,abassis,abassis,Guillaume Daudin,,new,,
no,abats,abats,Guillaume Daudin,,new,,
no,abattis de morue,abattis de morue,Guillaume Daudin,,new,,
no,abricots confits,abricots confits,Guillaume Daudin,,new,,
no,acacia,acacia,Guillaume Daudin,[ouvrage ; de bois],ambiguous,[Acacia] [acacia] [Agacia] [Accacia],[Acacia] [acacia] [Agacia] [Accacia]
no,acacia germanica,acacia germanica,Guillaume Daudin,acacia ; germanica,rewire,,[Acacia ; germanica]
no,acétates de plomb,acétates de plomb,Guillaume Daudin,,new,,
no,achia,achia,Guillaume Daudin,[akia],ambiguous,[Achia],[Achia] [Akia]
no,achia espèce de salade,achia,Guillaume Daudin,akia ; espèce de salade,rewire,,[Akia ; espèce de salade]
no,acier,acier,Guillaume Daudin,acier,existing,,
no,acier brun,acier brun,Guillaume Daudin,acier ; brun,rewire,,[Acier brun]
no,acier brut,acier brut,Guillaume Daudin,,new,,
no,acier en barres,acier en barre,Guillaume Daudin,acier ; en barre,rewire,,[Acier ; en barres] [Acier en barre]
no,acons,acons,Guillaume Daudin,arçon,rewire,,[Acon]
no,acons démontés,acons démontés,Guillaume Daudin,,new,,
no,acons en gabares démontés,acons démontés en gabare,Guillaume Daudin,arçon démonté ; en gabare,rewire,,[Acons ; en gabares ; démontés]
no,acons gabares démontés,acons démontés en gabare,Guillaume Daudin,,new,,
no,acorus,acorus,Guillaume Daudin,acorus,rewire,[Acore (herbe)] [Acorus] [Accorus],[Acorus] [Accorus]
no,acorus herbes,acorus,Guillaume Daudin,acorus,rewire,,[Acore (herbe)]
no,acuirson,acuirson,Guillaume Daudin,acuirson,existing,,
no,affûts de canons,affûts de canons,Guillaume Daudin,affût de canon,rewire,,[Affût de canon] [Affuts ; de canon] [Affuts de canon] [Affuts de canons]
no,affûts de fusils,affûts de fusils,Guillaume Daudin,affût de fusil,rewire,,[Affuts ; de fusils]
no,affûts de fûts à canons,affûts de fûts à canons,Guillaume Daudin,affût de canon,rewire,,[Afust de fut a canon]
no,agaric,agaric,Guillaume Daudin,drogue ; médicinale ; agaric,rewire,[Agaric brut et préparé] [agarics] [agaric] [Agarie] [Agaric],[agarics] [agaric] [Agarie] [Agaric]
no,agaric brut et préparé,agaric,Guillaume Daudin,drogue ; médicinale ; agaric,rewire,,[Agaric brut et préparé]
no,agaric amadouvier,agaric et amadouvier,Guillaume Daudin,,existing,,
no,agaric amadouvier brut et préparé,agaric et amadouvier,Guillaume Daudin,,new,,
no,agate,agate,Guillaume Daudin,[pierre ; d'agathe],ambiguous,,[Agathe]
no,agate fine,agate fine,Guillaume Daudin,[pierre ; d'agathe],ambiguous,,[agates fins]
no,agate montée,agathe montée,Guillaume Daudin,agathe montée,rewire,,[agats montés]
no,agneaux,agneau,Guillaume Daudin,agneau,rewire,,[Agneaux]
no,bestiaux agneaux,agneau,Guillaume Daudin,bétail ; agneau,rewire,,[Bestiaux; Agneaux] [Bestiaux ; agneaux]
no,agneaux et cabris,agneau et cabri,Guillaume Daudin,bête de somme : agneau et cabri,rewire,,[agneaux et cabrits]
no,bestiaux divers agneaux,agneaux,Guillaume Daudin,,new,,
no,bestiaux en agneaux,agneaux,Guillaume Daudin,bétail ; agneau,rewire,,[Bestiaux en agneaux] [Bestiaux ; en agneaux]
no,bestiaux et bêtes de somme agneaux,agneaux,Guillaume Daudin,,new,,
no,agnelines et crottelins,agnelines et crottelins,Guillaume Daudin,[laine],ambiguous,,[agnelines et crottelins]
no,agoutals,agoutals,Guillaume Daudin,[agoutal],ambiguous,,[Agoutals] [agoutats]
no,agoutals de bois,agoutals de bois,Guillaume Daudin,[agoutal ; de bois],ambiguous,,[agourats de bois] [Agoutals de bois]
no,agrément,agrément,Guillaume Daudin,agrément,existing,,
no,agrément au quart,agrément au quart,Guillaume Daudin,[ouvrage ; d'étain] [agrément ; au quart],ambiguous,,[Agrémens ; auquart] [Agrémens ; au quart] [Agrement ; au quart]
no,agrément d'argent,agrément d'argent,Guillaume Daudin,agrément ; d'argent,rewire,,[Agrémens; d'argent] [Agrément ; d'argent]
no,agrément d'or,agrément d'or,Guillaume Daudin,[ouvrage ; d'étain],ambiguous,,[Agrements ; d'or]
no,agrément or et argent,agrément d'or et d'argent,Guillaume Daudin,agrément ; d'or et d'argent,rewire,,[Agrements ; or et argent] [Agrémens ; or et argent] [Agréments ; or et arg] [Agremens ; or et argent]
no,agrément de fil,agrément de fil,Guillaume Daudin,agrément ; de fil,rewire,,[Agrements ; de fil] [Agrémens; de fil] [Agrément ; de fil] [Agrémens ; de fil] [Agrements de fil]
no,agrément de fleur,agrément de fleur,Guillaume Daudin,agrément ; de fleur,rewire,,[Agrémens ; de fleurs]
no,agrément de soie,agrément de soie,Guillaume Daudin,agrément ; de soie,rewire,,[Agrements ; de soye] [Agréments ; de soye] [Agremens; de soye] [Agrément ; de soye] [Agrémens ; de soye] [Agrement ; de soye] [Agrement de Soye] [Agremens de soye] [Agrements de soye] [Agremens ; de soye] [Agréments de soye]
no,agrément de soie et d'argent,agrément de soie et d'argent,Guillaume Daudin,agrément ; de soie et d'argent,rewire,,[Agremens ; de soye et d'argent]
no,agrément de soie et fil,agrément de soie et fil,Guillaume Daudin,agrément ; de soie et fil,rewire,,[Agremens ; de soye et fil] [Agrêmens soye et fil]
no,agrément de soie or et argent faux,agrément de soie or et argent faux,Guillaume Daudin,agrément ; de soie or et argent ; faux,rewire,,[Agremens ; de soye or et argent faux]
no,agrès,agrès,Guillaume Daudin,agrès,existing,,
no,agrès de navire,agrès de navire,Guillaume Daudin,[agrès ; de navire],ambiguous,,[Agrés ; de navire] [Agrais ; de navires] [Agrès de navires] [Agrès de navire]
no,agrès de vaisseaux,agrès de navire,Guillaume Daudin,,new,,
no,agrès de navire en voile,agrès de navire en voile,Guillaume Daudin,agrès ; de navire ; en voile,rewire,,[Agrès ; de navire ; en voiles]
no,agrès de navire et jeux de voile,agrès de navire et jeux de voile,Guillaume Daudin,,new,,
no,agrès de navire jeux de voile,agrès de navire et jeux de voile,Guillaume Daudin,,new,,
no,agrès et apparaux,agrès et apparaux,Guillaume Daudin,,new,,
no,aigles,aigle,Guillaume Daudin,aigle,rewire,,[aigles]
no,églefin,aiglefin,Guillaume Daudin,aiglefin,rewire,,[Aiglefin]
no,haddocks séchés,aiglefin séché,Guillaume Daudin,aiglefin ; séché,rewire,,[Haddocks séchés]
no,aigre de cidre,aigre de cidre,Guillaume Daudin,aigre ; de cidre,rewire,,[Aigre ; de cidre]
no,aigre de vitriol,aigre de vitriol,Guillaume Daudin,drogue ; aigre ; de vitriol,rewire,,[Aigre de vitriol] [Aigre ; de vitriol]
no,aigrettes,aigrette,Guillaume Daudin,aigrette,rewire,,[Egrettes] [Aigrettes]
no,aigrettes de fil or et argent,aigrette de fil d'or et d'argent,Guillaume Daudin,aigrette ; de fil ; d'or et d'argent,rewire,,[Egrettes de fil or et argent]
no,aigrettes de soie,aigrettes de soie,Guillaume Daudin,,new,,
no,aigrettes de soie et argent,aigrettes de soie et argent,Guillaume Daudin,,new,,
no,aiguières d'étain,aiguières d'étain,Guillaume Daudin,,new,,
no,aiguilles,aiguille,Guillaume Daudin,aiguille,rewire,,[Aiguiles] [aiguilles] [Eguilles] [Aiguille] [Aiguiller] [Aiguilles]
