0a,Nourriture européenne,European foodstuff
0b,Nourriture exotique,Exotic foodstuff
1,Boissons et tabac,Drinks and tobacco
2,"Matières premières non-comestibles, sauf hydrocarbures","Crude materials, inedible, except fuels"
3,Hydrocarbures,Mineral fuels
4,Huiles,Oils
5,Produits chimiques,Chemical products
6,Biens manufacturés classés par composition,
6a,Cuirs et produits dérivés,
6b,Produits du bois,
6c,Papier,
6d,Textiles de lin et de chanvre…,
6e,Textiles de laine et de poil…,
6f,Textiles de soie,
6g,Textiles de coton,
6h,Autres textiles de lin ou coton,
6i,Autres textiles,
6j,Produits métalliques,
6k,Autres biens manufacturés classés par composition,
7,Machines et moyens de transport,
8,Biens manufacturés divers,
9,Monnaies,
