item,group,status,beforeItems,afterItems,obsolete,imprimatur
œuf et volaille,[0a],ambiguous,[Œufs et volailles],[Œufs et volailles],no,
vinaigre,[0a],ambiguous,[Vinaigre] [Vinegre] [vinaigre],[Vinaigre] [Vinegre] [vinaigre] [Boissons ; vinaigre],no,
tortue,[0a],ambiguous,[Tortue] [Tortües] [tortues],[Tortue] [Tortües] [tortues],no,
taureau,[0a] [9],ambiguous,,[Bestiaux ; Taureaux] [Bestiaux ; taureaux] [Bestiaux ; toreaux] [Bestiaux et bêtes ; de somme ; taureaux] [Bestiaux; Taureaux],no,
sucrerie,[0a],ambiguous,,[Sucreries ; Diverses] [Sucrerie] [Sucre ; sucrerie divers] [Sucre ; sucrerie],no,
succade,[0a],ambiguous,[Succade],[Succade],no,
stockfish,[0a],ambiguous,[Slocfiche] [Stocfich] [Stocfiche] [Stocfiches] [Stocfisch] [Stocfish] [Stocfishe] [Stockfisch] [Stockfish] [Stocliche] [Stofiche] [Stokfiche] [Stokfis] [Stokfishe] [Stoquefiche] [stocfiche] [tocfiche],[Slocfiche] [Stocfich] [Stocfiche] [Stocfiches] [Stocfisch] [Stocfish] [Stocfishe] [Stockfisch] [Stockfish] [Stocliche] [Stofiche] [Stokfiche] [Stokfis] [Stokfishe] [Stoquefiche] [stocfiche] [tocfiche] [Stockfiche] [Poisson ; De mer salés ou marinés ; Stocfich],no,
son,[0a],ambiguous,[Son] [Sor] [son],[Son] [Sor] [son],no,
semoule,[0a],ambiguous,[Semoule] [Semoulle],[Semoule] [Semoulle],no,
saumon,[0a],ambiguous,[Saumon] [Saumons] [saumon],[Saumon] [Saumons] [saumon] [Poissons ; saumon] [Poisson ; saumon] [Poissons; Saumon],no,
saucisson,[0a],ambiguous,[Saucisson] [Saucissons] [saucisson] [saucissons],[Saucisson] [Saucissons] [saucisson] [saucissons],no,
saucisse,[0a],ambiguous,[Saucisses] [Saussisses],[Saucisses] [Saussisses],no,
sardine,[0a],ambiguous,[Sardine] [Sardines] [Sardinne] [sardines],[Sardine] [Sardines] [Sardinne] [sardines] [Sardinnes],no,
salsepareille,[0a] [2],ambiguous,[Salespareilles] [Salpareille] [Salse pareille] [Salsepaille] [Salsepareille] [Salspareille] [Solsepareille] [salsepareille],[Salespareilles] [Salpareille] [Salse pareille] [Salsepaille] [Salsepareille] [Salspareille] [Solsepareille] [salsepareille] [Drogues ; Medecinales en plantes ; Salsepareille] [Drogues ; Médecinales en plantes ; Salsepareille] [///Drogues Médicinales///Salsepareille] [///Drogues midicinales///Salsepareille] [///Drogues médicinales///Salsepareille] [Drogueries ; médécinales ; salsepareille] [Drogues ; Médécinales ; Salsepareille] [Drogues ; médecinales ; salsepareille] [Drogues ; médécinales ; Salsepareille] [Drogues ; médécinales ; salsepareille] [Drogueries ; médecinales ; salsepareille] [Drogues; Médicinales; Salsepareille] [Drogues ; médicinales ; salsepareille] [Drogues ; medicinales ; salsepareille] [Salesepareille] [Drogueries médicinales salsepareille],no,
