"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","value","quantit","quantity_unit"
1,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1725,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 597 016,,
2,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1726,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 658 778,,
3,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1727,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 555 266,,
4,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1728,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 193 970,,
5,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1729,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 541 936,,
6,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1730,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 641 277,,
7,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1731,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 714 703,,
8,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1732,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 257 079,,
9,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1733,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 025 146,,
10,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1734,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 016 716,,
11,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1735,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 309 615,,
12,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1736,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 802 287,,
13,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1737,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 244 935,,
14,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1738,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 860 998,,
15,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1739,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 264 454,,
16,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1740,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",4 225 282,,
17,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1741,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 665 668,,
18,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1742,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 975 530,,
19,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1743,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 291 546,,
20,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1744,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 400 954,,
21,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1745,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",1 692 390,,
22,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1746,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 297 592,,
23,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1747,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 703 511,,
24,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1748,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",2 938 592,,
25,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1749,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",3 054 030,,
26,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1750,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",4 025 988,,
27,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1751,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",5 458 387,,
28,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Exports.csv","Tableau Général",1752,"Exports",498,"Marchandises hors espèces","Commerce de la Compagnie des Indes",6 618 484,,
