numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Acier,Espagne,8780,,,,,,20591,,,,,,,,,,,
1,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Allemagne,210012,,,,,,458965,,,,,,,,,,,
2,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Acier,Italie,2910,,,,,,20591,,,,,,,,,,,
2,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Danemark,34358,,,,,,458965,,,,,,,,,,,
3,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Acier,Levant,1715,,,,,,20591,,,,,,,,,,,
3,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Flandre,1209,,,,,,458965,,,,,,,,,,,
4,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Acier,Isles,7186,,,,,,20591,,,,,,,,,,,
4,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Hollande,10012,,,,,,458965,,,,,,,,,,,
5,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Acons demontés,Isles,2400,,,,,,2400,,,,,,,,,,,
5,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Italie,1884,,,,,,458965,,,,,,,,,,,
6,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Agneaux,Allemagne,1350,,,,,,2640,,,,,,,,,,,
6,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Naples,1750,,,,,,458965,,,,,,,,,,,
7,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Agneaux,Savoye,1290,,,,,,2640,,,,,,,,,,,
7,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Genes,2940,,,,,,458965,,,,,,,,,,,
8,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Agrémens ; de soye,Isles,,,,,,,4080,,,,,,,,,,,
8,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Nord,17851,,,,,,458965,,,,,,,,,,,
9,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Aiguilles,Allemagne,,,,,,,2250,,,,,,,,,,,
9,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Suède,84942,,,,,,458965,,,,,,,,,,,
10,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Ajustement,Allemagne,,,,,,,13606,,,,,,,,,,,
10,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Acier,Suisse,3907,,,,,,458965,,,,,,,,,,,
11,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alembics,Isles,,,,,,,39047,,,,,,,,,,,
11,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Aigre ; de vitriol,Flandre,,,,,,,3250,,,,,,,,,,,
12,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alun,Danemark,4860,,,,,,49254,,,,,,,,,,,
12,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Aiguilles,Allemagne,314205,,,,,,342955,,,,,,,,,,,
13,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alun,Espagne,5033,,,,,,49254,,,,,,,,,,,
13,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Aiguilles,Flandre,24410,,,,,,342955,,,,,,,,,,,
14,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alun,Italie,3492,,,,,,49254,,,,,,,,,,,
14,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Aiguilles,Hollande,4340,,,,,,342955,,,,,,,,,,,
15,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alun,Naples,1962,,,,,,49254,,,,,,,,,,,
15,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Ails,Espagne,6683,,,,,,8078,,,,,,,,,,,
16,Annick Davis,IIHS-122A,Objet Général,1767,Exports,,,3,Alun,Genes,2618,,,,,,49254,,,,,,,,,,,
16,Annick Davis,IIHS-122A,Objet Général,1767,Imports,,,3,Ails,Genes,1395,,,,,,8078,,,,,,,,,,,
