numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,56,Beurre,,8172,9615,Étranger,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Bois divers,,731,,,,,,,,,,Pas de quantité indiquée,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Bois de pin en planches,,630,1800,Guyenne,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Bois d'ozier,,888,3562,Béarn,,paquets,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Bray gras,,1648,206,Guyenne,,barils,3408,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,56,Bray gras,,1760,220,Guyenne,,barils,3408,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Bray sec,,2907,64600,Guyenne,,livres,4707,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,56,Bray sec,,1800,40000,Guyenne,,livres,4707,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Bray goudron,,316,74,Guyenne,,barils,496,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,56,Bray goudron,,180,20,Guyenne,,barils,496,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Chair salée bœuf,,6510,18640,Pays des Basques,,livres,8610,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,56,Chair salée bœuf,,2100,6000,Pays des Basques,,livres,8610,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,56,Chair salée bœuf,,6366,18190,Étranger,,livres,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,56,Chair salée jambon,,27946,42994,Béarn,,livres,47513,,,,,,0
