numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,value,quantit,total,quantity_unit,prix_unitaire
1,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,285,Acétates ; de plomb,184110,108300,184110,Kilo,1.7
2,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,125,Aloès,2521,1146,2521,Kilo,2.2
3,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,121,Baume ; Benjoin,5991,1997,5991,Kilo,3
4,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,123,Baume ; Copahu,12078,6039,12078,Kilo,2
5,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,123,Baume ; Storax liquide,1424,963,1424,Kilo,1.48
6,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,125,Camphre ; raffiné,17927,2109,17927,Kilo,8.5
7,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,57,Cantharides,36900,3690,36900,Kilo,10
8,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,59,Cornes de cerf et de snack ; en morceaux,415,593,415,Kilo,0.7
9,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,59,Cornes de cerf et de snack ; en râpures,1286,1837,1286,Kilo,0.7
10,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,145,Ecorces ; autres,3956,4945,3956,Kilo,0.8
11,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,145,Ecorces ; de Quinquina,1609288,201161,1609288,Kilo,8
12,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",13700,27400,13700,Kilo,0.5
13,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,59,Eponges ; communes,93222,15537,93222,Kilo,6
14,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,59,Eponges ; fines,55140,2757,55140,Kilo,20
15,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,147,Feuilles ; d'Oranger,451,451,451,Kilo,1
16,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,147,Feuilles ; de Séné,71046,20299,71046,Kilo,3.5
17,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,149,Feuilles non dénommées,21085,21085,21085,Kilo,1
18,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,149,Fleurs de Lavande et d'Oranger,69694,34847,69694,Kilo,2
19,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,151,Fleurs non dénommées,27304,27304,27304,Kilo,1
20,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,155,Fruits ; Autres,85508,85508,85508,Kilo,1
21,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,594,297,594,Kilo,2
22,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,153,Fruits ; Barbotine,172,574,172,Kilo,0.3
23,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,151,Fruits ; Casse sans apprêt,85408,56939,85408,Kilo,1.5
24,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,155,Fruits ; Follicules de séné,10368,3703,10368,Kilo,2.8
25,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,153,Fruits ; Graine de moutarde,14069,28138,14069,Kilo,0.5
26,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,153,Fruits ; Tamarins en gousses,6943,15428,6943,Kilo,0.45
27,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,147,Herbes,1769,3537,1769,Kilo,0.5
28,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,137,Ipécacuana,28145,2165,28145,Kilo,13
29,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,129,Jus de réglisse,195591,195591,195591,Kilo,1
30,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,155,Lichens médicinaux,1216,4053,1216,Kilo,0.3
31,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,127,Manne,48391,26884,48391,Kilo,1.8
32,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,315,Médicaments composés ; Autres,1190410,119041,1190410,Kilo,10
33,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,315,Médicaments composés ; Eaux distillées,148770,29754,148770,Kilo,5
34,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,125,Opium,225952,7061,225952,Kilo,32
35,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,141,Racines ; Iris de Florence,9378,5210,9378,Kilo,1.8
36,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,139,Racines ; Jalap,20122,6288,20122,Kilo,3.2
37,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,139,Racines ; Rhubarbe,50015,10003,50015,Kilo,5
38,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,141,Racines ; Réglisse,89412,198693,89412,Kilo,0.45
39,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,143,Racines non dénommées,197520,65843,197520,Kilo,3
40,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,121,Résineux exotiques ; Scammonée,17480,437,17480,Kilo,40
41,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,137,Salsepareille,70773,23591,70773,Kilo,3
42,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,57,Sangsues,5908,196950,5908,pièce,0.03
43,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,271,Sels ammoniacaux,9480,1934,9480,Kilo,4.9017580145
44,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,275,"Sels, sulfates ; de magnésie",9345,10620,9345,Kilo,0.88
45,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,273,"Sels, sulfates ; de soude",83847,279489,83847,Kilo,0.3
46,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,117,Térébenthine ; compacte,61849,309248,61849,Kilo,0.2
47,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,119,Térébenthine ; essence,648168,925955,648168,Kilo,0.7
48,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1827,Exports,119,Térébenthine ; liquide,451,3004,451,Kilo,0.15
49,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,285,Acétates ; de plomb,126637,74492,126637,Kilo,1.7
50,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,125,Aloès,4376,1989,4376,Kilo,2.2
51,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,121,Baume ; Benjoin,15738,5246,15738,Kilo,3
52,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,123,Baume ; Copahu,17974,8987,17974,Kilo,2
53,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,123,Baume ; Storax liquide,2089,1440,2089,Kilo,1.45
54,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,125,Camphre ; raffiné,25934,3051,25934,Kilo,8.5
55,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,57,Cantharides,28170,2817,28170,Kilo,10
56,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,59,Cornes de cerf et de snack ; en morceaux,237,339,237,Kilo,0.7
57,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,59,Cornes de cerf et de snack ; en râpures,3874,5534,3874,Kilo,0.7
58,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,145,Ecorces ; autres,1411,1764,1411,Kilo,0.8
59,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,145,Ecorces ; de Quinquina,977352,122169,977352,Kilo,8
60,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,143,"Ecorces de citron, d'orange, et de leurs variétés",9403,18806,9403,Kilo,0.5
61,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,59,Eponges ; communes,64992,10832,64992,Kilo,6
62,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,59,Eponges ; fines,37400,1870,37400,Kilo,20
63,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,147,Feuilles ; d'Oranger,1040,1040,1040,Kilo,1
64,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,147,Feuilles ; de Séné,67445,19270,67445,Kilo,3.5
65,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,149,Feuilles non dénommées,18020,18020,18020,Kilo,1
66,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,149,Fleurs de Lavande et d'Oranger,34276,17138,34276,Kilo,2
67,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,151,Fleurs non dénommées,13371,13371,13371,Kilo,1
68,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,155,Fruits ; Autres,76325,76325,76325,Kilo,1
69,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,153,Fruits ; Badiane ou Anis étoilé de la Chine,976,488,976,Kilo,2
70,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,153,Fruits ; Barbotine,439,1462,439,Kilo,0.3
71,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,151,Fruits ; Casse sans apprêt,100856,67237,100856,Kilo,1.5
72,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,155,Fruits ; Follicules de séné,5807,2074,5807,Kilo,2.8
73,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,153,Fruits ; Graine de moutarde,12445,24890,12445,Kilo,0.5
74,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,153,Fruits ; Tamarins en gousses,2784,6186,2784,Kilo,0.45
75,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,147,Herbes,1717,3433,1717,Kilo,0.5
76,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,137,Ipécacuana,13494,1038,13494,Kilo,13
77,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,129,Jus de réglisse,218049,218049,218049,Kilo,1
78,Pierre Holegien,Tableau décennal,Out/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Out,1828,Exports,155,Lichens médicinaux,1333,4444,1333,Kilo,0.3
