numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,amandes,Rennes,pour l'Angleterre,"36,00",balles,"50,00000",0,-1800,
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,amandes,Rennes,pour l'Angleterre,"30,00",sacs,"24,00000",0,-720,
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,amandes,Rennes,pour l'Angleterre,"25 000,00",livres,"0,35000",0,-8750,À 30 L % ou 40 L
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,amidon,Rennes,pour l'Angleterre,"3 850,00",livres,"0,20000",0,-770,
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,beure,Rennes,pour l'Angleterre,"3 350,00",livres,"0,40000",0,-1340,
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,bois d'acajou ,Rennes,pour l'Angleterre,"24,00",pieds,"0,00000",0,0,15 L le madrier
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,bonnets de laine,Rennes,pour l'Angleterre,"12,00",en nombre,"1,50000",0,-18,
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,bray,Rennes,pour l'Angleterre,"2,00",barils,"22,00000",0,-44,
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,caffé des Isles,Rennes,pour l'Angleterre,"3 352,00",livres,"18,00000",0,-60336,
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,chaises de paille,Rennes,pour l'Angleterre,"408,00",en nombre,"1,00000",0,-408,
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,chandelle,Rennes,pour l'Angleterre,"5 248,00",livres,"0,40000",0,"-2099,2",
12,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,cidre,Rennes,pour l'Angleterre,"133,00",bariques,"20,00000",0,-2660,
13,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1754.csv,Local,Exports,1,1754,cuirs de boeuf corroyés,Rennes,pour l'Angleterre,"45,00",en nombre,"26,00000",0,-1170,
