numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,amandes,Rennes,pour l'Angleterre,"44,00",balles,"40,00000",0,-1760,
2,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,beurre,Rennes,pour l'Angleterre,"7 222,00",livres,"0,50000",0,-3611,
3,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,caffé,Rennes,pour l'Angleterre,"19 286,00",livres,"0,55000",0,"-10607,3",
4,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,chaises de paille,Rennes,pour l'Angleterre,"722,00",en nombre,"1,00000",0,-722,
5,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,chandelle,Rennes,pour l'Angleterre,"4 469,00",livres,"0,55000",0,"-2457,95",
6,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,cidre,Rennes,pour l'Angleterre,"37,00",bariques,"24,00000",0,-888,
7,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,cuirs de boeuf tanés,Rennes,pour l'Angleterre,"12 142,00",en nombre,"36,00000",0,-437112,
8,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,eau de vie,Rennes,pour l'Angleterre,"1 307,00",veltes,"5,50000",0,"-7188,5",
9,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,fer ouvré,Rennes,pour l'Angleterre,"2 300,00",livres,"0,25000",0,-575,
10,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Sorties – 1773.csv,Local,Exports,1,1773,filain,Rennes,pour l'Angleterre,"1 050,00",livres,"0,80000",0,-840,
