numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,boeuf salé,Rennes,d'Angleterre,1221,barils,30,0,-36630,
2,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,beurre,Rennes,d'Angleterre,650,fréquins,24,0,-15600,
3,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,bois de campêche,Rennes,d'Angleterre,2000,livres,"0,096",0,-192,
4,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,charbon de terre,Rennes,d'Angleterre,"443,5",tonneaux,30,0,-13305,
5,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,laine en toison,Rennes,d'Angleterre,2700,livres,"1,75",0,-4725,
6,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,lard,Rennes,d'Angleterre,685,barils,35,0,-23975,
7,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,plomb en saumon,Rennes,d'Angleterre,2132,en nombre,7,0,-14924,
8,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,plomb en saumon,Rennes,d'Angleterre,15421,livres,"0,25",0,"-3855,25",
9,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,poil de boeuf,Rennes,d'Angleterre,13110,livres,"0,05",0,"-655,5",
10,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,riz,Rennes,d'Angleterre,3850,livres,"0,25",0,"-962,5",
11,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,tabac en feuilles,Rennes,d'Angleterre,3797314,livres,"0,3",0,"-1139194,2",
12,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,avirons,Rennes,de Danemark,72,en nombre,"1,25",0,-90,
13,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,bois anspect,Rennes,de Danemark,84,en nombre,"0,2",0,"-16,8",
14,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,bray et gaudron,Rennes,de Danemark,187,barils,17,0,-3179,
15,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,fer en barres,Rennes,de Danemark,7729,livres,"0,175",0,"-1352,58",
16,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,1,1773,planches de bois 10 à 15 pieds,Rennes,de Danemark,29623,en nombre,"1,25",0,"-37028,75",
17,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,planches de 9 à 10 pieds,Rennes,de Danemark,1546,en nombre,1,0,-1546,
18,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,planches de 7 pieds,Rennes,de Danemark,3936,en nombre,"0,5",0,-1968,
19,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,rogue de stocfiche,Rennes,de Danemark,1732,barils,35,0,-60620,
20,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,solives,Rennes,de Danemark,564,en nombre,20,0,-11280,
21,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,alpiste,Rennes,d'Espagne,325,livres,"0,2",0,-65,
22,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,argent,Rennes,d'Espagne,120000,livres,114,0,-13680000,
23,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,avirons,Rennes,d'Espagne,902,traques,6,0,-5412,
24,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,chemises,Rennes,d'Espagne,5,douzaines,120,0,-600,
25,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,citrons et oranges,Rennes,d'Espagne,9,caisses,10,0,-90,
26,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,citrons et oranges,Rennes,d'Espagne,74,milliers,10,0,-740,
27,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,drogueries,Rennes,d'Espagne,331,livres,2,0,-662,
28,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,eau de vie,Rennes,d'Espagne,115,bariques,150,0,-17250,
29,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1773.csv,Local,Imports,2,1773,eau de vie,Rennes,d'Espagne,115,pipes,300,0,-34500,
