numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,boeuf salé,Rennes,d'Angleterre,"13 144,00",livres,"0,20000",0,"-2628,8",
2,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,bled froment,Rennes,d'Angleterre,"230,00",boisseaux,"1,25000",0,"-287,5",
3,Cyril CANET,AD44_C 718,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,bois de campêche,Rennes,d'Angleterre,"43 100,00",livres,"0,08750",0,"-3771,25",
4,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,charbon de terre,Rennes,d'Angleterre,"732,00",tonneaux,"30,00000",0,-21960,
5,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,charbon de terre,Rennes,d'Angleterre,"202,00",chaldon,"180,00000",0,-36360,
6,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,charbon de terre,Rennes,d'Angleterre,"180,00",barriques,"7,50000",0,-1350,
7,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,farine,Rennes,d'Angleterre,"1 000,00",livres,"0,13750",0,"-137,5",
8,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,laine non filée,Rennes,d'Angleterre,"377 670,00",livres,"1,75000",0,"-660922,5",
9,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,plomb en saumon,Rennes,d'Angleterre,"112,00",en nombre,"25,00000",0,-2800,
10,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,plomb en saumon,Rennes,d'Angleterre,"5 488,00",livres,"0,25000",0,-1372,
11,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,poil de boeuf,Rennes,d'Angleterre,"13 130,00",livres,"0,05000",0,"-656,5",
12,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,1,1768,tabac,Rennes,d'Angleterre,"2 041 670,00",livres,"0,25000",0,"-510417,5",
13,Cyril CANET,AD44_C 717,Local/Rennes/Rennes – Entrées – 1768.csv,Local,Imports,2,1768,Beurre,Rennes,de Danemark,"500,00",frequins,"16,00000",0,-8000,
