numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de soye,Rennes,pour le Danemark,"4,00",paires,"12,00000",0,-48,
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,beure,Rennes,pour le Danemark,"9 844,00",livres,"0,35000",0,"-3445,4",
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,cotonade,Rennes,pour le Danemark,"30,00",aunes,"2,00000",0,-60,
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,taffia,Rennes,pour le Danemark,"30,00",veltes,"2,00000",0,-60,
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,toile de Leon,Rennes,pour le Danemark,"1 150,00",aunes,"1,25000",0,"-1437,5",
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,vin,Rennes,pour le Danemark,"1,00",barique,"70,00000",0,-70,
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de coton,Rennes,pour l'Espagne,"146,00",paires,"3,00000",0,-438,
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de fil,Rennes,pour l'Espagne,"351,00",paires,"2,00000",0,-702,
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de laine,Rennes,pour l'Espagne,"109,00",paires,"3,00000",0,-327,
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,1,1761,bas de soye,Rennes,pour l'Espagne,"18,00",paires,"12,00000",0,-216,
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,Bazin ; pièce de 40 aunes,Rennes,pour l'Espagne,"128,00",pièces,"2,00000",0,-256,
12,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,beure,Rennes,pour l'Espagne,"13 249,00",livres,"0,35000",0,"-4637,15",
13,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,bois d'acajou,Rennes,pour l'Espagne,"72,00",pieds,"1,00000",0,-72,
14,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,bougran,Rennes,pour l'Espagne,"10,00",pièces,"12,00000",0,-120,
15,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chandelle,Rennes,pour l'Espagne,"6 031,00",livres,"0,40000",0,"-2412,4",
16,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,callemande,Rennes,pour l'Espagne,"310,00",aunes,"2,00000",0,-620,
17,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux brodés d'or,Rennes,pour l'Espagne,"12,00",en nombre,"36,00000",0,-432,
18,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux castor,Rennes,pour l'Espagne,"1 068,00",en nombre,"16,00000",0,-17088,
19,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux mi castor,Rennes,pour l'Espagne,"65,00",en nombre,"9,00000",0,-585,
20,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux de femme,Rennes,pour l'Espagne,"6,00",en nombre,"3,00000",0,-18,
21,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1761.csv,Local,Exports,2,1761,chapeaux fins,Rennes,pour l'Espagne,"260,00",en nombre,"16,00000",0,-4160,
