numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,boeuf salé,Rennes,d'Angleterre,"600,00",tonnes,"0,00000",0,0,"""à 45L le tiercon"""
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,boeuf salé,Rennes,d'Angleterre,"1 248,00",barils,"30,00000",0,-37440,prix incertain
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,boeuf salé,Rennes,d'Angleterre,"117 994,00",livres,"0,25000",0,"-29498,5",
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,beure,Rennes,d'Angleterre,"200,00",ferquins,"24,00000",0,-4800,
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,beure,Rennes,d'Angleterre,"206 575,00",livres,"0,30000",0,"-61972,5",
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,chandelle,Rennes,d'Angleterre,"1 490,00",livres,"0,40000",0,-596,
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,charbon de terre,Rennes,d'Angleterre,"230,50",tonneaux,"40,00000",0,-9220,
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,charbon de terre,Rennes,d'Angleterre,"6 182,50",barils,"6,00000",0,-37095,
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,charbon de terre,Rennes,d'Angleterre,"1 560,00",juttes,"10,00000",0,-15600,
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,cheval,Rennes,d'Angleterre,"1,00",en nombre,"400,00000",0,-400,
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1754.csv,Local,Imports,1,1754,cire jaune,Rennes,d'Angleterre,"67,00",livres,"1,62500",0,"-108,88","""à 30 S à 35 S"""
