numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Amidon,Dannemark,"30,00",livre,"0,2000000","6,00","0,00",
2,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Bazin,Dannemark,"1,00",pièce,"30,0000000","30,00","0,00",
3,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Chataigne,Dannemark,"24,00",boisseaux,"0,5000000","12,00","0,00",
4,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Coutis,Dannemark,"24,00",aunes,"3,0000000","72,00","0,00",
5,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Couvertures de laine,Dannemark,"4,00",en nombre,"12,0000000","48,00","0,00",
6,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Drogues de soye,Dannemark,"4,50",aunes,"10,0000000","45,00","0,00",
7,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Graine,Dannemark,"429,00",livres,"0,5000000","214,00","-0,50",
8,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Guildive,Dannemark,"8 215,00",veltes,"4,0000000","32860,00","0,00",doute sur la marchandise
9,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Linge de table,Dannemark,,,"0,0000000","100,00","100,00",
10,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Miel,Dannemark,"3 075,00",livres,"0,1000000","307,00","-0,50",
11,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Marchandises melées,Dannemark,,,"0,0000000","1935,00","1 935,00",
12,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Mousseline,Dannemark,"30,00",aunes,"10,0000000","300,00","0,00",
13,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Papier batard fin,Dannemark,"85,00",rames,"6,0000000","510,00","0,00",
14,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,1,Savon,Dannemark,"325,00",livres,"0,4500000","146,00","-0,25",
15,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Sel,Dannemark,"5,50",tonneaux,"20,0000000","110,00","0,00",
16,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Souliers d'enfants,Dannemark,"18,00",paires,"1,2000000","22,00","0,40",
17,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Souliers de femmes,Dannemark,"58,00",paires,"2,5000000","145,00","0,00",
18,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Souliers d'hommes,Dannemark,"87,00",paires,"3,0000000","261,00","0,00",
19,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Thé,Dannemark,"5 244,00",livres,"4,0000000","20976,00","0,00",
20,Pascal Fontaine,AD44 C706,Local/Rennes/Rennes - Sorties.csv,Local,1747,Exports,Rennes,2,Toile anglaise,Dannemark,"28,00",aunes,"1,0000000","28,00","0,00",
