numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,acier,Rennes,pour l'Angleterre,"3,00",barils,"25,00000",0,-75,
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,ains à pescher,Rennes,pour l'Angleterre,"2 300,00",en nombre,"0,06000",0,-138,6L le %
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,amandes,Rennes,pour l'Angleterre,"2,00",emines,"0,00000",0,0,pas d'indication de prix
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,amandes,Rennes,pour l'Angleterre,"204,00",milliers,"2,00000",0,-408,2L %%
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,amidon,Rennes,pour l'Angleterre,"2 042,00",livres,"4,50000",0,-9189,
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,arbres nains,Rennes,pour l'Angleterre,"139,00",en nombre,"0,35000",0,"-48,65",
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,balais,Rennes,pour l'Angleterre,"24,00",douzaines,"0,90000",0,"-21,6",
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,boeuf salé,Rennes,pour l'Angleterre,"2,00",barils,"25,00000",0,-50,
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,boeuf salé,Rennes,pour l'Angleterre,"4,00",tiercons,"36,00000",0,-144,
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,beure,Rennes,pour l'Angleterre,"8 610,00",livres,"0,40000",0,-3444,40L %
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,bleu,Rennes,pour l'Angleterre,"380,00",en nombre,"1,75000",0,-665,
12,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,bloc de bois de l'Amérique,Rennes,pour l'Angleterre,,,"0,00000",600,600,valeur de 600 L  cy
13,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,bois d'acajou,Rennes,pour l'Angleterre,"78,00",pieds cubes,"3,00000",0,-234,
14,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,bonnets de laine,Rennes,pour l'Angleterre,"24,00",en nombre,"2,50000",0,-60,
15,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,bray gras,Rennes,pour l'Angleterre,"21,00",barils,"23,00000",0,-483,
16,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,bray gras,Rennes,pour l'Angleterre,"150,00",livres,"10,00000",0,-1500,
17,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,brosses,Rennes,pour l'Angleterre,"3,00",douzaines,"3,00000",0,-9,
18,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,caffé,Rennes,pour l'Angleterre,"2 695,00",livres,"0,80000",0,-2156,
19,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,1,1749,chaises de paille,Rennes,pour l'Angleterre,"578,00",en nombre,"1,25000",0,"-722,5",
20,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,chandelle,Rennes,pour l'Angleterre,"572,00",livres,"0,40000",0,"-228,8",40L L%
21,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,chapeaux de paille,Rennes,pour l'Angleterre,"209,00",douzaines,"12,00000",0,-2508,
22,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,chataignes,Rennes,pour l'Angleterre,"2,00",boisseaux,"0,50000",0,-1,
23,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,chataignes,Rennes,pour l'Angleterre,"544,00",milliers,"0,40000",0,"-217,6",8 S le %%
24,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,cheveux,Rennes,pour l'Angleterre,"20,00",livres,"10,00000",0,-200,
25,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,chocolat,Rennes,pour l'Angleterre,"52,00",livres,"1,50000",0,-78,
26,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,cidre,Rennes,pour l'Angleterre,"117,00",barriques,"10,00000",0,-1170,
27,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,col à femme,Rennes,pour l'Angleterre,"13,00",douzaines,"2,00000",0,-26,
28,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,cordages vieux,Rennes,pour l'Angleterre,"2 150,00",livres,"0,10000",0,-215,10 L %
29,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1749.csv,Local,Exports,2,1749,cottonade,Rennes,pour l'Angleterre,"4,00",coupons,"0,00000",0,0,pas d'indication de prix
