source,sourcepath,sourcetype,year,exportsimports,direction,marchandises,pays,quantity_unit,prix_unitaire,probleme,remarks,quantit,value
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Angleterre,Livres,,,,9360,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Hollande,Livres,,,,19424,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Hollande,Livres,"0,2",0,,4000,800
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Hollande,Livres,"0,3",0,,8700,2610
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Nord,Livres,,,,89000,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Afut de canon,Angleterre,Nombres,,,,18,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Alpiste,Espagne,Livres,,,,56,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Alun,Hollande,Livres,,,,1000,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,3039,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes,Espagne,Livres,,,,48,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes cassées,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,2243,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes cassées,Espagne,Livres,,,,60,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes douces,Espagne,Livres,,,,3900,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amidon,Angleterre,Livres,,,,3100,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amidon,Hollande,Livres,,,,35647,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amidon,Nord,Livres,,,,1418,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anchois,Espagne,Barils,,,,4,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anchois,Espagne,Livres,,,,600,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anchois,Italie,Barils,,,,2,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ancre de fer,Angleterre,Livres,,,,8700,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ancre de fer,Hollande,Livres,,,,60961,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ancres de fer,Espagne,Livres,,,,11061,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anis,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,100,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anspects,Nord,Douzaines,,,,98,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anspects,Nord,Livres,,,,2500,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anspects,Nord,Nombres,,,,500,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,"Arbre, orangers",Portugal,Nombres,,,,6,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Arbres fruitiers,Italie,Caisses,,,,1,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Arbres orangers,Italie,Nombres,,,,60,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ardoises,Hollande,Douzaines,,,,2,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Argent vif,Hollande,Livres,,,,50,0
AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Armoire de bois,Angleterre,Nombres,,,,1,0
