numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,eau de vie,Rennes,pour l'Angleterre,"374,00",veltes,"0,50000",0,-187,
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,gans communs,Rennes,pour l'Angleterre,"6,00",douzaines,"0,00000",0,0,
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,guildive,Rennes,pour l'Angleterre,"598,00",veltes,"2,00000",0,-1196,
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,taffia,Rennes,pour l'Angleterre,"53,00",veltes,"2,00000",0,-106,
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,thé,Rennes,pour l'Angleterre,"14 287,00",livres,"2,25000",0,"-32145,75",
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,vin rouge,Rennes,pour l'Angleterre,"1,00",barique,"100,00000",0,-100,
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,caffé des Isles,Rennes,pour le Danemark,"392,00",livres,"0,75000",0,-294,
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,bas de fil,Rennes,pour l'Espagne,"116,00",douzaines,"30,00000",0,-3480,
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,1,1758,bas de soye,Rennes,pour l'Espagne,"18,00",douzaines,"100,00000",0,-1800,
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,boeuf salé,Rennes,pour l'Espagne,"10,00",barils,"35,00000",0,-350,
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,boeuf salé,Rennes,pour l'Espagne,"10,00",tiercons,"50,00000",0,-500,
12,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,boeuf salé,Rennes,pour l'Espagne,"100,00",quarts,"35,00000",0,-3500,
13,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,bois d'acajou,Rennes,pour l'Espagne,,,"0,00000",7677,7677,valeur de 7677 L
14,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,bonnets de laine,Rennes,pour l'Espagne,"5,00",douzaines,"30,00000",0,-150,
15,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,bougie,Rennes,pour l'Espagne,"225,00",livres,"2,25000",0,"-506,25",
16,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,callemande des prises,Rennes,pour l'Espagne,"248,00",aunes,"2,50000",0,-620,
17,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,chandelle,Rennes,pour l'Espagne,"22 048,00",livres,"0,45000",0,"-9921,6",
18,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,chapeaux castor,Rennes,pour l'Espagne,"28,00",douzaines,"156,00000",0,-4368,
19,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,chaussettes de fil,Rennes,pour l'Espagne,"38,00",douzaines,"24,00000",0,-912,
20,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Sorties – 1758.csv,Local,Exports,2,1758,chemises de toile bretonne,Rennes,pour l'Espagne,"106,00",en nombre,"4,50000",0,-477,
