numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,Boeuf salé,Rennes,d'Angleterre,118800,livres,"0,25",0,-29700,
2,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,beurre,Rennes,d'Angleterre,3000,livres,"0,3",0,-900,
3,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,canon de fer,Rennes,d'Angleterre,6,en nombre,300,0,-1800,
4,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,charbon de terre,Rennes,d'Angleterre,808,jattes,10,0,-8080,
5,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,charbon de terre,Rennes,d'Angleterre,5,tonneaux,40,0,-200,
6,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,charbon de terre,Rennes,d'Angleterre,2852,bariques,10,0,-28520,
7,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,etain en saumon,Rennes,d'Angleterre,20400,livres,"0,75",0,-15300,
8,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,plocq,Rennes,d'Angleterre,3950,livres,"0,25",0,"-987,5",
9,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,plomb en saumon,Rennes,d'Angleterre,33115,livres,"0,25",0,"-8278,75",
10,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,sardines salées,Rennes,d'Angleterre,600,barils,40,0,-24000,
11,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,tabac,Rennes,d'Angleterre,1,caisse,20,0,-20,
12,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,tabac,Rennes,d'Angleterre,879,boucauds,120,0,-105480,
13,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,tabac,Rennes,d'Angleterre,219920,livres,"0,25",0,-54980,
14,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,Boeuf salé,Rennes,De Danemark,26000,livres,"0,25",0,-6500,
15,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,1,1756,bois merrain,Rennes,De Danemark,2000,en nombre,"0,22",0,-440,à 22L le %
16,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,2,1756,charbon de terre,Rennes,De Danemark,250,bariques,10,0,-2500,
17,Cyril CANET,AD44_C 716,Local/Rennes/Rennes – Entrées – 1756.csv,Local,Imports,2,1756,esparts,Rennes,De Danemark,48,en nombre,2,0,-96,
