numrodeligne,source,sourcepath,sourcetype,exportsimports,year,marchandises,direction,pays,quantity_unit,prix_unitaire,probleme,remarks,doubleaccounts,quantit,value
1,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Amandes,Rennes,Angleterre,Livres,0,0,,,766,0
2,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Amandes en coques,Rennes,Angleterre,Livres,0,0,,,300,0
3,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Anchois,Rennes,Angleterre,Barils,0,0,,,2,0
4,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Barils vides,Rennes,Angleterre,Barils,0,0,,,230,0
5,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Barils vuides,Rennes,Angleterre,Nombres,0,0,,,53,0
6,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bariques en bottes,Rennes,Angleterre,Bariques,0,0,,,200,0
7,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bas de laine,Rennes,Angleterre,Douzaines,0,0,,,3,0
8,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Beure,Rennes,Angleterre,Livres,0,0,,,500,0
9,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Beure de Bretagne,Rennes,Angleterre,Livres,0,0,,,1100,0
10,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Biere,Rennes,Angleterre,Bariques,0,0,,,1,0
11,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Biscuit,Rennes,Angleterre,Livres,0,0,,,5000,0
12,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Brai,Rennes,Angleterre,Livres,0,0,,,300,0
13,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Bray sec,Rennes,Angleterre,Tonneaux,0,0,,,4,0
14,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Caffé,Rennes,Angleterre,Livres,0,0,,,10576,0
15,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Canevas,Rennes,Angleterre,Aunes,0,0,,,1320,0
16,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cannes a main,Rennes,Angleterre,Douzaines,0,0,,,9,0
17,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cerises,Rennes,Angleterre,Paniers,0,0,,,32,0
18,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cerizes,Rennes,Angleterre,Paniers,0,0,,,4,0
19,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chaise de paille,Rennes,Angleterre,Nombres,0,0,,,45,0
20,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chaises de paille,Rennes,Angleterre,Douzaines,0,0,,,4.5,0
21,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chandelles,Rennes,Angleterre,Livres,0,0,,,150,0
22,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chataigne,Rennes,Angleterre,Livres,0,0,,,500,0
23,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chataignes,Rennes,Angleterre,Boisseaux,0,0,,,4,0
24,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chataignes,Rennes,Angleterre,Charges,0,0,,,8,0
25,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chataignes,Rennes,Angleterre,Livres,0,0,Pas le même prix original/copie,,2000,0
26,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chataignes,Rennes,Angleterre,Nombres,0,0,,,9000,0
27,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chataignes,Rennes,Angleterre,Sacs,0,0,,,4,0
28,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chaux,Rennes,Angleterre,Bariques,0,0,,,1,0
29,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Chenille de bois,Rennes,Angleterre,Nombres,0,0,,,300,0
30,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cidre,Rennes,Angleterre,Tonneaux,0,0,,,6,0
31,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cire blanche,Rennes,Angleterre,Livres,0,0,,,3700,0
32,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cloux de fer,Rennes,Angleterre,Livres,0,0,,,200,0
33,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cordage,Rennes,Angleterre,Livres,0,0,,,600,0
34,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cordage pourri,Rennes,Angleterre,Livres,"0,015",0,,,4000,60
35,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cordage refait,Rennes,Angleterre,Livres,"0,1",0,,,3700,370
36,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Cuivre ouvré,Rennes,Angleterre,Livres,0,0,,,100,0
37,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Drap de Carcasonne,Rennes,Angleterre,Pièces,0,0,,,18,0
38,AD44 C706,Local/Rennes/Rennes - Sorties - 1714 - reconstructed.csv,Local,Exports,1714,Eau de vie,Rennes,Angleterre,Bariques,0,0,,,7.5,0
