numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
207,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Confitures,Marseille,Holande,"300,00",livres,"1,00000","300,00","0,00",
208,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Couperose,Marseille,Holande,"240 350,00",livres,"0,11000","26438,00","-0,50",
209,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Couteaux,Marseille,Holande,"2 800,00",livres,"2,00000","5600,00","0,00",
210,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Crin frizé,Marseille,Holande,"2 000,00",livres,"0,60000","1200,00","0,00",
211,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Cuirs de vache de Russie,Marseille,Holande,"600,00",livres,"1,25000","750,00","0,00",
212,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Cuivre tangoul,Marseille,Holande,"10 500,00",livres,"0,90000","9450,00","0,00",
213,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Drogueries,Marseille,Holande,"73 355,00",livres,"1,00000","73355,00","0,00",
214,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Esprit de vitriol,Marseille,Holande,"800,00",livres,"1,00000","800,00","0,00",
215,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Etain,Marseille,Holande,"3 000,00",livres,"1,00000","3000,00","0,00",
216,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Etoffe de soye,Marseille,Holande,"900,00",livres,"40,00000","36000,00","0,00",
217,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Farine,Marseille,Holande,"3 000,00",livres,"0,10000","300,00","0,00",
218,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fayance,Marseille,Holande,"500,00",livres,"0,50000","250,00","0,00",
219,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fer en barres,Marseille,Holande,"153 300,00",livres,"0,14500","22228,00","-0,50",
220,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fer blanc,Marseille,Holande,"84 000,00",livres,"0,60000","50400,00","0,00",
221,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fer en feuilles,Marseille,Holande,"12 000,00",livres,"0,60000","7200,00","0,00",
222,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fer ouvré,Marseille,Holande,"2 400,00",livres,"0,25000","600,00","0,00",
223,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fer vieux,Marseille,Holande,"4 000,00",livres,"0,07000","280,00","0,00",
224,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fil de chevre,Marseille,Holande,"300,00",livres,"4,00000","1200,00","0,00",
225,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fil de fer,Marseille,Holande,"3 000,00",livres,"0,50000","1500,00","0,00",
226,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fil de leton,Marseille,Holande,"10 800,00",livres,"1,50000","16200,00","0,00",
227,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Fromage,Marseille,Holande,"375 330,00",livres,"0,35000","131365,00","-0,50",
228,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Garence,Marseille,Holande,"298 034,00",livres,"0,40000","119213,00","-0,60",
229,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Gaudron,Marseille,Holande,"97 500,00",livres,"0,15000","14625,00","0,00",
230,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Geroffle,Marseille,Holande,"29 600,00",livres,"8,00000","236800,00","0,00",
231,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Gomme lacque,Marseille,Holande,"400,00",livres,"1,30000","520,00","0,00",
232,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Graine pour la teinture,Marseille,Holande,"700,00",livres,"0,40000","280,00","0,00",
233,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Gruau,Marseille,Holande,"42 700,00",livres,"0,05000","2135,00","0,00",
234,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Harens fumés,Marseille,Holande,"232,00",barils,"24,00000","5568,00","0,00",
235,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Herbes d'orseille,Marseille,Holande,"4 800,00",livres,"1,00000","4800,00","0,00",
236,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Huile de balaine,Marseille,Holande,"15 200,00",livres,"0,25000","3800,00","0,00",
237,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Jambon,Marseille,Holande,"400,00",livres,"0,50000","200,00","0,00",
238,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Indigo,Marseille,Holande,"300,00",livres,"4,50000","1350,00","0,00",
239,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Lacque platte,Marseille,Holande,"300,00",livres,"1,50000","450,00","0,00",
240,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Laine filée,Marseille,Holande,"400,00",livres,"1,50000","600,00","0,00",
241,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Laine de Vigogne,Marseille,Holande,"200,00",livres,"15,00000","3000,00","0,00",
242,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Legumes,Marseille,Holande,"148 600,00",livres,"0,15000","22290,00","0,00",
243,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Librairie,Marseille,Holande,"7 450,00",livres,"2,00000","14900,00","0,00",
244,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Lin peigné,Marseille,Holande,"1 560,00",livres,"1,00000","1560,00","0,00",
245,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Litarge,Marseille,Holande,"12 600,00",livres,"0,18000","2268,00","0,00",
246,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Mercerie,Marseille,Holande,"19 400,00",livres,"3,50000","67900,00","0,00",
247,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Matreaux,Marseille,Holande,"14,00",en nombre,"20,00000","280,00","0,00",
248,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1750,Imports,Miny,Marseille,Holande,"54 000,00",livres,"0,20000","10800,00","0,00",
249,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Mortiers de marbre,Marseille,Holande,"100,00",en nombre,"1,50000","150,00","0,00",
250,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Moulins a caffé,Marseille,Holande,"50,00",douzaines,"36,00000","1800,00","0,00",
251,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Moulins a caffé,Marseille,Holande,"800,00",livres,"1,50000","1200,00","0,00",
252,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Muscades,Marseille,Holande,"14 400,00",livres,"8,50000","122400,00","0,00",
253,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Nattes,Marseille,Holande,"1 118,00",livres,"1,00000","1118,00","0,00",
254,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Noir de fumée,Marseille,Holande,"1 230,00",livres,"0,60000","738,00","0,00",
255,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Orge mondé,Marseille,Holande,"3 000,00",livres,"0,02500","900,00","0,00",montant unitaire non lisible
256,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Peaux de lapin,Marseille,Holande,"500,00",livres,"2,50000","1250,00","0,00",
257,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Peaux de lievres,Marseille,Holande,"2 800,00",livres,"0,60000","1680,00","0,00",
258,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Peaux de maroquin,Marseille,Holande,"500,00",livres,"1,50000","750,00","0,00",
259,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Pinceaux,Marseille,Holande,"105,00",douzaines,"1,50000","157,00","-0,50",
260,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Pinceaux,Marseille,Holande,"200,00",livres,"1,20000","240,00","0,00",
261,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Peintures,Marseille,Holande,"600,00",livres,"4,00000","2400,00","0,00",
262,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Pelleteries,Marseille,Holande,"2 300,00",livres,"2,50000","5750,00","0,00",
263,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Pimens,Marseille,Holande,"4 400,00",livres,"0,03000","132,00","0,00",
264,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Pipes a fumer,Marseille,Holande,"7 322,00",grosses,"3,00000","21966,00","0,00",
265,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Planches de sapin,Marseille,Holande,"71,00",douzaines,"9,00000","639,00","0,00",
266,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Plaques de fer,Marseille,Holande,"1 998,00",plaques,"1,00000","1998,00","0,00",
267,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Plaques de fer,Marseille,Holande,"9 870,00",livres,"0,30000","2961,00","0,00",
268,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Plomb en saumon,Marseille,Holande,"603 300,00",livres,"0,20000","120660,00","0,00",
269,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Plules d'autruche,Marseille,Holande,"300,00",livres,"4,00000","1200,00","0,00",
270,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Plumes a ecrire,Marseille,Holande,"250,00",livres,"6,00000","1500,00","0,00",
271,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Poivre,Marseille,Holande,"813 820,00",livres,"1,60000","1302112,00","0,00",
272,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Poivre geroflé,Marseille,Holande,"800,00",livres,"1,00000","800,00","0,00",
273,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Porcelaine,Marseille,Holande,"1 280,00",livres,"5,00000","6400,00","0,00",
274,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Quincailles,Marseille,Holande,"1 400,00",livres,"1,00000","1400,00","0,00",
275,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Rhubarbe,Marseille,Holande,"1 250,00",livres,"15,00000","18750,00","0,00",
276,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Ruban de soye,Marseille,Holande,"250,00",livres,"60,00000","15000,00","0,00",
277,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Saffran,Marseille,Holande,"200,00",livres,"15,00000","3000,00","0,00",
278,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Sanguine,Marseille,Holande,"800,00",livres,"0,20000","160,00","0,00",
279,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Saumon salé,Marseille,Holande,"15 000,00",livres,"0,25000","3750,00","0,00",
280,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Saxafras,Marseille,Holande,"2 000,00",livres,"0,40000","800,00","0,00",
281,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Sivadille,Marseille,Holande,"400,00",livres,"1,25000","500,00","0,00",
282,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Spicaseltica,Marseille,Holande,"1 550,00",livres,"0,75000","1162,00","-0,50",
283,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Squine,Marseille,Holande,"2 000,00",livres,"0,60000","1200,00","0,00",
284,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Thé,Marseille,Holande,"13 635,00",livres,"3,50000","47722,00","-0,50",
285,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Toille blanche,Marseille,Holande,"1 500,00",pièces,"30,00000","45000,00","0,00",
286,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Toille blanche,Marseille,Holande,"2 800,00",livres,"4,00000","11200,00","0,00",
287,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Toille diverses,Marseille,Holande,"600,00",livres,"5,00000","3000,00","0,00",
288,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Toille a voille,Marseille,Holande,"40,00",pièces,"20,00000","800,00","0,00",
289,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Tournesol,Marseille,Holande,"400,00",livres,"0,50000","200,00","0,00",
290,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Vermillon,Marseille,Holande,"800,00",livres,"5,00000","4000,00","0,00",
291,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Verres cassés,Marseille,Holande,"2 400,00",livres,"0,02500","60,00","0,00",
292,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Verres cristalins,Marseille,Holande,"1 350,00",livres,"2,00000","2700,00","0,00",
293,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Vin de chipres,Marseille,Holande,"6,00",milleroles,"90,00000","540,00","0,00",
294,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Vin blanc,Marseille,Holande,"3 600,00",livres,"0,60000","2160,00","0,00",
295,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Yeux d'écrivice,Marseille,Holande,"900,00",livres,"1,25000","1125,00","0,00",
296,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Acier,Marseille,Italie,"94 886,00",livres,"0,35000","33210,00","-0,10",
297,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Agaric,Marseille,Italie,"803,00",livres,"1,00000","803,00","0,00",
298,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Ajamis,Marseille,Italie,"55,00",pièces,"9,00000","495,00","0,00",
299,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Ails,Marseille,Italie,"7,50",charges,"10,00000","75,00","0,00",
300,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Alumettes,Marseille,Italie,"194,00",livres,"0,20000","38,00","-0,80",
301,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Alun,Marseille,Italie,"968 075,00",livres,"0,12000","116169,00","0,00",
302,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Amadou,Marseille,Italie,"4 668,00",livres,"0,14000","653,00","-0,52",
303,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Amandes,Marseille,Italie,"22 210,00",livres,"0,20000","4442,00","0,00",
304,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Ambre jaune,Marseille,Italie,"605,00",livres,"1,00000","605,00","0,00",
305,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Ameçons,Marseille,Italie,"100,00",livres,"0,20000","20,00","0,00",
306,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Amidon,Marseille,Italie,"1 145,00",livres,"0,20000","229,00","0,00",
307,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1750,Imports,Anchois,Marseille,Italie,"7,00",barils,"12,00000","84,00","0,00",
308,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Ancre de fer,Marseille,Italie,"81 250,00",livres,"0,20000","16250,00","0,00",
309,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Anis vert,Marseille,Italie,"500,00",livres,"0,20000","100,00","0,00",
310,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Antimoine,Marseille,Italie,"1 200,00",livres,"0,20000","240,00","0,00",
311,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Arcenic,Marseille,Italie,"3 600,00",livres,"0,30000","1080,00","0,00",
312,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Ardoises,Marseille,Italie,"50,00",en nombre,"6,00000","300,00","0,00",
313,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Argent vif,Marseille,Italie,"5 500,00",livres,"4,00000","22000,00","0,00",
314,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Arquifou,Marseille,Italie,"229 783,00",livres,"0,15000","34467,00","-0,45",
315,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Auf ouvré,Marseille,Italie,"400,00",livres,"0,14000","56,00","0,00",
316,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1750,Imports,Avirons,Marseille,Italie,"3 392,00",paires,"3,50000","11872,00","0,00",
