numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
49,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Chandelle,Marseille,Espagne,"1 200,00",livres,"0,45000","540,00","0,00",
50,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Chanvre cru,Marseille,Espagne,"250,00",livres,"0,20000","50,00","0,00",
51,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Charbon de bois,Marseille,Espagne,"5 850,00",livres,"0,02000","117,00","0,00",
52,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cheveux,Marseille,Espagne,"126,00",livres,"30,00000","3780,00","0,00",
53,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Chocolat,Marseille,Espagne,"884,00",livres,"3,50000","3094,00","0,00",
54,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Citrons,Marseille,Espagne,"27,00",milliers,"15,00000","405,00","0,00",
55,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cloux de fer,Marseille,Espagne,"400,00",livres,"0,25000","100,00","0,00",
56,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cochenille,Marseille,Espagne,"247 079,00",livres,"14,00000","3459106,00","0,00",
57,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Collequinte,Marseille,Espagne,"956,00",livres,"1,50000","1434,00","0,00",
58,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Confitures,Marseille,Espagne,"115,00",livres,"1,00000","115,00","0,00",
59,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Corail,Marseille,Espagne,"22 435,00",livres,"2,00000","44870,00","0,00",
60,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cordages de chanvre,Marseille,Espagne,"5 400,00",livres,"0,30000","1620,00","0,00",
61,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cordages d'espar,Marseille,Espagne,"2 124,00",douzaines,"7,00000","14868,00","0,00",
62,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cornes de mouton,Marseille,Espagne,"100 613,00",paires,"0,05000","5030,00","-0,65",
63,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Coton filé,Marseille,Espagne,"145,00",livres,"1,00000","145,00","0,00",
64,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Couffes a boulanger,Marseille,Espagne,"24,00",douzaines,"30,00000","720,00","0,00",
65,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Couffins d'espar,Marseille,Espagne,"54,00",douzaines,"3,00000","162,00","0,00",
66,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Couperose,Marseille,Espagne,"3 700,00",livres,"0,11000","407,00","0,00",
67,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Courdoüans,Marseille,Espagne,"300,00",peaux,"1,25000","375,00","0,00",
68,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Couvertures,Marseille,Espagne,"8 500,00",livres,"2,00000","17000,00","0,00",
69,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Creme de tartre,Marseille,Espagne,"10 770,00",livres,"0,45000","4846,00","-0,50",
70,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1750,Imports,Cuirs en poil,Marseille,Espagne,"2 130,00",pièces,"14,00000","29820,00","0,00",
