sourcepath,nb line bdd_centrale,nb line source,columns removed
Divers/AN/F_12_1834A/1671.csv,1582,1582,bureaux;pays;value;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;prix_unitaire;probleme;remarks;exportimport;problem
Local/Bayonne/Bayonne-entrées_1.csv,6614,6614,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Bayonne/Bayonne-sorties.csv,11075,11075,numrodeligne;bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Bordeaux/Bordeaux - Entrées - 1730-1780 (-).csv,5597,5597,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;probleme;exportimport;doubleaccounts;problem
Local/Caen/Caen - 1730-1776 (-).csv,1059,1059,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;probleme;exportimport;doubleaccounts;problem
"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",407,407,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;problem
Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,14717,14717,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;problem
Local/La Rochelle/41 ETP 271/La Rochelle - Sorties - 1718-1780.csv,14730,14730,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille-1730-1740.csv,5639,5639,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,337,337,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,354,354,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,331,331,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1733.csv,345,345,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1735.csv,324,324,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,318,318,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1737.csv,505,505,bureaux;origine;total;leurvaleursubtotal_1;leurvaleursubtotal_2;leurvaleursubtotal_3;exportimport;doubleaccounts;problem
