numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,bas de soye,Angleterre,437,douzaine,100,43700,0,
2,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,cacao,Angleterre,1314,livre,"0,6","788,4",0,
3,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,caffé,Angleterre,197561,livre,"0,5","98780,5",0,
4,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,confitures,Angleterre,390,livre,1,390,0,
5,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,cotonille,Angleterre,469,aune,"1,5","703,5",0,
6,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,eau de vie,Angleterre,201,barriques,120,24120,0,
7,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,etoffes de soye,Angleterre,303,livre,40,12120,0,
8,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,indigo,Angleterre,51752,livre,6,310512,0,
9,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,toille baptiste,Angleterre,836,aune,10,8360,0,
10,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,velour,Angleterre,116,aune,20,2320,0,
11,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,vin de haut,Angleterre,451,Tonneau,300,135300,0,
12,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,vin de ville,Angleterre,846,Tonneau,600,507600,0,
13,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,1,vinaigre,Angleterre,"18,5",Tonneau,100,1850,0,
14,Paul CHEVRET,AD33 C4388,Local/Bordeaux/Bordeaux - Sorties - 1772.csv,Local,1772,Exports,Bordeaux,2,Caffé,Danemark,1432205,livre,"0,5","716102,5",0,
