numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Beuf sallé,Angleterre,5406,Barils,22,118932,0,,,,
2,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Beurre salé,Angleterre,1328500,Livres,"0,28",371980,0,,,,
3,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Farine,Angleterre,1180,Boisseaux,12,14160,0,,,,
4,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Fromage,Angleterre,31325,Livres,"0,2",6260,-5,erreur de calcul,,,
5,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Muscade,Angleterre,113,Livres,8,904,0,,,,
6,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Saumon salé,Angleterre,138,Barils,50,6900,0,,,,
7,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Thé,Angleterre,30,Livres,6,180,0,,,,
8,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Bourre de bouef,Angleterre,1050,Livres,"0,08",84,0,,,,
9,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Bouteilles de verre,Angleterre,4776,Nombre,"0,23",6916,"-5817,52",erreur de prix dans la source,,,
10,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Barriques vuides,Angleterre,277,Nombre,1,277,0,,,,
11,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Cheval,Angleterre,1,Estimé,100,100,0,,,,
12,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Cuirs de Beuf en poil,Angleterre,1047,Nombre,5,5225,-10,erreur de calcul,,,
13,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Cuirs de Beuf en poil,Angleterre,30200,Livres,"0,16",4832,0,,,,
14,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Cire jaune,Angleterre,1150,Livres,"1,3",1495,0,,,,
15,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,1,Chandelle,Angleterre,34700,Livres,"0,35",11145,-1000,erreur de calcul,,,
16,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Charbon de terre,Angleterre,145,Tonneaux,200,29000,0,,,,
17,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Carreaux de terre,Angleterre,600,Nombre,"0,1",60,0,,,,
18,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Etain en bloc,Angleterre,3000,Livres,"0,9",2700,0,,,,
19,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Fer en barre,Angleterre,1075,Livres,"0,15","161,25",0,,,,
20,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Huile de poisson,Angleterre,7825,Livres,"0,2",1565,0,,,,
21,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Laine filée,Angleterre,1050,Livres,2,2100,0,,,,
22,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Laine peignée,Angleterre,11340,Livres,"0,85",9639,0,,,,
23,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Laine en crin,Angleterre,20520,Livres,"0,85",17442,0,,,,
24,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Mercerie commune,Angleterre,518,Livres,2,1036,0,,,,
25,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Meulles a faure,Angleterre,30,Nombre,"1,5",45,0,,,,
26,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Plomb en saumon,Angleterre,22700,Livres,"0,18",4086,0,,,,
27,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Plomb en grenaille,Angleterre,6130,Livres,"0,19","1165,08","0,38",erreur de calcul,,,
28,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Planches à sapin de 18 pieds,Angleterre,30,Nombre,2,60,0,,,,
29,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Suif,Angleterre,432425,Livres,"0,32",138376,0,,,,
30,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Tabac de virginie,Angleterre,100000,Livres,"0,55",55000,0,,,,
31,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Bled froment,Hollande,22051,Boisseaux,8,176408,0,,,,
32,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Bled seigle,Hollande,2400,Boisseaux,5,12000,0,,,,
33,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Beurre,Hollande,7975,Livres,"0,28",63800,61567,erreur de calcul,,,
34,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Bierre,Hollande,454,Barriques,20,9080,0,,,,
35,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Canelle,Hollande,1870,Livres,"5,5",10280,-5,erreur de calcul,,,
36,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Fromage,Hollande,33676,Livres,"0,2","6435,2",-300,erreur de calcul,,,
37,Demba,AD33 C4389,Local/Bordeaux/Bordeaux - Entrées - 1729.csv,Local,1729,Imports,Bordeaux,2,Geroffe,Hollande,18518,Livres,8,148144,0,,,,
