numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Bled froment,Angleterre,48977,Boisseaux,"8,5","416304,5",0,,,,
2,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Bled froment,Angleterre,"19799,5",Boisseaux,"8,5","168295,5","-0,25",erreur de calcul,,,
3,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Bled seigle,Angleterre,385,Boisseaux,"4,5","1732,5",0,,,,
4,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Biscuit de mer,Angleterre,2000,Livres,"0,09",180,0,,,,
5,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Bœuf salé,Angleterre,17788,Barils,18,120184,-200000,erreur de calcul ou de prix (il semble être au boisseau et non au baril),,,
6,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Beurre salé,Angleterre,834050,Livres,"0,26",216853,0,,,,
7,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Bourre de bœuf ,Angleterre,4275,Livres,"0,075","320,52","-0,1",erreur de calcul,,,
8,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Bouteilles de verre,Angleterre,111,Douzaines,2,222,0,,,,
9,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Cuirs de bœuf en poil,Angleterre,541,Nombre,"5,5","2975,5",0,,,,
10,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Cuirs de bœuf en poil,Angleterre,76000,Livres,0,7600,7600,absence de total,,,
11,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Cire jaune,Angleterre,1700,Livres,"1,2",2040,0,,,,
12,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Charbon de terre,Angleterre,"46,5",Tonneaux,200,9300,0,,,,
13,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Farine,Angleterre,6400,Livres,"0,11",704,0,,,,
14,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Feves,Angleterre,840,Boisseaux,"4,25",3570,0,,,,
15,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Fromage,Angleterre,34175,Livres,"0,24",8202,0,,,,
16,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Lard,Angleterre,6960,Livres,"0,2",1392,0,,,,
17,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Merrain a barriques,Angleterre,1000,Douelles,"0,125",125,0,,,,
18,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Planches de sapin ; 18 pieds,Angleterre,330,Pieces,"1,5",495,0,,,,
19,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Plomb en saumon,Angleterre,5500,Livres,"0,21",1155,0,,,,
20,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Suif,Angleterre,302675,Livres,"0,315","95342,6","-0,02",erreur de calcul,,,
21,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,1,Vieux oin,Angleterre,14850,Livres,"0,23","3415,5",0,,,,
22,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Azur commun,Hollande,17895,Livres,"0,6",10737,0,,,,
23,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Amidon,Hollande,26525,Livres,"0,17","4509,25",0,,,,
24,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Arsenic,Hollande,1550,Livres,"0,255","395,25",0,,,,
25,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Acier,Hollande,23360,Livres,"0,35",8176,0,,,,
26,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Bled froment,Hollande,33772,Boisseaux,"8,5",287062,0,,,,
27,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Bled seigle,Hollande,6340,Boisseaux,"4,5",0,-28530,valeur total 58455,#REF!,,
28,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Bled seigle,Hollande,6630,Boisseaux,"4,5",0,-29835,,,,
29,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Biscuit de mer,Hollande,450,Livres,"0,09","40,5",0,,,,
30,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Beurre,Hollande,122525,Livres,"0,26","31856,5",0,,,,
31,Demba,AD33 C4268,Local/Bordeaux/Bordeaux - Entrées - 1739.csv,Local,1739,Imports,Bordeaux,2,Bierre,Hollande,685,Barriques,20,13700,0,,,,
