numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Bœuf salé,Angleterre,17023521,livres,"0,1","1702352,1",0,,,,
2,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Beurre,Angleterre,3541752,livres,"0,5",1770876,0,,,,
3,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Bled froment,Angleterre,1125,livres,"0,1","112,5",0,,,,
4,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Chandelle,Angleterre,7040,livres,"0,5",352,-3168,erreur de calcul,,,
5,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Charbon de terre,Angleterre,1509,tonnes,3,4527,0,"doute sur l'unité (il est indiqué ""ton ?"")",,,
6,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Patates,Angleterre,75,Boisseaux,5,375,0,,,,
7,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Ris,Angleterre,165592,livres,"0,25",41398,0,,,,
8,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Tabac en feuilles,Angleterre,4885686,livres,"0,2","977137,2",0,,,,
9,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Acier,Danemark,6922,livres,"0,5",3461,0,,,,
10,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1773.csv,Local,1773,Imports,Bordeaux,1,Azur,Danemark,11752,livres,"0,5",5876,0,,,,
