numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,Droits totaux indiqués,Droits unitaires,remarks pour les droits
1,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Beuf salé,Angleterre,3200,Livres,"0,1",320,0,,,,
2,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Beurre,Angleterre,37455,Livres,"0,35","13109,25",0,,,,
3,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Tabac en feuilles,Angleterre,7061336,Livres,"0,2","1412267,2",0,,,,
4,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Bled seigle,Danemark,5920,Boisseaux,6,35520,0,,,,
5,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Bois merrain a barriques,Danemark,"18,75",Milliers,350,6300,"-262,5",erreur de calcul,,,
6,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Bois merrain a fonds,Danemark,"4,83",Milliers,350,"1691,67",0,,,,
7,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Cabillaud,Danemark,244700,Livres,"0,15",36705,0,,,,
8,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Charbon de terre,Danemark,11,Tonneaux,480,5280,0,,,,
9,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Cire jaune,Danemark,340,Livres,"1,4",476,0,,,,
10,Demba,AD33 C4390,Local/Bordeaux/Bordeaux - Entrées - 1761.csv,Local,1761,Imports,Bordeaux,1,Colle de poisson,Danemark,50,Livres,10,5,-495,absence de division par 100,,,
