numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Acier,Levant,1116,,,,,,18080,,,,,,,,,,,
1,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Allemagne,59159,,,,,,794977,,,,,,,,,,,
2,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Acier,Suisse,1757,,,,,,18080,,,,,,,,,,,
2,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Angleterre,23144,,,,,,794977,,,,,,,,,,,
3,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Acier,Isles,11594,,,,,,18080,,,,,,,,,,,
3,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Danemark,364194,,,,,,794977,,,,,,,,,,,
4,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Acier,Guinée,3613,,,,,,18080,,,,,,,,,,,
4,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Flandre,4505,,,,,,794977,,,,,,,,,,,
5,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Acons démonté,Indes,6000,,,,,,6000,,,,,,,,,,,
5,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Imports,,,3,Acier,Hollande,194105,,,,,,794977,,,,,,,,,,,
6,Jérémy Hervelin,IIHS-122C,Objet Général,1769,Exports,,,3,Agneaux,Allemagne,1116,,,,,,1116,,,,,,,,,,,
