numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Bois mérein,Angleterre,32000,Douelles,,4160,,,Pas de prix unitaire
2,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Bois rouge pour teinture,Hollande,197000,Livres,,29190,,,Pas de prix unitaire
3,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Bois rouge pour teinture,Etat de l'empereur,7500,Livres,,900,,,Pas de prix unitaire
4,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Cordage vieux,Angleterre,90000,Livres,,13500,,,Pas de prix unitaire
5,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Drogues pour peinture ochre,Angleterre,60,Bariques,,1080,,,Pas de prix unitaire
6,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Eau de vie,Danemarck,80096,Pintes,,50756,,,278 muids et 32 pintes ; pas de prix unitaire
7,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Eau de vie,Etats Unis d'Amérique,2080,Pintes,,1300,,,7 muids et 64 pintes ; pas de prix unitaire
8,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Eau de vie de Genièvre,Danemarck,,,,390,,,En valeur
9,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Esprit de vin,Danemarck,,,,546,,,En valeur
10,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Epicerie poivre,Etat de l'empereur,3000,Livres,,5250,,,Pas de prix unitaire
11,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Marchandises de l'Inde,Etat de l'empereur,220,Balles,,500000,,,Pas de prix unitaire
12,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Miel,Hollande,186416,Livres,,37283,,,Pas de prix unitaire
13,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Miel,Etat de l'empereur,107992,Livres,,20134,,,Pas de prix unitaire
14,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Mouchoirs de soie,Hollande,1172,Pièces,,42861,,,Pas de prix unitaire
15,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Papier peint,Etat de l'empereur,1,Rame,,100,,,Pas de prix unitaire
16,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Parfumerie poudre à poudrer,Etats Unis d'Amérique,500,Livres,,225,,,Pas de prix unitaire
17,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National toutes directions partenaires manquants,Exports,3,1789,Lorient,Port Franc de Lorient,,Poisson de mer harengs,Danemarck,90000,Livres,,24600,,,Pas de prix unitaire
