numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,prix_unitaire,remarks,doubleaccounts
1,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Allemagne,1957.5,42078,1957.83333333,,0
2,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Espagne,26304,42078,26304,,0
3,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Flandre,21,42078,21,,0
4,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Isles,3396,42078,3396,,0
5,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Italie,584,42078,584,,0
6,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Levant,8033,42078,8033,,0
7,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Portugal,1434.5,42078,1434.83333333,,0
8,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Savoye,321,42078,321,,0
9,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Acier,Suisse,27,42078,27,,0
10,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Agarie,Allemagne,40,40,40,,0
11,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Agneaux,Allemagne,348,348,348,,0
12,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Agrément ; de soye,Flandre,1293,2591,1293,,0
13,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Agrément ; de soye,Hollande,98,2591,98,,0
14,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Agrément ; de soye,Savoye,1200,2591,1200,,0
15,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Ails,Flandre,24,46.75,24,,0
16,Pascale GOUTTENECRE,"BM Rouen, Fonds Montbret, 155-1 (2e partie)",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1756.csv,Objet Général,1756,Exports,2,Ails,Savoye,22.75,46.75,23.25,,0
